DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000015800|1728|#|SL1 3SA
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Motoring Services|BROOK STREET (UK) LIMITED|2000015799|900|#|AL1 4JB
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000015802|4026|#|DL1 9HN
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000015802|8071.92|#|DL1 9HN
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000015802|16263.92|#|DL1 9HN
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Strategic Roads & Smart Ticketing|CAPITA RESOURCING LTD|2000015802|7077.49|#|DL1 9HN
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000015802|-8071.92|#|DL1 9HN
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Rail Franchising|CAPITA RESOURCING LTD|2000015802|8071.92|#|DL1 9HN
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Rail Franchising|Experis Ltd|2000015786|11053.44|#|EC2M 2RB
Department for Transport|Department for Transport|03/11/2014|Agency Staff Costs|Highspeed 2|METHODS ADVISORY LTD|2000015790|15183.94|#|WC2H 8AD
Department for Transport|Department for Transport|03/11/2014|Building Service Cha|Rail Accident Investigation Branch|INNES ENGLAND LTD|2000015787|836.42|Innes - Clarke St - 14.7.14 to 13.7.15|DE1 1BT
Department for Transport|Department for Transport|03/11/2014|Cap Grt Loc Auth|Major Projects & Growth|SOUTH YORKSHIRE PTE|2000015803|44260.88|Tram Train SPYTE SL0067827-Claim27|S1 2BQ
Department for Transport|Department for Transport|03/11/2014|Cap Grt Loc Auth|Major Projects & Growth|SOUTH YORKSHIRE PTE|2000015803|788249.92|Tram Train SYPTE SL0068037-Claim28|S1 2BQ
Department for Transport|Department for Transport|03/11/2014|CurrGrt Las in AEF/A|Major Projects & Growth|SOUTH YORKSHIRE PTE|2000015803|22326.33|Tram Train SPYTE SL0067827-Claim27|S1 2BQ
Department for Transport|Department for Transport|03/11/2014|CurrGrt Las in AEF/A|Major Projects & Growth|SOUTH YORKSHIRE PTE|2000015803|53876.84|Tram Train SYPTE SL0068037-Claim28|S1 2BQ
Department for Transport|Department for Transport|03/11/2014|Data Supply - TD|Transport Direct&Travel|LANDMARK INFORMATION GROUP LTD|2000015788|15050.6|#|EX2 7HY
Department for Transport|Department for Transport|03/11/2014|Data Supply - TD|Transport Direct&Travel|LANDMARK INFORMATION GROUP LTD|2000015788|8629.5|#|EX2 7HY
Department for Transport|Department for Transport|03/11/2014|HR Consultancy|Group Human Resource|Shapiro Consulting Ltd|2000015812|13691.95|#|BN8 4BP
Department for Transport|Department for Transport|03/11/2014|Insurance|Group Human Resource|MARSH LTD|2000015789|1134.2|#|SG6 3TT
Department for Transport|Department for Transport|03/11/2014|IT Equip Cap Cost|Motoring Services|Konica Minolta Bus. Solutions (UK)|2000015782|7693.2|#|SS14 3AR
Department for Transport|Department for Transport|03/11/2014|IT Ser Running Costs|Analysis & Strategy|NETFUNDI LTD|2000015792|810|#|LA1 1SQ
Department for Transport|Department for Transport|03/11/2014|Legal Consultancy|Major Projects & Growth|WINCKWORTH SHERWOOD|2000015798|2096.4|#|SE1 9BB
Department for Transport|Department for Transport|03/11/2014|Legal Consultancy|Major Projects & Growth|DLA PIPER UK LLP|2000015785|11129.68|#|M2 3DL
Department for Transport|Department for Transport|03/11/2014|Legal Consultancy|General Counsel's Office|xxxxxx|2000015810|425|#|xxxxxx
Department for Transport|Department for Transport|03/11/2014|Legal Consultancy|Network Rail Sponsorship|ALLEN & OVERY|2000015801|52977.34|#|E1 6AO
Department for Transport|Department for Transport|03/11/2014|Legal Consultancy|Policy, Legislation and Funding|xxxxxx|2000015795|40824|#|xxxxxx
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|2860|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|2470|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|677.03|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|2990|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|1320|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|2460|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Maintenance Other|Motoring, Freight & London|TDC SYSTEMS LIMITED|2000015794|2620|#|BS24 9BP
Department for Transport|Department for Transport|03/11/2014|Other Advertising|Local|PENNA COMMUNICATIONS|2000015804|4356.73|#|EC4M 7RD
Department for Transport|Department for Transport|03/11/2014|Research|Local|NATIONAL CENTRE FOR SOCIAL RESEARCH|2000015791|135616.6|#|EC1V 0AX
Department for Transport|Department for Transport|03/11/2014|Storage & Distributi|General Counsel's Office|COMMUNITIES AND LOCAL GOVERNMENT|2000015779|43142.28|#|HP2 4XN
Department for Transport|Department for Transport|03/11/2014|Support Services|Motoring, Freight & London|Environmental Scientifics Group|2000015783|5952|#|OX9 3SZ
Department for Transport|Department for Transport|03/11/2014|Support Services|Motoring Services|DRIVING STANDARDS AGENCY|2000015780|28388.95|#|NG1 6LP
Department for Transport|Department for Transport|03/11/2014|Traffic Survey & Cou|Motoring, Freight & London|PARSONS BRINCKERHOFF LTD|2000015793|715417|#|NE4 7YQ
Department for Transport|Department for Transport|03/11/2014|Training|Air Accident Investigation Branch|HELI AIR LIMITED|2000015807|468|#|CV35 9EU
Department for Transport|Department for Transport|03/11/2014|Transport  Consult|Rail Franchising|TRANSPORT RESEARCH LABORATORY|2000015796|17100.26|#|RG40 3GA
Department for Transport|Department for Transport|03/11/2014|Travel Exp Overseas|Motoring, Freight & London|Environmental Scientifics Group|2000015783|1565.52|#|OX9 3SZ
