DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department for Transport|British Transport Police|16/05/2010|FUEL & LUBRICANTS|FIN VEHICLE FLEET|ARVAL|210754|48251.04
Department for Transport|British Transport Police|16/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|BRITSPACE MODULAR BUILDING LIMITED|211064|216457.12
Department for Transport|British Transport Police|16/05/2010|TRAINING-POLICE|H.R TRAINING|CITY UNIVERSITY|206022|30000
Department for Transport|British Transport Police|16/05/2010|HIRE OF ROOMS (EXTERNAL)|LS South Western Quadrant|CROYDON COUNCIL|211089|26257
Department for Transport|British Transport Police|16/05/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|NORTHGATE INFORMATION SOLUTIONS LTD|202641|12375
Department for Transport|British Transport Police|16/05/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|NORTHGATE INFORMATION SOLUTIONS LTD|202641|12375
Department for Transport|British Transport Police|16/05/2010|IT SOFTWARE MAINTENANCE|TECHNOLOGY GROUP|SAP (UK) LTD|199607|24043.74
Department for Transport|British Transport Police|19/05/2010|PROCUREMENT CARD HOLDING A/C|FIN FINANCE|BARCLAYS HMG PROCUREMENT CARD|211609|145105.64
Department for Transport|British Transport Police|21/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|A. M. SECURITY SERVICES LTD|208120|33573.98
Department for Transport|British Transport Police|21/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|A. M. SECURITY SERVICES LTD|211812|-33573.98
Department for Transport|British Transport Police|21/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|A. M. SECURITY SERVICES LTD|211783|33573.98
Department for Transport|British Transport Police|21/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|A. M. SECURITY SERVICES LTD|211784|26.37
Department for Transport|British Transport Police|21/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|A. M. SECURITY SERVICES LTD|211784|7228.74
Department for Transport|British Transport Police|21/05/2010|LH BUILDINGS - ADDITIONS|CAPITAL CONTROL ACCOUNT|A. M. SECURITY SERVICES LTD|211784|19098.24
Department for Transport|British Transport Police|21/05/2010|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|BT REDCARE|205815|5441
Department for Transport|British Transport Police|21/05/2010|IT - ADDITIONS|CAPITAL CONTROL ACCOUNT|BT REDCARE|205815|29965
Department for Transport|British Transport Police|21/05/2010|TRAINING-POLICE|H.R TRAINING|CITY UNIVERSITY|206027|42000
Department for Transport|British Transport Police|21/05/2010|LEASING- PHOTOCOPIER|CRIME DETECTIVE CH. SUPER.|DANWOOD GROUP LTD|211608|169.9
Department for Transport|British Transport Police|21/05/2010|LEASING- PHOTOCOPIER|FIN ESTATES|DANWOOD GROUP LTD|211608|5653.32
Department for Transport|British Transport Police|21/05/2010|LEASING- PHOTOCOPIER|FIN ESTATES|DANWOOD GROUP LTD|211608|6144.96
Department for Transport|British Transport Police|21/05/2010|LEASING- PHOTOCOPIER|FIN ESTATES|DANWOOD GROUP LTD|211608|7304.74
