DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
Department For Transport|British Transport Police|04/04/2011|IT HARDWARE MAINTENANCE|FHQ TECHNOLOGY MANAGER|Airwave Solutions Limited|216811|141,449.58
Department For Transport|British Transport Police|04/04/2011|IT HARDWARE MAINTENANCE|FHQ TECHNOLOGY MANAGER|Airwave Solutions Limited|219126|141,449.58
Department For Transport|British Transport Police|04/04/2011|IT HARDWARE MAINTENANCE|FHQ TECHNOLOGY MANAGER|Airwave Solutions Limited|223936|172,919.03
Department For Transport|British Transport Police|04/04/2011|GAS|PDU CAMDEN ROAD|BRITISH GAS BUSINESS|237628|975.15
Department For Transport|British Transport Police|04/04/2011|VEHICLE SERVICING- PLANNED|FHQ VEHICLE FLEET MANAGER|BT FLEET LIMITED|237938|56,451.86
Department For Transport|British Transport Police|04/04/2011|P&L ON SALE- OWNED VEHICLES|CORPORATE FINANCE|BT FLEET LIMITED|237938|3,138.37
Department For Transport|British Transport Police|04/04/2011|SUBS TO OUTSIDE BODIES|NW AREA COMMAND|CHESHIRE POLICE AUTHORITY|238059|860.80
Department For Transport|British Transport Police|04/04/2011|POSTAGE|FHQ SCIENTIFIC SUPPORT|Dx Network Services Ltd|237987|1,350.00
Department For Transport|British Transport Police|04/04/2011|POSTAGE|BLUNDELL STREET|Dx Network Services Ltd|237987|225.00
Department For Transport|British Transport Police|04/04/2011|POSTAGE|FHQ TECHNOLOGY MANAGER|Dx Network Services Ltd|237987|924.00
Department For Transport|British Transport Police|04/04/2011|SOLICITORS FEES|FHQ POLICE AUTHORITY|FIELD FISHER WATERHOUSE LLP|237931|4,318.98
Department For Transport|British Transport Police|04/04/2011|EQUIP PURCH - POLICE  (NONCAP)|LN OPERATIONS|FOXHAVEN (UK) LTD|238036|597.00
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|WELLBEING|The Filing Plus Group Plc|233480|582.80
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|WELLBEING|The Filing Plus Group Plc|235356|2,938.80
Department For Transport|British Transport Police|04/04/2011|TELEPHONE CALLS|FHQ TECHNOLOGY MANAGER|GLOBAL CROSSING (UK) TELECOMMUNICATIONS|237941|56,008.69
Department For Transport|British Transport Police|04/04/2011|STATIONERY|FHQ COVERT INVESTIGATIONS UNIT|HERTFORDSHIRE CONSTABULARY|238025|1,643.00
Department For Transport|British Transport Police|04/04/2011|SPOC FIB INTEL CHECKS|FHQ FIB|HOME OFFICE ACCOUNTS RECEIVABLE|238060|10,806.62
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|LN TFL LOROL|HUDSON GLOBAL RESOURCES LTD|238044|599.11
Department For Transport|British Transport Police|04/04/2011|MANAGEMENT FEE- UNIFORMS|LN FINANCE|IOMA CLOTHING CO LTD|238173|2,350.70
Department For Transport|British Transport Police|04/04/2011|MANAGEMENT FEE- UNIFORMS|SC SECT. COMM. CENT STF COSTS|IOMA CLOTHING CO LTD|238178|1,214.09
Department For Transport|British Transport Police|04/04/2011|MANAGEMENT FEE- UNIFORMS|NW AREA COMMAND|IOMA CLOTHING CO LTD|238213|1,986.79
Department For Transport|British Transport Police|04/04/2011|IT SOFTWARE MAINTENANCE|FHQ VEHICLE FLEET MANAGER|Jaama Ltd|238226|1,972.80
Department For Transport|British Transport Police|04/04/2011|IT SOFTWARE MAINTENANCE|FHQ VEHICLE FLEET MANAGER|Jaama Ltd|238228|3,451.68
Department For Transport|British Transport Police|04/04/2011|HIRE OF CONSULTANTS|FUTURES PROJECT|LA INTERNATIONAL COMPUTER CONSULTANTS LTD|234065|9,125.54
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN KINGS CROSS STAFF COSTS|LANGUAGE LINE SERVICES|233430|16.32
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN L'POOL ST STAFF COSTS|LANGUAGE LINE SERVICES|233430|12.48
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN CUSTODY|LANGUAGE LINE SERVICES|233430|109.44
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN LONDON OVERGROUND COSTS|LANGUAGE LINE SERVICES|233430|60.48
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LU NON STAFF RECHARGE|LANGUAGE LINE SERVICES|233430|534.72
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LS RCO SWQ|LANGUAGE LINE SERVICES|233430|24.00
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NE DERBY|LANGUAGE LINE SERVICES|233430|12.48
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NE NOTTINGHAM|LANGUAGE LINE SERVICES|233430|11.52
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NE DARLINGTON STAFF COSTS|LANGUAGE LINE SERVICES|233430|12.48
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|No Witness No Justice|LANGUAGE LINE SERVICES|233430|5.76
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NW MANCHESTER STAFF COSTS|LANGUAGE LINE SERVICES|233430|16.32
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|CONTROL ROOM BIRMINGHAM|LANGUAGE LINE SERVICES|233430|25.92
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|SC EDINBURGH STAFF COSTS|LANGUAGE LINE SERVICES|233430|16.32
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN PATROL TEAM C|LANGUAGE LINE SERVICES|235686|16.32
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN CUSTODY|LANGUAGE LINE SERVICES|235686|92.16
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LN LONDON OVERGROUND COSTS|LANGUAGE LINE SERVICES|235686|4.80
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|LU NON STAFF RECHARGE|LANGUAGE LINE SERVICES|235686|502.08
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|Lond Stl AIB / FIO|LANGUAGE LINE SERVICES|235686|7.68
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NE NEWCASTLE STAFF COSTS|LANGUAGE LINE SERVICES|235686|48.00
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NE DARLINGTON STAFF COSTS|LANGUAGE LINE SERVICES|235686|3.84
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NE LINCOLN STAFF COSTS|LANGUAGE LINE SERVICES|235686|28.80
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|NW CREWE STAFF COSTS|LANGUAGE LINE SERVICES|235686|12.48
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|CONTROL ROOM BIRMINGHAM|LANGUAGE LINE SERVICES|235686|27.84
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|WN COVENTRY STAFF COSTS|LANGUAGE LINE SERVICES|235686|9.60
Department For Transport|British Transport Police|04/04/2011|INTERPRETERS FEES|WN SHREWSBURY STAFF COSTS|LANGUAGE LINE SERVICES|235686|2.88
Department For Transport|British Transport Police|04/04/2011|TEMPORARY STAFF|FHQ FINANCE|LINKHILL RECRUITMENT LTD|235817|6,372.00
Department For Transport|British Transport Police|04/04/2011|TRAIN FARES|FHQ FINANCE|LINKHILL RECRUITMENT LTD|235817|126.00
Department For Transport|British Transport Police|04/04/2011|PURCH FURNITURE (NONCAP)|LN PETERBOROUGH STAFF COSTS|LINK LOCKERS LTD|238048|795.62
Department For Transport|British Transport Police|04/04/2011|OCCUPATIONAL HEALTH COSTS|NW A.I.B|LYRECO UK LTD|238215|33.00
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW A.I.B|LYRECO UK LTD|238215|43.14
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW ADMIN OF JUSTICE|LYRECO UK LTD|238215|290.63
Department For Transport|British Transport Police|04/04/2011|CLEANING MATERIALS- PURCHASE|NW AREA COMMAND|LYRECO UK LTD|238215|150.95
Department For Transport|British Transport Police|04/04/2011|CATERING COSTS|NW AREA COMMAND|LYRECO UK LTD|238215|245.30
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW MANCHESTER STAFF COSTS|LYRECO UK LTD|238215|481.99
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW PRESTON STAFF COSTS|LYRECO UK LTD|238215|61.43
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW CARLISLE STAFF COSTS|LYRECO UK LTD|238215|250.63
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW LANCASTER STAFF COSTS|LYRECO UK LTD|238215|9.22
Department For Transport|British Transport Police|04/04/2011|CLEANING MATERIALS- PURCHASE|NW WIGAN STAFF COSTS|LYRECO UK LTD|238215|64.11
Department For Transport|British Transport Police|04/04/2011|CLEANING MATERIALS- PURCHASE|N/West Custody Suites|LYRECO UK LTD|238215|21.77
Department For Transport|British Transport Police|04/04/2011|STATIONERY|NW OPERATIONS|LYRECO UK LTD|238215|189.90
Department For Transport|British Transport Police|04/04/2011|CLEANING MATERIALS- PURCHASE|NW CREWE STAFF COSTS|LYRECO UK LTD|238215|133.77
Department For Transport|British Transport Police|04/04/2011|CATERING COSTS|NW CREWE STAFF COSTS|LYRECO UK LTD|238215|11.10
Department For Transport|British Transport Police|04/04/2011|EQUIP PURCH  NON POL  (NONCAP)|NW LIVERPOOL STAFF COSTS|LYRECO UK LTD|238215|240.65
Department For Transport|British Transport Police|04/04/2011|SOLICITORS FEES|FHQ MAJOR INCIDENT SUPPORT|MARIEL IRVINE SOLICITORS|227587|91,402.18
