DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE|PERIOD
Department for Transport|Department for Transport|01/08/2011|Personal Development|General Counsel's Office|ANDREW SYK|2000009247|18150|Incidental Costs 07.12.2011|WS15 4TQ|
Department for Transport|Department for Transport|01/08/2011|Cars Fuel|Group Finance|ARVAL|2000009220|3405.8|ARVAL - CAR HIRE - JUNE 11|SN5 6PE|
Department for Transport|Department for Transport|01/08/2011|Support Services|Aviation|BAE SYSTEMS (OPERATIONS) LTD|2000009222|29137.5|april, may , june 2011|PR4 1AX|
Department for Transport|Department for Transport|01/08/2011|Purchasing Card Charges|Centrally held prog|BARCLAYS BANK PLC|2000009223|2759|Barclays - DFT/INECC - July 11|TS17 6YG|
Department for Transport|Department for Transport|01/08/2011|Purchasing Card Charges|Centrally held prog|BARCLAYS BANK PLC|2000009223|26821.95|July 2011 Statement|TS17 6YG|
Department for Transport|Department for Transport|01/08/2011|Purchasing Card Charges|CRN DG|BARCLAYS BANK PLC|2000009223|1948.6|Barclays - CRN July 20011|TS17 6YG|
Department for Transport|Department for Transport|01/08/2011|Purchasing Card Charges|Transport Security|BARCLAYS BANK PLC|2000009223|2087.94|July 2011 Statement|TS17 6YG|
Department for Transport|Department for Transport|01/08/2011|Legal Consultancy|Rail and Road Projects|C M S CAMERON MCKENNA|2000009224|1672.12|Period to 30Jun11|EC1A 4DD|
Department for Transport|Department for Transport|01/08/2011|Travel Expenses UK|Centrally held prog|CARLSON WAGONLIT TRAVEL|2000009243|2041.18|CWT - International Netwroks & Environment July11|EN6 5RF|
Department for Transport|Department for Transport|01/08/2011|Travel Expenses UK|CRN DG|CARLSON WAGONLIT TRAVEL|2000009243|1654.96|CWT-City Regional Networks - July 2011|EN6 5RF|
Department for Transport|Department for Transport|01/08/2011|Travel Expenses UK|Transport Security|CARLSON WAGONLIT TRAVEL|2000009243|1535.08|CWT - Transec - July 2011|EN6 5RF|
Department for Transport|Department for Transport|01/08/2011|Programme and Project Management Consultancy|Greener Transport & International|CENEX|2000009244|25806.33|Low Carbon Vehicle Procurement Programme|LE11 3TU|
Department for Transport|Department for Transport|01/08/2011|Media & Press|Business Transformation|CENTRAL OFFICE OF INFORMATION|2000009225|2125|MMU Transcripts 50k words July 11|SE1 7DU|
Department for Transport|Department for Transport|01/08/2011|Publicity|Roads|CENTRAL OFFICE OF INFORMATION|2000009225|34860.46|12CDRS03120 ONLINE MC Search Display|SE1 7DU|
Department for Transport|Department for Transport|01/08/2011|Publicity|Roads|CENTRAL OFFICE OF INFORMATION|2000009225|77487.84|12CDRS03120 VOD MC Media and fees June|SE1 7DU|
Department for Transport|Department for Transport|01/08/2011|Travel Expenses Overseas|Marine Accident Investigation Branch|CLYDE TRAVEL|2000009226|4804.2||G51 1HJ
Department for Transport|Department for Transport|01/08/2011|Agency Staff Costs|Rail and Road Projects|ELAN COMPUTING LTD|2000009228|3626.88||EC1R 3DR
Department for Transport|Department for Transport|01/08/2011|Agency Staff Costs|Rail and Road Projects|ELAN COMPUTING LTD|2000009228|6053.94||EC1R 3DR
Department for Transport|Department for Transport|01/08/2011|Subscriptions to Professional bodies|Commercial & Technical Services|EMAP LTD|2000009241|3120|IJ Subscription (11/1/10-10/1/12)|NW1W 8DH
Department for Transport|Department for Transport|01/08/2011|Rent - L&B (non-PFI)|Rail and Road Projects|EUROSTAR (UK) LTD|2000009242|135000||SE1 8SE
Department for Transport|Department for Transport|01/08/2011|Transport Consultancy|Greener Transport & International|EXPERIAN LTD|2000009229|20666||NG80 1ZZ
Department for Transport|Department for Transport|01/08/2011|Services provided by OGDs|Domestic DG's Office|GOVERNMENT ACTUARY'S DEPARTMENT|2000009248|30541.1|Jun-11|EC4A 1AB
Department for Transport|Department for Transport|01/08/2011|Secondments|Roads|H M TREASURY|2000009249|14907.58||SW1A 2HQ
Department for Transport|Department for Transport|01/08/2011|Traffic Survey & Counting Equipment|Local|NATIONAL CENTRE FOR SOCIAL RESEARCH|2000009230|33189||EC1V 0AX
Department for Transport|Department for Transport|01/08/2011|Traffic Survey & Counting Equipment|Local|NATIONAL CENTRE FOR SOCIAL RESEARCH|2000009230|202893||EC1V 0AX
Department for Transport|Department for Transport|01/08/2011|Research|Regional & Local Transport Delivery|QUEENS UNIVERSITY BELFAST|2000009245|11993.86|Loss of access|BT7 1NN
Department for Transport|Department for Transport|01/08/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000009231|2776.2|QMP building consultancy 2011-12|NN6 9DS
Department for Transport|Department for Transport|01/08/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000009231|2934.84|QMP building consultancy 2011-12|NN6 9DS
Department for Transport|Department for Transport|01/08/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000009231|5988.66|QMP building consultancy 2011-12|NN6 9DS
Department for Transport|Department for Transport|01/08/2011|Management Consultancy|Business Transformation|QUINCEY MASON PRACTICES LTD|2000009231|738.28|QMP building consultancy 2011-12|NN6 9DS
Department for Transport|Department for Transport|01/08/2011|Data Supply - Transport Direct|Transport Direct and Travel information|RAIL SETTLEMENT PLAN|2000009232|1987.38||WC1N 1BY
Department for Transport|Department for Transport|01/08/2011|Telephone charges|Centrally held prog|SIEMENS ENTERPRISE COMMUNICATIONS L|2000009233|4917.6||MK15 ODJ
