DEPARTMENTFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|SUMOFAMOUNT|TEXT|POSTCODE
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|JC Couriers Ltd|76905|1295.16|| PE2 6UP
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|Swift  Despatch Ltd|76931|1354.97|| L3 7HJ
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|UK Express Couriers Ltd|76903|792.72|| LS28 7RZ
Department for Transport|GCDA|10.02.12|Tel Chrg|IT|Orange Hutchinson Telecom|76872|1345.69|| DL14YQ
Department for Transport|GCDA|10.02.12|Profesional Chrg|POD| Treasury Solicitors Clients Monies|77072|810.2|| WC2B 4TS
Department for Transport|GCDA|10.02.12|Security Service|Facilities|EcovertFM|77049|32156.49|| BN1 1HG
Department for Transport|GCDA|10.02.12|Gas Usage|Facilities|EDF Energy|77066|7266.37|| PL3 5XQ
Department for Transport|GCDA|10.02.12|Rent Chrg|Facilities|Bradford Chambers of Commerce|77026|733.2|| BD4 8NW
Department for Transport|GCDA|10.02.12|Vehicle hire|Operation|Network Logistics UK Ltd|76909|981.55|| RH16 3BY
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|UK Express Couriers Ltd|77060|1101.32|| LS28 7RZ
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|Swift  Despatch Ltd|77082|1155.41|| L3 7HJ
Department for Transport|GCDA|10.02.12|Vehicle hire|Operation|Network Logistics UK Ltd|77006|1820.95|| RH16 3BY
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|76935|641.82|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|76936|687.6|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|76939|662.09|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|76953|1020|| B18 5AN
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|Royal Mail -  (Cab Office)|77012|5768.5|| PE4 5PG
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|76951|3157.71|| B18 5AN
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|77022|3203.91|| B18 5AN
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|Swift  Despatch Ltd|76932|1242|| L3 7HJ
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|JC Couriers Ltd|76957|2120.88||DY5 4JJ
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|76942|641.82|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Network Logistics UK Ltd|77098|1624.63|| RH16 3BY
Department for Transport|GCDA|10.02.12|Support Chrg|Govt Mail|Blackbay|76984|2625|| W1B 5SB
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Swift  Despatch Ltd|77080|706.61|| L3 7HJ
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Swift  Despatch Ltd|77081|918|| L3 7HJ
Department for Transport|GCDA|10.02.12|Congestion Chrg|Govt Mail|Transport for London|76956|3036|| SE10 1AP
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Driver Hire Bradford Ltd|77084|3215.84|| G2 5ER
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Driver Hire Trading Ltd|77059|732.24|| SW20 8LX
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|77089|3157.71|| B18 5AN
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|Ozone Couriers Ltd|77092|1020|| B18 5AN
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77051|641.82|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77052|701.11|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77054|675.6|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77055|675.6|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Agy Drivers|Govt Mail|Roberts Knight  Ltd|77058|641.82|| EC4R 2ST
Department for Transport|GCDA|10.02.12|Cxd Chrg|W/Shop|Ford Motors|76839|3000|| SS16 5XX
Department for Transport|GCDA|10.02.12|Tranman Support|IT|Civica UK Limited|76914|11130.85|| B46 1JU
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|Network Logistics UK Ltd|77007|915.92|| RH16 3BY
Department for Transport|GCDA|10.02.12|Courier Service|Regional+|JC Couriers Ltd|76973|1226.4|| PE2 6UP
Department for Transport|GCDA|10.02.12|Vehicle hire|Operation|Network Logistics UK Ltd|76908|1070.4|| RH16 3BY
Department for Transport|GCDA|10.02.12|Vehicle hire|Operation|Network Logistics UK Ltd|77008|1147.51|| RH16 3BY
Department for Transport|GCDA|10.02.12|Medical Chrg|POD|General Medical Clinic|77063|677.25||EC4Y 8AA
Department for Transport|GCDA|10.02.12|Courier Service|Govt Mail|JC Couriers Ltd|77119|2120.88|| PE2 6UP
