DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|POSTCODE
Department for Transport|HS2 Ltd|11/05/2012|Accomodation|GP|Communities and Local Government|019-08-0014136|63536.99||
Department for Transport|HS2 Ltd|17/05/2012|Agency|NCD|Reed Employment Plc|004-02-0014271|505.24||
Department for Transport|HS2 Ltd|09/05/2012|Agency|NLM|Hays Office Support|004-02-0014049|544.66||
Department for Transport|HS2 Ltd|23/05/2012|Agency|NLM|Hays Office Support|004-02-0014382|544.66||
Department for Transport|HS2 Ltd|23/05/2012|Agency|APA|Reed Employment Plc|004-02-0014393|546.65||
Department for Transport|HS2 Ltd|24/05/2012|Agency|NSP|Matchtech Group UK Limited|004-02-0014493|547.2||
Department for Transport|HS2 Ltd|29/05/2012|Agency|ACF|Advantage Professional|004-02-0014658|550.37||
Department for Transport|HS2 Ltd|23/05/2012|Agency|NPA|Reed Employment Plc|004-02-0014388|555.76||
Department for Transport|HS2 Ltd|23/05/2012|Agency|NPL|Reed Employment Plc|004-02-0014392|560.35||
Department for Transport|HS2 Ltd|09/05/2012|Agency|APA|Reed Employment Plc|004-02-0014040|572.42||
Department for Transport|HS2 Ltd|28/05/2012|Agency|NPA|Hays Office Support|004-02-0014604|582.91||
Department for Transport|HS2 Ltd|23/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014390|603||
Department for Transport|HS2 Ltd|09/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014047|603||
Department for Transport|HS2 Ltd|17/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014264|603||
Department for Transport|HS2 Ltd|23/05/2012|Agency|APA|Reed Employment Plc|004-02-0014389|608.53||
Department for Transport|HS2 Ltd|24/05/2012|Agency|NTO|Advantage Professional|004-02-0014496|617.04
Department for Transport|HS2 Ltd|23/05/2012|Agency|APA|Reed Employment Plc|004-02-0014395|618.84
Department for Transport|HS2 Ltd|17/05/2012|Agency|NPL|Reed Employment Plc|004-02-0014262|643.02
Department for Transport|HS2 Ltd|24/05/2012|Agency|NPA|Reed Employment Plc|004-02-0014497|643.32
Department for Transport|HS2 Ltd|23/05/2012|Agency|NPA|Hays Office Support|004-02-0014383|648.41
Department for Transport|HS2 Ltd|09/05/2012|Agency|APA|Reed Employment Plc|004-02-0014039|652.21
Department for Transport|HS2 Ltd|17/05/2012|Agency|NPA|Reed Employment Plc|004-02-0014260|661.39
Department for Transport|HS2 Ltd|28/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014591|674.27
Department for Transport|HS2 Ltd|28/05/2012|Agency|NPA|Reed Employment Plc|004-02-0014595|679.76
Department for Transport|HS2 Ltd|16/05/2012|Agency|NLM|Hays Office Support|004-02-0014177|680.82
Department for Transport|HS2 Ltd|17/05/2012|Agency|APA|Reed Employment Plc|004-02-0014258|685.88
Department for Transport|HS2 Ltd|28/05/2012|Agency|NPL|Reed Employment Plc|004-02-0014598|688.96
Department for Transport|HS2 Ltd|09/05/2012|Agency|NPL|Reed Employment Plc|004-02-0014037|688.96
Department for Transport|HS2 Ltd|17/05/2012|Agency|NPA|Reed Employment Plc|004-02-0014270|698.14
Department for Transport|HS2 Ltd|16/05/2012|Agency|NSP|Matchtech Group UK Limited|004-02-0014208|700.8
Department for Transport|HS2 Ltd|09/05/2012|Agency|APA|Reed Employment Plc|004-02-0014054|716.82
Department for Transport|HS2 Ltd|16/05/2012|Agency|NSP|Matchtech Group UK Limited|004-02-0014185|720
Department for Transport|HS2 Ltd|28/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014588|720.37
Department for Transport|HS2 Ltd|28/05/2012|Agency|APA|Reed Employment Plc|004-02-0014597|732.3
Department for Transport|HS2 Ltd|28/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014593|733.66
Department for Transport|HS2 Ltd|28/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014599|735.84
Department for Transport|HS2 Ltd|29/05/2012|Agency|ACF|Advantage Professional|004-02-0014659|737.1
Department for Transport|HS2 Ltd|09/05/2012|Agency|NSP|Michael Page|004-02-0014043|750.19
Department for Transport|HS2 Ltd|23/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014391|754.24
Department for Transport|HS2 Ltd|16/05/2012|Agency|NTO|Advantage Professional|004-02-0014181|755.88
Department for Transport|HS2 Ltd|16/05/2012|Agency|NTO|Advantage Professional|004-02-0014182|761.02
Department for Transport|HS2 Ltd|17/05/2012|Agency|APA|Reed Employment Plc|004-02-0014266|763.24
Department for Transport|HS2 Ltd|28/05/2012|Agency|APA|Reed Employment Plc|004-02-0014594|763.24
Department for Transport|HS2 Ltd|17/05/2012|Agency|APA|Reed Employment Plc|004-02-0014265|773.56
Department for Transport|HS2 Ltd|09/05/2012|Agency|APA|Reed Employment Plc|004-02-0014033|773.56
Department for Transport|HS2 Ltd|16/05/2012|Agency|NTO|Advantage Professional|004-02-0014211|781.58
Department for Transport|HS2 Ltd|29/05/2012|Agency|NTO|Advantage Professional|004-02-0014657|781.58
Department for Transport|HS2 Ltd|09/05/2012|Agency|NTE|Hays Office Support|004-02-0014048|787.81
Department for Transport|HS2 Ltd|17/05/2012|Agency|NTD|Reed Employment Plc|004-02-0014263|794.22
Department for Transport|HS2 Ltd|28/05/2012|Agency|NPA|Reed Employment Plc|004-02-0014592|804.16
Department for Transport|HS2 Ltd|17/05/2012|Agency|NPA|Hays Office Support|004-02-0014272|836.64
Department for Transport|HS2 Ltd|28/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014590|841.4
Department for Transport|HS2 Ltd|09/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014038|846.22
Department for Transport|HS2 Ltd|28/05/2012|Agency|NPA|Hays Office Support|004-02-0014602|852.35
Department for Transport|HS2 Ltd|09/05/2012|Agency|ACH|Reed Employment Plc|004-02-0014034|864.46
Department for Transport|HS2 Ltd|09/05/2012|Agency|NPA|Hays Office Support|004-02-0014050|878.5
Department for Transport|HS2 Ltd|23/05/2012|Agency|NTD|Reed Employment Plc|004-02-0014394|883.9
