DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|POSTCODE
Department for Transport|Department for Transport|01/08/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000009487|3323.28|#|KT3 4JQ
Department for Transport|Department for Transport|01/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009490|4896|#|SL1 3SA
Department for Transport|Department for Transport|01/08/2013|Agency Staff Costs|Rail Accident Investigation Branch|SPRING TECHNOLOGY LTD  ALSO T/A|2000009492|775.72|#|B37 7YE
Department for Transport|Department for Transport|01/08/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000009490|2832.19|#|SL1 3SA
Department for Transport|Department for Transport|01/08/2013|Agency Staff Costs|Rail|CAPITA RESOURCING LTD|2000009491|28728|#|DL1 9HN
Department for Transport|Department for Transport|01/08/2013|Building Insurance|Business Transformation|JONES LANG LaSALLE (BODMIN)|2000009493|6629.22|#|E14 5EG
Department for Transport|Department for Transport|01/08/2013|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000009495|1279.75|#|DE24 8AN
Department for Transport|Department for Transport|01/08/2013|IT Ser Running Costs|Business Transformation|SELEX ES LTD|2000009496|10367.33|#|BS16 1EJ
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|8637.36|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|10265.64|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|7805.6|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|1900.66|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|7613.76|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|11247.06|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|2111.2|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|12375|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|12228.48|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|11247.06|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|10265.64|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|10265.64|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|9150.24|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|10253.76|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|3447.58|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|6543.56|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|9849.84|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|2915|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|1122|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Printing|DASH|WILLIAMS LEA LIMITED|2000009497|17832.1|#|NR3 1PD
Department for Transport|Department for Transport|01/08/2013|Rent - L&B (non-PFI)|Business Transformation|GVA GRIMLEY|2000009489|66308.84|#|B1 2JB
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Business Transformation|MICHAEL PAGE INTERNATIONAL|2000009569|5099.8|#|SL1 3SA
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Group Finance|BADENOCH & CLARK|2000009549|4036.38|#|EC4V 4BG
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009569|1829.28|#|SL1 3SA
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000009569|-1829.28|#|SL1 3SA
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000009570|3393.6|#|BR1 1HP
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000009555|964.26|#|EC1R 3DR
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Rail Commercial Contracts|NETWORKERS INTERNATIONAL (UK) PLC|2000009570|4194|#|BR1 1HP
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Group Finance|NETWORKERS INTERNATIONAL (UK) PLC|2000009570|868.74|#|BR1 1HP
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Refran Prog Off|EXPERIS LTD|2000009555|5526.72|#|EC1R 3DR
Department for Transport|Department for Transport|02/08/2013|Agency Staff Costs|Refran Prog Off|NETWORKERS INTERNATIONAL (UK) PLC|2000009570|883.92|#|BR1 1HP
Department for Transport|Department for Transport|02/08/2013|Agents Fees|Business Transformation|xxxxxxxxx|2000009573|1876|#|xxxxxxx
