DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE
Department for Transport|Department for Transport|02/12/2013|Agency Staff Costs|Refran Prog Off|CAPITA RESOURCING LTD|2000018789|6938.76|#|DL1 9HN
Department for Transport|Department for Transport|02/12/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000018788|3333|#|SL1 3SA
Department for Transport|Department for Transport|02/12/2013|Cap Grt Loc Auth|Greener Transport & International|CITY OF YORK COUNCIL|2000018801|23700|York City CBT Grant|Y01 7WH
Department for Transport|Department for Transport|02/12/2013|Cap Grt Loc Auth|Greener Transport & International|SUNDERLAND CITY COUNCIL|2000018802|275500|Sunderland CBT #275k|SR2 7DN
Department for Transport|Department for Transport|02/12/2013|Cap Grt NDPBs & CG|Greener Transport & International|TECHNOLOGY STRATEGY BOARD|2000018790|806925.2|TSB Green Truck Trial Q2 #806k|SN2 1JF
Department for Transport|Department for Transport|02/12/2013|Cap Grt Pri Sec-Cos.|Greener Transport & International|British Gas Ltd|2000018798|173000|British Gas to end Sept 2013  #173k|S60 1BY
Department for Transport|Department for Transport|02/12/2013|Cap Grt Pri Sec-Cos.|Greener Transport & International|British Gas Ltd|2000018798|122000|British Gas August 2013 #122k|S60 1BY
Department for Transport|Department for Transport|02/12/2013|Cap Grt Pri Sec-Cos.|Greener Transport & International|Pembrokeshire Power EV|2000018797|2000|Pembrokeshire Power unique claim  number 004 #2k|SA61 1BX
Department for Transport|Department for Transport|02/12/2013|Cap Grt Pri Sec-Cos.|Greener Transport & International|Sanderson Electrical Ltd|2000018799|10000|Sanderson Electrical #10k|NE11 9HD
Department for Transport|Department for Transport|02/12/2013|Car Tax & Insurance|Motoring Services|TOYOTA (GB) PLC|2000018795|230|#|KT18 5XS
Department for Transport|Department for Transport|02/12/2013|Curr Grt Other CG Bo|Greener Transport & International|TECHNOLOGY STRATEGY BOARD|2000018790|2373503.28|TSB LCVIP IDP7|SN2 1JF
Department for Transport|Department for Transport|02/12/2013|CurrGrtPriSec-P&NPIS|Greener Transport & International|LOW CARBON VEHICLE PARTNERSHIP|2000018791|40000|LowCVP Nov Claim #40,000 |SW1H 9JJ
Department for Transport|Department for Transport|02/12/2013|EU Cap Grt NDPBs|Greener Transport & International|Harwich Haven Authority|2000018800|321626.63|Adv payment-2012-UK-91140-S Harwich Haven Channel|CO12 3HH
Department for Transport|Department for Transport|02/12/2013|EU Cap Grt NDPBs|Greener Transport & International|NETWORK RAIL INFRASTRUCTURE LTD|2000018792|4825002.83|Advance payment-2012-UK-26058-P Ipswich Chord|N1 9AG
Department for Transport|Department for Transport|02/12/2013|EU Cap Grt NDPBs|Greener Transport & International|NETWORK RAIL INFRASTRUCTURE LTD|2000018792|4678080.62|Adv payment-2012-UK-91128-P GWM Electrification|N1 9AG
Department for Transport|Department for Transport|02/12/2013|EU Cap Grt NDPBs|Greener Transport & International|NETWORK RAIL INFRASTRUCTURE LTD|2000018792|8019354.71|Adv payment-2012-UK-26060-P Transpennine Rail|N1 9AG
Department for Transport|Department for Transport|02/12/2013|Investigation Servic|Rail Accident Investigation Branch|RICARDO - AEA LIMITED|2000018796|3819.6|#|OX11 0PQ
Department for Transport|Department for Transport|02/12/2013|Legal Consultancy|Rail and Road Projects|xxxxxx|2000018794|1260|#|xxxxxx
Department for Transport|Department for Transport|02/12/2013|Security|Air Accident Investigation Branch|SG WORLD LTD|2000018787|915.6|SG WORLD 2000 VISITORS BADGES 08/11/13|CW1 6ND
Department for Transport|Department for Transport|02/12/2013|Support Services|Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|100022447|1422.13|#|SA6 7JL
Department for Transport|Department for Transport|02/12/2013|Support Services|Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|100022447|-1422.13|#|SA6 7JL
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|654.06|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|2616.24|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000018877|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|1197.9|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|1197.9|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|718.74|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|1197.9|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|718.74|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|958.32|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|1197.9|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|718.74|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|1197.9|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000018873|1197.9|#|KT3 4JQ
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000018875|4036.38|#|BN11 2BW
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000018875|4036.38|#|BN11 2BW
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000018875|2719.38|#|BN11 2BW
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000018875|2719.38|#|BN11 2BW
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000018889|4494|#|SL1 3SA
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Rail and Road Projects|SPRING TECHNOLOGY LTD  ALSO T/A|2000018893|1320|#|B37 7YE
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Rail Commercial Contracts|METHODS CONSULTING LTD|2000018880|5405.52|#|WC2H 8AD
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Rail Commercial Contracts|MORGAN HUNT UK LTD|2000018881|3852|#|EC4M 7EG
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Managing Director Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|2000018893|3182.4|#|B37 7YE
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Managing Director Motoring Services|SPRING TECHNOLOGY LTD  ALSO T/A|2000018893|3182.4|#|B37 7YE
Department for Transport|Department for Transport|03/12/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000018889|666.6|#|SL1 3SA
Department for Transport|Department for Transport|03/12/2013|Contract Cleaning|Marine Accident Investigation Branch|PROGRESS CLEANING SERVICES|2000018874|702|#|SO30 2FQ
Department for Transport|Department for Transport|03/12/2013|Contract Cleaning|Rail Accident Investigation Branch|OFFICE CARE LTD|2000018894|1279.75|#|DE24 8AN
Department for Transport|Department for Transport|03/12/2013|CurrGrt Las in AEF/A|Rail|MERSEY TRAVEL|2000018891|6408984.21|Marsey Travel grant 9th payment|L3   2AN
Department for Transport|Department for Transport|03/12/2013|Data Supply - TD|Transport Direct and Travel information|INRIX MEDIA LTD|2000018892|18499.2|#|WA14 1EP
Department for Transport|Department for Transport|03/12/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF Caisse Generale|2000018820|5078465.3|SNCF November 2013 funds GBP payment|93633
Department for Transport|Department for Transport|03/12/2013|Eurotunnel Admin Pay|Rail Commercial Contracts|SNCF TRESORERIE ENC RHT VFE|2000018819|5148625.04|SNCF November 2013 funds Euro payment|75014
Department for Transport|Department for Transport|03/12/2013|IT Consultancy|Rail Commercial Contracts|ATOS IT SERVICES UK LTD|2000018876|14071.36|#|WV10 6UH
Department for Transport|Department for Transport|03/12/2013|IT Ser Running Costs|Roads|SELEX ES LTD|2000018895|1406.88|#|BS16 1EJ
Department for Transport|Department for Transport|03/12/2013|Legal Consultancy|Aviation Security |xxxxxx|2000018879|1188|#|xxxxxx
Department for Transport|Department for Transport|03/12/2013|Legal Consultancy|DASH|WINCKWORTH SHERWOOD|2000018886|456884.4|#|SE1 9BB
Department for Transport|Department for Transport|03/12/2013|Rent - L&B (non-PFI)|Business Transformation|DWP SHARED SERVICES|2000018900|958.43|#|CF14 3UW
Department for Transport|Department for Transport|03/12/2013|Research|Greener Transport & International|OFFICE FOR NATIONAL STATISTICS|100022540|17500|Match to credit note|NP10 8XG
Department for Transport|Department for Transport|03/12/2013|Research|Greener Transport & International|OFFICE FOR NATIONAL STATISTICS|100022540|-17500|#|NP10 8XG
Department for Transport|Department for Transport|03/12/2013|Services prov by OGD|Transport Security Strategy|DEFENCE BUSINESS SERVICES|2000018896|3381.6|#|YO10 4AS
Department for Transport|Department for Transport|03/12/2013|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000018890|1114.53|#|DL3 6XR
Department for Transport|Department for Transport|03/12/2013|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000018890|987.04|#|DL3 6XR
Department for Transport|Department for Transport|03/12/2013|Support Services|Group Finance|DD ACCRAILWAY PENS TRUSTEE|2000018890|3506.78|#|DL3 6XR
Department for Transport|Department for Transport|03/12/2013|Support Services|Motoring Services|DRIVER & VEHICLE LICENSING AGENCY|2000018901|1422.13|#|SA6 7JL
Department for Transport|Department for Transport|03/12/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000018899|163256|Industrial Injury Claim BRB 058840|HA1 3AP
Department for Transport|Department for Transport|03/12/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000018899|93635.2|#|HA1 3AP
Department for Transport|Department for Transport|03/12/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000018899|140000|Industrial Injury Claim BRB 058666|HA1 3AP
Department for Transport|Department for Transport|03/12/2013|Support Services|General Counsel's Office|Thompsons Solicitors|2000018899|32550|Industrial Injury Claim BRB 57904|HA1 3AP
Department for Transport|Department for Transport|03/12/2013|Transport  Consult|Rail and Road Projects|MOTT MACDONALD|2000018882|137465.9|#|CR9 2UL
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000019012|3270.3|#|EC4V 4BG
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group HR|HAYS PERSONNEL SERVICE LTD|2000019010|5352|#|KT3 4JQ
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group HR|SPRING TECHNOLOGY LTD  ALSO T/A|2000019035|2970|#|B37 7YE
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|CAPITA RESOURCING LTD|2000019030|10047.37|#|DL1 9HN
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|100023973|6878.04|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|100023973|-6878.04|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000019016|6878.04|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000019016|5502.43|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000019016|1285.68|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000019028|7080.48|#|SL1 3SA
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Rail Commercial Contracts|MICHAEL PAGE INTERNATIONAL|2000019028|3540.24|#|SL1 3SA
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Local|EXPERIS LTD|2000019016|1564.72|#|EC1R 3DR
Department for Transport|Department for Transport|04/12/2013|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000019011|5460.06|#|BN11 2BW
