DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Corporate Governance|BADENOCH & CLARK|2000002629|2065.46|#|EC4V 4BG
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000002643|555.89|#|AL1 4JB
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Programme Office|BADENOCH & CLARK|2000002629|1404.53|#|EC4V 4BG
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Rail Commercial & Programme Office|METHODS CONSULTING LTD|2000002636|5803.06|#|WC2H 8AD
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Rail Strategy & Funding|CAPITA RESOURCING LTD|2000002645|4026|#|DL1 9HN
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Rail Strategy & Funding|EXPERIS LTD|2000002633|599.94|#|EC1R 3DR
Department for Transport|Department for Transport|01/05/2014|Agency Staff Costs|Rail Strategy & Funding|EXPERIS LTD|2000002633|999.9|#|EC1R 3DR
Department for Transport|Department for Transport|01/05/2014|Agents Fees|Motoring Services|VEHICLE & OPERATOR SERVICES AGENCY|2000002624|1459640|#|SA1 8AN
Department for Transport|Department for Transport|01/05/2014|Air Travel|Group Finance|REDFERN TRAVEL LTD|2000002652|6192.75|Travel Statement  - Mar 2014|BD1 3AZ
Department for Transport|Department for Transport|01/05/2014|Cap Grt Pri Sec-Cos.|Major Projects & Growth|FIRST SHARED SERVICES|2000002648|420985.85|First Greater Western FGW SSF 13/14|AB24 5RP
Department for Transport|Department for Transport|01/05/2014|Cap Grt Pri Sec-Cos.|Major Projects & Growth|LONDON & BIRMINGHAM RAILWAY LTD|2000002653|279687.38|Ldn Mid SSF 13/14|B2 4JB
Department for Transport|Department for Transport|01/05/2014|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Everwarm Ltd|2000002659|206975|Everwarm Ltd  March 2014 #206975|EH48 2EP
Department for Transport|Department for Transport|01/05/2014|Contract Cleaning|Marine Accident Investigation Branch|PROGRESS CLEANING SERVICES|2000002625|702|#|SO30 2FQ
Department for Transport|Department for Transport|01/05/2014|CurrGrt Las in AEF/A|Motoring, Freight & London|GREATER LONDON AUTHORITY|2000002664|134188846|GLA Transport Grant - May 14/15|SE1 2UT
Department for Transport|Department for Transport|01/05/2014|Data Supply - TD|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002628|4821.6|#|WV10 6UH
Department for Transport|Department for Transport|01/05/2014|Data Supply - TD|Transport Direct&Travel|OAG WORLDWIDE LTD|2000002637|2210|#|LU1 3LU
Department for Transport|Department for Transport|01/05/2014|Gas|Group Procurement & Estate|CORONA ENERGY RETAIL 4 LTD|2000002631|2226.36|Corona - 01.04.2014|WD17 1JW
Department for Transport|Department for Transport|01/05/2014|Hospitality|Group Procurement & Estate|AMEY COMMUNITY LIMITED|2000002626|3464.22|Amey - Hospitality Charges - December 2013|OX4 4DQ
Department for Transport|Department for Transport|01/05/2014|Hotel&Accom Costs|Group Finance|REDFERN TRAVEL LTD|2000002652|5219.19|Travel Statement  - Mar 2014|BD1 3AZ
Department for Transport|Department for Transport|01/05/2014|IT Ser Running Costs|Transport Direct&Travel|ATOS IT SERVICES UK LTD|2000002628|2289.6|#|WV10 6UH
Department for Transport|Department for Transport|01/05/2014|L&B Excl Dwellings|Maritime|KONE PLC|2000002634|56856.96|#|BD21 4YA
Department for Transport|Department for Transport|01/05/2014|Legal Consultancy|Rail Commercial & Programme Office|Eversheds LLP|2000002654|3600|#|EC2V 7WS
Department for Transport|Department for Transport|01/05/2014|Legal Consultancy|Policy, Legislation and Funding|TREASURY SOLICITOR|2000002622|5998.56|#|WC2B 4TS
Department for Transport|Department for Transport|01/05/2014|Legal Consultancy|Policy, Legislation and Funding|WINCKWORTH SHERWOOD|2000002641|27953.4|#|SE1 9BB
Department for Transport|Department for Transport|01/05/2014|Mobile Phone charges|RTL DG's Office|VODAFONE LTD|2000002644|2974.69|Vodafone - Acc No. 604232442, 14 April 2014|RG14 5FF
Department for Transport|Department for Transport|01/05/2014|Mobile Phone charges|Centrally held prog-NATs|VODAFONE LTD|2000002644|11017.5|Vodafone - Acc No. 604232362, 14 Apr 14|RG14 5FF
Department for Transport|Department for Transport|01/05/2014|Mobile Phone charges|Group Finance|VODAFONE LTD|2000002644|7504.16|Vodafone - Acc No. 604232420, 14 Apr 1|RG14 5FF
