DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Communication|MICHAEL PAGE INTERNATIONAL|2000007101|2288.16|#|SL1 3SA|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Communication|NETWORKERS INTERNATIONAL (UK) PLC|2000007103|1013.52|#|BR1 1HP|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Finance|ALLEN LANE FINANCIAL RECRUITMENT|2000007088|4036.38|#|BN11 2BW|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007101|4968|#|SL1 3SA|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007101|3240|#|SL1 3SA|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000007101|2304|#|SL1 3SA|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Group Human Resource|Experis Ltd|2000007089|11504.16|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Major Projects & Growth|SPRING TECHNOLOGY LTD  ALSO T/A|2000007104|1320|#|B37 7YE|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Major Projects & Growth|Experis Ltd|2000007089|6040.02|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Major Projects & Growth|Experis Ltd|2000007089|3834.77|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|Experis Ltd|2000007089|7565.84|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|Experis Ltd|2000007089|-7565.84|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Commercial & Programme Office|Experis Ltd|2000007089|7532.58|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Local|CAPITA BUSINESS SERVICES LTD|2000007087|1508.82|#|DL1 9HN|
Department for Transport|Department for Transport|01/07/2014|Agency Staff Costs|Rail Strategy & Funding|Experis Ltd|2000007089|2383.38|#|EC2M 2RB|
