DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|POSTCODE
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Rail Commercial Contracts|EXPERIS LTD|2000016320|5303.44|#|EC1R 3DR
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Local|EXPERIS LTD|2000016320|2682.36|#|EC1R 3DR
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Local|EXPERIS LTD|2000016320|2235.3|#|EC1R 3DR
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Group Finance|MICHAEL PAGE INTERNATIONAL|2000016326|4732.8|#|SL1 3SA
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Local|VEHICLE & OPERATOR SERVICES AGENCY|2000016313|27942.64|#|SA1 8AN
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Local|VEHICLE & OPERATOR SERVICES AGENCY|2000016313|232063|#|SA1 8AN
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Highspeed 2|BADENOCH & CLARK|2000016318|702.26|#|EC4V 4BG
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Group Finance|EXPERIS LTD|2000016320|3850.32|#|EC1R 3DR
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Group Finance|EXPERIS LTD|2000016320|4352.58|#|EC1R 3DR
Department for Transport|Department for Transport|01/11/2013|Agency Staff Costs|Refran Prog Off|MICHAEL PAGE INTERNATIONAL|2000016326|666.6|#|SL1 3SA
Department for Transport|Department for Transport|01/11/2013|Audit Fees (cash)|Group Internal Audit|PRICEWATERHOUSECOOPERS LLP|2000016321|56592.08|#|E14 9SQ
Department for Transport|Department for Transport|01/11/2013|Building Service Cha|Business Transformation|AMEY COMMUNITY LTD|2000016342|172993.98|#|OX4 4DQ
Department for Transport|Department for Transport|01/11/2013|Data Supply - TD|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|4821.6|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|Data Supply - TD|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|4709.04|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|Data Supply - TD|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|11497.2|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|Grant Payments|Rail Commercial Contracts|GREATER MANCHESTER PTA|2000016331|5331286.21|1408 Wk3 PTE Subsidy incl indexation - Transport f|M1 3BG
Department for Transport|Department for Transport|01/11/2013|Grant Payments|Rail Commercial Contracts|MERSEYTRAVEL|2000016328|1155549.72|1408 Wk3 PTE Subsidy incl Indexation - MerseyRail|L3 2AN
Department for Transport|Department for Transport|01/11/2013|Grant Payments|Rail Commercial Contracts|NEXUS (TYNE & WEAR)|2000016329|315149.92|1408 Wk3 PTE Subsidy incl Indexation - Nexus|NE1 4AX
Department for Transport|Department for Transport|01/11/2013|Grant Payments|Rail Commercial Contracts|SOUTH YORKSHIRE PTE|2000016330|2022212.01|1408 Wk3 PTE Subsidy incl Indexation - South Yorks|S2 5YT
Department for Transport|Department for Transport|01/11/2013|Grant Payments|Rail Commercial Contracts|WEST YORKSHIRE PTA|2000016332|4858561.33|1408 Wk3 PTE Subsidy incl indexation - West Yorksh|LS1 2DE
Department for Transport|Department for Transport|01/11/2013|Investigation Servic|Managing Director Motoring Services|xxxxxx|2000016334|4747.32|#|xxxxxx
Department for Transport|Department for Transport|01/11/2013|IT Equip Cap Cost|Air Accident Investigation Branch|DFT ONE TIME VENDOR|2000016341|28198.8|#|SW1P 4DR
Department for Transport|Department for Transport|01/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|13069.2|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|2289.6|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|133044|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|6469.2|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|IT Ser Running Costs|Transport Direct and Travel information|ATOS IT SERVICES UK LTD|2000016317|148666.8|#|WV10 6UH
Department for Transport|Department for Transport|01/11/2013|IT Ser Running Costs|Transport Direct and Travel information|TRAPEZE GROUP (UK) LTD|2000016324|16196.4|#|BA14 6PH
Department for Transport|Department for Transport|01/11/2013|Legal Consultancy|Business Transformation|CRIPPS HARRIES HALL LLP|2000016335|12941.04|EXPERT'S FEE|TN1 1EG
Department for Transport|Department for Transport|01/11/2013|Pte Cost Of Servs Ch|Rail Commercial Contracts|GREATER MANCHESTER PTA|2000016331|111860.02|1408 Wk3 PTE Admin Grant incl Indexation - Transpo|M1 3BG
Department for Transport|Department for Transport|01/11/2013|Pte Cost Of Servs Ch|Rail Commercial Contracts|NEXUS (TYNE & WEAR)|2000016329|19076.13|1408 Wk3 PTE Admin Grant incl Indexation - Nexus|NE1 4AX
Department for Transport|Department for Transport|01/11/2013|Pte Cost Of Servs Ch|Rail Commercial Contracts|SOUTH YORKSHIRE PTE|2000016330|91984.9|1408 Wk3 PTE Admin Grant incl Indexation - South Y|S2 5YT
Department for Transport|Department for Transport|01/11/2013|Pte Cost Of Servs Ch|Rail Commercial Contracts|WEST YORKSHIRE PTA|2000016332|67016.14|1408 Wk3 PTE Admin Grant incl indexation - West Yo|LS1 2DE
Department for Transport|Department for Transport|01/11/2013|Recruitment Fees|Group HR|GATENBY SANDERSON LTD|2000016333|4200|#|LS1 2HL
Department for Transport|Department for Transport|01/11/2013|Rent - L&B (non-PFI)|Business Transformation|DWP SHARED SERVICES|2000016312|848.78|#|CF14 3UW
Department for Transport|Department for Transport|01/11/2013|Research|Greener Transport & International|TRANSPORT RESEARCH LABORATORY|2000016323|175971.64|#|RG40 3GA
Department for Transport|Department for Transport|01/11/2013|Services prov by OGD|Motoring Services|VEHICLE & OPERATOR SERVICES AGENCY|2000016313|5246.57|#|SA1 8AN
Department for Transport|Department for Transport|01/11/2013|Small Software|Managing Director Motoring Services|Vodafone|2000016315|3195.6|#|MK3 5JP
