DEPARTMENTALFAMILY|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIER2POSTCODE|2
Department for Transport|Department for Transport|01/07/2015|Agency Staff Costs|Integrated Delivery|BROOK STREET (UK) LIMITED|2000006447|758.52|#|AL1 4JB|
Department for Transport|Department for Transport|01/07/2015|Agency Staff Costs|Integrated Delivery|BROOK STREET (UK) LIMITED|2000006447|940.32|#|AL1 4JB|
Department for Transport|Department for Transport|01/07/2015|Agency Staff Costs|Integrated Delivery|CAPITA BUSINESS SERVICES LTD|2000006437|10847.89|#|DL1 9HN|
Department for Transport|Department for Transport|01/07/2015|Agency Staff Costs|Integrated Delivery|CAPITA BUSINESS SERVICES LTD|2000006437|-5917.03|#|DL1 9HN|
Department for Transport|Department for Transport|01/07/2015|Agency Staff Costs|Rail Franchising|CAPITA BUSINESS SERVICES LTD|2000006437|22191.61|#|DL1 9HN|
Department for Transport|Department for Transport|01/07/2015|Agency Staff Costs|Rail Franchising|Experis Ltd|2000006441|6632.06|#|EC2M 2RB|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Audi UK|2000006462|485000|AUDI OLEV PICG MAY #485k|MK14 5AN|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Carbon Zero Renewables Ltd|2000006465|7200|Carbon Zero Apr 15 #7200|LL17 0LG|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|288900|Chargemaster Apr 2015 #288900|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|30600|Chargemaster Mar 2015 #30600|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|20700|Chargemaster Feb 2015 #20700|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|20700|Chargemaster Jan 2015 #20700|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|4500|Chargemaster Dec 2014 #4500|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|5400|Chargemaster Nov 2014 #5400|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|2700|Chargemaster Oct 2014 #2700|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Chargemaster|2000006455|900|Chargemaster Sep 2014 #900|LU1 3LU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Earth Electrical (Southern) Ltd|2000006467|9800|Earth Electrical MAY 15 #9800|GU14 8DS|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Ecoelectrical Ltd|2000006466|886.5|Ecoelectrical Mar 15 #886.50|GL6 9JY|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|EDF Energy|2000006456|840.6|EDF Feb 2015 #840.60|BN3 5SU|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Jorro Ltd|2000006460|4500|Jorro Feb 2015 #4500|FK8 1JR|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Jorro Ltd|2000006460|900|Jorro Mar 2015 #900|FK8 1JR|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000006454|7098.75|POD POINT #7098.75 Apr 2015|E1 1EE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000006454|876|POD POINT #876 Feb 2015|E1 1EE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000006454|2652|POD POINT #2652 Jan 2015|E1 1EE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000006454|900|POD POINT #900 Dec 2014|E1 1EE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000006454|1752|POD POINT #1752 Nov 2014|E1 1EE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000006454|10544.25|POD POINT #10544.25 Mar 2015|E1 1EE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Porsche|2000006458|35000|PiCG Porsche May 15  #35,000k|RG31 7SE|
Department for Transport|Department for Transport|01/07/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|RENAULT|2000006451|662291.85|PiCG Renault May 2015 #662,291.85|WD3 9YS|
