DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|DESCRIPTION|SUPPLIERPOSTCODE
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|Local|BROOK STREET (UK) LIMITED|2000004303|642.02|#|AL1 4JB
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|Motoring Services|CAPITA BUSINESS SERVICES LTD|2000004298|6577.99|#|DL1 9HN
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|Motoring Services|CAPITA BUSINESS SERVICES LTD|2000004298|4385.33|#|DL1 9HN
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|Motoring Services|CAPITA BUSINESS SERVICES LTD|2000004298|2189.4|#|DL1 9HN
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|HS2 Finance and Commercial|BROOK STREET (UK) LIMITED|2000004303|795.62|#|AL1 4JB
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|HS2 Finance and Commercial|BROOK STREET (UK) LIMITED|2000004303|1056.14|#|AL1 4JB
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|Rail Franchising|CAPITA BUSINESS SERVICES LTD|2000004298|7418.41|#|DL1 9HN
Department for Transport|Department for Transport|01/06/2015|Agency Staff Costs|Rail Franchising|CAPITA BUSINESS SERVICES LTD|2000004298|4187.4|#|DL1 9HN
Department for Transport|Department for Transport|01/06/2015|Cap Grt Loc Auth|Local|EAST SUSSEX COUNTY COUNCIL|2000004328|598681|LSTF Grant Payment CAPITAL 2014-15 Q4|BN7 1UE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Loc Auth|Local|HAMPSHIRE COUNTY COUNCIL|2000004325|3673869|LSTF Grant Payment CAPITAL 2014-15 Q4|SO23 8UB
Department for Transport|Department for Transport|01/06/2015|Cap Grt Loc Auth|Local|KINGSTON UPON HULL CITY COUNCIL|2000004304|489930|LSTF Grant Payment CAPITAL 2014-15 Q4|HU1 2AB
Department for Transport|Department for Transport|01/06/2015|Cap Grt Loc Auth|Local|PORTSMOUTH CITY COUNCIL|2000004327|432157|LSTF Grant Payment CAPITAL 2014-15 Q4|PO1 2BG
Department for Transport|Department for Transport|01/06/2015|Cap Grt Loc Auth|Local|ST HELENS MBC|2000004326|472867.99|LSTF Grant Payment CAPITAL 2014-15 Q4|WA10 1UQ
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000004317|1020000|#|CF10 5BT
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Policy, Legislation and Funding|Eversheds LLP|2000004317|291701.8|#|CF10 5BT
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000004314|7974.75|POD POINT #7974.75 Nov 2014|E1 1EE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000004314|21082.5|POD POINT #21082.50 Dec 2014|E1 1EE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000004314|21363|POD POINT #21363 Jan 2015|E1 1EE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000004314|29013|POD POINT #29013 Feb 2015|E1 1EE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|Pod Point|2000004314|11676|POD POINT #11676 Apr 2015|E1 1EE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|SOL Electrical Ltd|2000004315|1800|SOL ELECTRICAL FEB 2015 #1800|EX15 3EE
Department for Transport|Department for Transport|01/06/2015|Cap Grt Pri Sec-Cos.|Energy, Technology and International|SOL Electrical Ltd|2000004315|4500|SOL ELECTRICAL Mar 2015 #4500|EX15 3EE
Department for Transport|Department for Transport|01/06/2015|Car Tax & Insurance|Motoring Services|Goodyear Dunlop Tyres UK Ltd|2000004310|597.76|#|B24 9HY
Department for Transport|Department for Transport|01/06/2015|Cars Maintenance|Motoring Services|Jule Motors|2000004312|951.76|#|WV9 5DA
Department for Transport|Department for Transport|01/06/2015|Financial Consultanc|Rail Franchising|Rail Passenger Services|2000004301|3767.2|#|xxxxxx
Department for Transport|Department for Transport|01/06/2015|IT Consultancy|Rail Franchising|Worldline IT Services UK Limited|2000004319|14661.3|#|WV10 6UH
Department for Transport|Department for Transport|01/06/2015|Legal Consultancy|Rail Franchising|Rail Passenger Services|2000004305|9834.6|#|xxxxxx
Department for Transport|Department for Transport|01/06/2015|Legal Consultancy|Rail Franchising|Rail Passenger Services|2000004306|1596.6|#|xxxxxx
Department for Transport|Department for Transport|01/06/2015|Recruitment Fees|Group Human Resource|Talent Q Ltd|2000004320|1819.44|#|OX9 3AJ
