DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|01/06/2012|Inherited Staff|Finance|Beds LEA|GPROSTD318768|30,149.36
BIS|HEFCE|01/06/2012|TCIF Round 2|Finance|BIS|PIG6388|103,468.00
BIS|HEFCE|01/06/2012|Inherited Staff|Finance|Hampshire LEA|GPROSTD318773|87,481.26
BIS|HEFCE|01/06/2012|Quality Assurance|E&P policy team|Ipsos UK Ltd|PIG6387|480,000.00
BIS|HEFCE|01/06/2012|JISC|JISC NAH|Key Perspectives Ltd|PIG6398|26,240.00
BIS|HEFCE|01/06/2012|RCIF Round 2|Finance|London Sch Hygiene|GPROSTD318704|452,044.00
BIS|HEFCE|01/06/2012|Quality Assurance|E&P policy team|QAA|PIG6400|60,000.00
BIS|HEFCE|01/06/2012|Quality Assurance|E&P policy team|UCAS Media Ltd|PIG6381|44,107.20
BIS|HEFCE|06/06/2012|Payroll control|Running costs|Cabinet Office PCSPS|PIS1922|168,349.73
BIS|HEFCE|06/06/2012|PD - research|R&E programme|Centr for Enterprise|PIC434|33,187.99
BIS|HEFCE|06/06/2012|Contract staff|Regularity Partnersh|HESA|PIS1909|43,828.80
BIS|HEFCE|06/06/2012|Contract staff|Regularity Partnersh|HESA|PIS1910|53,325.60
BIS|HEFCE|12/06/2012|PD - research|R&E programme|KPMG Llp|PIC438|29,644.80
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Accrington|GPROSTD295840|68,069.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Anglia Ruskin Uni|GPROSTD295849|3,109,922.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Anglia Ruskin Uni|GPROSTD298117|95,515.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Anglia Ruskin Uni|GPROSTD299293|525,935.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD302852|144,145.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Arts Uni Bournemouth|GPROSTD295858|746,596.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Arts Uni Bournemouth|GPROSTD299302|94,838.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Askham Bryan College|GPROSTD295867|121,449.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Aston University|GPROSTD295876|2,017,705.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Aston University|GPROSTD298135|562,032.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Aston University|GPROSTD299320|117,574.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Aston University|GPROSTD302864|140,863.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Barking and Dagenham|GPROSTD295885|63,489.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Barking LEA|GPROSTD313838|82,106.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Barnet LEA|GPROSTD313839|79,108.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Basingstoke College|GPROSTD295894|38,023.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Bath LEA|GPROSTD313837|63,158.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bath Spa University|GPROSTD295903|1,463,391.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Bath Spa University|GPROSTD298144|59,291.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Bath Spa University|GPROSTD299347|173,170.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bedford College|GPROSTD295921|79,782.00
BIS|HEFCE|14/06/2012|SDF Capital LAT|RIS policy team|Birkbeck College|GPROSTD259351|46,000.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Birkbeck College|GPROSTD295939|1,736,435.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Birkbeck College|GPROSTD298162|934,507.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Birkbeck College|GPROSTD299383|201,083.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Birkbeck College|GPROSTD302888|53,404.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Birmingham City Univ|GPROSTD296164|3,072,670.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Birmingham City Univ|GPROSTD298279|152,043.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Birmingham City Univ|GPROSTD299608|491,787.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD303032|107,800.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Birmingham LEA|GPROSTD313842|57,839.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Birmingham Met Coll|GPROSTD295966|46,623.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bishop Burton|GPROSTD295984|233,330.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Bishop Burton|GPROSTD299428|43,515.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bishop Gros Uni Coll|GPROSTD295975|309,454.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Bishop Gros Uni Coll|GPROSTD299419|53,995.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Blackburn College|GPROSTD295993|700,881.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Blackburn College|GPROSTD299437|160,606.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Blackburn College|GPROSTD310440|66,455.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Blackpool College|GPROSTD296002|592,051.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Blackpool College|GPROSTD299446|151,928.00
BIS|HEFCE|14/06/2012|Emp Engagement - Rec|E&P policy team|Bournemouth Uni|GPROSTD286396|26,100.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bournemouth Uni|GPROSTD296029|3,041,898.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Bournemouth Uni|GPROSTD298198|184,110.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Bournemouth Uni|GPROSTD299473|367,000.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Bournemouth Uni|GPROSTD302924|53,442.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bradford College|GPROSTD296038|568,642.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Bradford College|GPROSTD299482|135,001.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Bradford LEA|GPROSTD313844|29,471.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bridgwater College|GPROSTD296056|54,290.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Brunel University|GPROSTD296092|2,908,689.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Brunel University|GPROSTD298234|1,092,090.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Brunel University|GPROSTD299536|200,924.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Brunel University|GPROSTD301615|77,575.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Brunel University|GPROSTD302972|93,713.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Bucks County Council|GPROSTD313847|35,458.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Bucks New University|GPROSTD296101|1,583,268.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Bucks New University|GPROSTD298243|26,000.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Bucks New University|GPROSTD299545|232,753.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Bucks New University|GPROSTD301624|33,325.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Bucks New University|GPROSTD302984|63,058.00
BIS|HEFCE|14/06/2012|JISC|JISC NAH|BUFVC|GPROSTD309033|52,534.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Calderdale College|GPROSTD296110|50,143.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Canterbury CCUC|GPROSTD296128|2,054,532.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Canterbury CCUC|GPROSTD298261|110,022.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Canterbury CCUC|GPROSTD299572|380,251.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Canterbury CCUC|GPROSTD303008|73,204.00
BIS|HEFCE|14/06/2012|JISC|JISC NAH|Cardiff Met|GPROSTD324415|25,000.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Carlisle College|GPROSTD296146|48,386.00
BIS|HEFCE|14/06/2012|Voluntary Giving|Finance|Case Europe|GPROSTD288283|29,714.00
