DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT|EXPENSETYPE2|EXPENSEAREA2
BIS|HEFCE|03/05/2013|PL Control - Run|Running costs|Cabinet Office PCSPS|PIS2699|183,854.69|Payroll control|Running costs
BIS|HEFCE|03/05/2013|PL Control - Run|Running costs|Google Ireland Ltd|PIM206|26,000.00|Hardware purchase|ITS
BIS|HEFCE|03/05/2013|PL Control - Run|Running costs|Internet Videocomms|PIS2706|96,656.40|Suspense account|Running costs
BIS|HEFCE|10/05/2013|PL Control - Run|Running costs|City University|PIC542|195,000.00|PD - research|R&E programme
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Accrington|GPROSTD318781|62,185.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD318799|2,139,957.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD321607|91,753.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD322717|144,248.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD326335|125,000.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD326892|53,155.00|Basic Grant|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD331530|685,750.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Arts Uni Bournemouth|GPROSTD318808|530,225.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Arts Uni Bournemouth|GPROSTD331541|155,508.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Askham Bryan College|GPROSTD318826|113,897.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Aston University|GPROSTD318835|1,536,403.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Aston University|GPROSTD321625|522,960.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Aston University|GPROSTD322729|140,965.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Aston University|GPROSTD326343|62,500.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Aston University|GPROSTD326901|27,204.00|Basic Grant|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Barking and Dagenham|GPROSTD318853|43,194.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Barking and Dagenham|GPROSTD328547|249,600.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Barnet LEA|GPROSTD328548|233,292.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Basingstoke College|GPROSTD318889|28,511.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bath LEA|GPROSTD328546|188,367.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bath Spa University|GPROSTD318898|1,073,808.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bath Spa University|GPROSTD321634|47,651.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bath Spa University|GPROSTD326371|62,500.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bedford College|GPROSTD318916|46,657.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Beds LEA|GPROSTD328550|74,472.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birkbeck College|GPROSTD318961|1,376,351.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birkbeck College|GPROSTD321652|901,863.00|Research 12-13|RIS policy team
