DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|EXPENSETYPE2|EXPENSEAREA
BIS|HEFCE|07/06/2013|PL Control - Run|Running costs|Unit 4 Business Soft|PIS2741|39,476.00|Software maintenance|ITS
BIS|HEFCE|14/06/2013|PL Control - Run|Running costs|Carillion Ltd|PIS2799|40,590.04|Building alterations|Central
BIS|HEFCE|14/06/2013|PL Control - Run|Running costs|Ipsos UK Ltd|PIC548|54,464.40|PD - research|R&E programme
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Accrington|GPROSTD318782|62,184.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD318800|2,139,957.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD321608|91,753.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD322718|144,248.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD326893|53,155.00|Basic Grant|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Anglia Ruskin Uni|GPROSTD331819|685,750.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Arts Uni Bournemouth|GPROSTD318809|530,225.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Arts Uni Bournemouth|GPROSTD331830|155,508.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Askham Bryan College|GPROSTD318827|113,897.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Aston University|GPROSTD318836|1,536,403.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Aston University|GPROSTD321626|522,960.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Aston University|GPROSTD322730|140,965.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Aston University|GPROSTD326902|27,203.00|Basic Grant|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Barking and Dagenham|GPROSTD318854|43,194.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Barking and Dagenham|GPROSTD333866|131,365.12|Inherited Staff|Finance
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Basingstoke College|GPROSTD318890|28,511.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Bath LEA|GPROSTD339829|97,795.91|Inherited Staff|Finance
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Bath Spa University|GPROSTD318899|1,073,808.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Bath Spa University|GPROSTD321635|47,651.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Bedford College|GPROSTD318917|46,657.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Birkbeck College|GPROSTD318962|1,376,351.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Birkbeck College|GPROSTD321653|901,862.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Birkbeck College|GPROSTD322754|53,442.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Birmingham City Univ|GPROSTD319259|2,474,429.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Birmingham City Univ|GPROSTD321770|141,619.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Birmingham City Univ|GPROSTD322898|107,878.00|HEIF 2011-15 (R)|RIS policy team
