DEPARTMENT|ENTITY|PAYMENTDATE|SUPPLIER|TRANSACTIONNO|AMOUNT|EXPENSETYPE|EXPENSEAREA
BIS|HEFCE|02/08/2013|Deloitte|PIS2892|27,956.59|Contract staff|Regulatory Partnersh
BIS|HEFCE|02/08/2013|HESA|PIS2879|30,599.11|Contract staff|Regulatory Partnersh
BIS|HEFCE|03/08/2013|QAA|GPROSTD340592|280,000.00|Quality Assurance|E&P policy team
BIS|HEFCE|10/08/2013|Hewlett Packard Ltd|PIM223|36,136.22|Software maintenance|ITS
BIS|HEFCE|13/08/2013|EPSRC|PIG6957|26,972.54|SDF Capital (R)|RIS policy team
BIS|HEFCE|13/08/2013|EPSRC|PIG6958|43,430.13|SDF Capital (R)|RIS policy team
BIS|HEFCE|13/08/2013|EPSRC|PIG6961|26,073.88|SDF Capital (R)|RIS policy team
BIS|HEFCE|13/08/2013|GAD|PIS2920|65,191.52|Premises costs|Facilities Managemen
BIS|HEFCE|16/08/2013|Accrington|GPROSTD334773|58,791.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Amersham and Wycombe|GPROSTD340323|36,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Anglia Ruskin Uni|GPROSTD332444|102,647.00|TCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Anglia Ruskin Uni|GPROSTD333873|194,958.00|HEIF 2011-15 (BIS)|RIS policy team
BIS|HEFCE|16/08/2013|Anglia Ruskin Uni|GPROSTD334791|2,913,413.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Anglia Ruskin Uni|GPROSTD337743|169,467.00|Research 13-14|RIS policy team
BIS|HEFCE|16/08/2013|Anglia Ruskin Uni|GPROSTD338841|64,483.00|HEIF 2011-15|RIS policy team
BIS|HEFCE|16/08/2013|Anglia Ruskin Uni|GPROSTD340324|1,305,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Arts Uni Bournemouth|GPROSTD334800|579,717.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Arts Uni Bournemouth|GPROSTD340325|267,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Askham Bryan College|GPROSTD334818|146,490.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Aston University|GPROSTD327794|82,023.00|RCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Aston University|GPROSTD332445|55,779.00|TCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Aston University|GPROSTD333882|190,520.00|HEIF 2011-15 (BIS)|RIS policy team
BIS|HEFCE|16/08/2013|Aston University|GPROSTD334827|1,534,128.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Aston University|GPROSTD337761|892,271.00|Research 13-14|RIS policy team
BIS|HEFCE|16/08/2013|Aston University|GPROSTD338850|63,015.00|HEIF 2011-15|RIS policy team
BIS|HEFCE|16/08/2013|Aston University|GPROSTD340327|615,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Barking and Dagenham|GPROSTD328641|249,600.00|Inherited Staff|Finance
BIS|HEFCE|16/08/2013|Barking and Dagenham|GPROSTD334845|60,242.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Barnet and Southgate|GPROSTD340329|27,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Barnet LEA|GPROSTD328642|233,292.00|Inherited Staff|Finance
BIS|HEFCE|16/08/2013|Barnfield College|GPROSTD340328|36,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Barnsley College|GPROSTD340330|72,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Bath LEA|GPROSTD328640|188,367.00|Inherited Staff|Finance
BIS|HEFCE|16/08/2013|Bath Spa University|GPROSTD332447|46,720.00|TCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Bath Spa University|GPROSTD334890|1,162,963.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Bath Spa University|GPROSTD337770|78,088.00|Research 13-14|RIS policy team
BIS|HEFCE|16/08/2013|Bath Spa University|GPROSTD340331|534,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|BDO Stoy Hayward|PIS2916|37,146.00|Contract staff|Assurance
BIS|HEFCE|16/08/2013|Bedford College|GPROSTD334908|58,188.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Bedford College|GPROSTD340333|42,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Beds LEA|GPROSTD328644|74,472.00|Inherited Staff|Finance
BIS|HEFCE|16/08/2013|Birkbeck College|GPROSTD327798|126,669.00|RCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Birkbeck College|GPROSTD332449|59,038.00|TCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Birkbeck College|GPROSTD333900|72,229.00|HEIF 2011-15 (BIS)|RIS policy team
BIS|HEFCE|16/08/2013|Birkbeck College|GPROSTD334962|1,530,769.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Birkbeck College|GPROSTD337788|1,517,135.00|Research 13-14|RIS policy team
BIS|HEFCE|16/08/2013|Birkbeck College|GPROSTD340335|393,000.00|NSP|E&P policy team
BIS|HEFCE|16/08/2013|Birmingham City Univ|GPROSTD332451|110,030.00|TCIF Round 2|Finance
BIS|HEFCE|16/08/2013|Birmingham City Univ|GPROSTD334008|145,801.00|HEIF 2011-15 (BIS)|RIS policy team
BIS|HEFCE|16/08/2013|Birmingham City Univ|GPROSTD335286|2,626,116.00|Teaching 13-14|E&P policy team
BIS|HEFCE|16/08/2013|Birmingham City Univ|GPROSTD337905|256,478.00|Research 13-14|RIS policy team
BIS|HEFCE|16/08/2013|Birmingham City Univ|GPROSTD338976|48,225.00|HEIF 2011-15|RIS policy team
BIS|HEFCE|16/08/2013|Birmingham City Univ|GPROSTD340360|1,119,000.00|NSP|E&P policy team
