DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|04/08/2015|Premises costs|Facilities Managemen|GAD|PIS5334|68,506.66
BIS|HEFCE|04/08/2015|SLA income|Central|HM Revenue & Customs|PIS5336|34,663.49
BIS|HEFCE|07/08/2015|PD - research|Quality Assessment|HE Academy|PIC760|42,701.00
BIS|HEFCE|14/08/2015|PD - research|R,,E & KE|Elsevier BV|PIC761|42,200.00
BIS|HEFCE|14/08/2015|PD - research|R,,E & KE|King's College|PIC756|29,865.05
BIS|HEFCE|14/08/2015|PD - research|R,,E & KE|York Consulting LLP|PIC754|39,990.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Accrington|GPROSTD378908|35,757.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Amersham & Wycombe|GPROSTD378917|33,394.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD369572|134,278.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD370846|39,942.67
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Anglia Ruskin Uni|GPROSTD375535|1,250,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Anglia Ruskin Uni|GPROSTD375923|344,050.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Anglia Ruskin Uni|GPROSTD377028|291,871.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD377928|97,290.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Anglia Ruskin Uni|GPROSTD378926|1,677,556.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Anglia Ruskin Uni|GPROSTD382184|460,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Anglia Ruskin Uni|GPROSTD382713|259,114.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Arts Uni Bournemouth|GPROSTD378935|228,511.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Arts Uni Bournemouth|GPROSTD382185|30,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Arts Uni Bournemouth|GPROSTD382714|35,772.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Askham Bryan College|GPROSTD378953|105,142.00
BIS|HEFCE|17/08/2015|HERA|E&P policy team|Aston University|GPROSTD346662|25,000.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Aston University|GPROSTD369575|88,433.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Aston University|GPROSTD370847|157,476.67
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Aston University|GPROSTD375537|490,162.25
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Aston University|GPROSTD375941|912,693.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Aston University|GPROSTD377037|120,036.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Aston University|GPROSTD377937|40,011.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Aston University|GPROSTD378962|1,013,732.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Aston University|GPROSTD382186|295,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Aston University|GPROSTD382716|36,671.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Barking and Dagenham|GPROSTD367374|248,601.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Barking and Dagenham|GPROSTD378980|67,803.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Barnet & Southgate|GPROSTD378998|25,810.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Barnet LEA|GPROSTD367375|232,569.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Barnsley College|GPROSTD379007|65,481.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Bath LEA|GPROSTD367373|191,647.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Bath LEA|GPROSTD382311|86,442.02
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Bath Spa University|GPROSTD369580|53,641.00
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Bath Spa University|GPROSTD375538|40,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Bath Spa University|GPROSTD375950|148,958.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bath Spa University|GPROSTD379025|457,752.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Bath Spa University|GPROSTD382187|210,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Bath Spa University|GPROSTD382718|28,389.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bedford College|GPROSTD379043|98,078.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Beds LEA|GPROSTD367377|72,781.00
BIS|HEFCE|17/08/2015|Catalyst Fund  (R)|RIS policy team|Birkbeck College|GPROSTD363291|148,158.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Birkbeck College|GPROSTD369583|64,231.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Birkbeck College|GPROSTD370850|214,639.00
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Birkbeck College|GPROSTD375541|162,500.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Birkbeck College|GPROSTD375968|1,446,774.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Birkbeck College|GPROSTD377055|36,046.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Birkbeck College|GPROSTD379097|1,216,776.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Birkbeck College|GPROSTD382189|440,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Birkbeck College|GPROSTD382721|280,314.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Birmingham City Univ|GPROSTD369610|139,758.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Birmingham City Univ|GPROSTD370862|41,245.33
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Birmingham City Univ|GPROSTD375551|1,250,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Birmingham City Univ|GPROSTD376085|322,769.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Birmingham City Univ|GPROSTD377154|72,760.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Birmingham City Univ|GPROSTD379439|1,835,963.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Birmingham City Univ|GPROSTD382200|210,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Birmingham City Univ|GPROSTD382743|81,393.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Birmingham LEA|GPROSTD367378|171,386.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Birmingham Met Coll|GPROSTD379124|80,851.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bishop Burton|GPROSTD379142|148,476.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bishop Gros Uni|GPROSTD379133|99,979.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Blackburn College|GPROSTD369589|47,827.00
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Blackburn College|GPROSTD375543|49,103.25
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Blackburn College|GPROSTD379160|204,693.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Blackburn College|GPROSTD382726|25,054.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Blackpool College|GPROSTD369590|62,234.00
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Blackpool College|GPROSTD375544|124,259.25
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Blackpool College|GPROSTD379169|390,018.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Blackpool College|GPROSTD382727|26,640.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Bolton LEA|GPROSTD367379|48,293.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bournemouth & Poole|GPROSTD379214|67,798.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Bournemouth Uni|GPROSTD369592|108,216.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Bournemouth Uni|GPROSTD370853|58,477.00
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Bournemouth Uni|GPROSTD375546|1,250,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Bournemouth Uni|GPROSTD376004|454,585.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Bournemouth Uni|GPROSTD377073|68,020.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bournemouth Uni|GPROSTD379205|1,065,030.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Bournemouth Uni|GPROSTD382191|50,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Bournemouth Uni|GPROSTD382730|48,193.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Bradford College|GPROSTD369594|57,261.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bradford College|GPROSTD379232|233,651.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bridgwater College|GPROSTD379250|60,676.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Bromley College|GPROSTD379286|34,127.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Bromley LEA|GPROSTD367382|38,819.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Brooksby College|GPROSTD379304|26,647.00
BIS|HEFCE|17/08/2015|Catalyst Fund  (R)|RIS policy team|Brunel University|GPROSTD363773|543,000.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Brunel University|GPROSTD369601|94,459.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Brunel University|GPROSTD370857|341,922.67
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Brunel University|GPROSTD375548|1,250,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Brunel University|GPROSTD376040|1,751,796.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Brunel University|GPROSTD377109|133,641.00
