Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,01/05/2014,Partnerships - Commissioned Contact Serv,HQ,Core Assets Childrens Services Ltd,PINV/00366787,"172,800.00",Core A01 Block 2014/15 Contract
Ministry of Justice,CAFCASS,07/05/2014,Building Fit Out and Enhancements,HQ,NKS Contracts Ltd,PINV/00366937,"28,299.96",External Repair and redecoration
Ministry of Justice,CAFCASS,07/05/2014,Telephony Managed Service,HQ,Indigo Telecom Group Ltd,PINVP/00001188,"113,328.00",VOIP and Call centre support
Ministry of Justice,CAFCASS,07/05/2014,Temporary Business Support Staff,HQ,Brook Street UK Ltd,PINV/00366969,"8,211.91",Supply of temp contract staff
Ministry of Justice,CAFCASS,07/05/2014,Temporary Business Support Staff,Op Service Areas,Brook Street UK Ltd,PINV/00366969,"17,617.21",Supply of temp contract staff
Ministry of Justice,CAFCASS,08/05/2014,Temporary Business Support Staff,HQ,Brook Street UK Ltd,PINV/00367027,"8,689.39",Supply of temp contract staff
Ministry of Justice,CAFCASS,08/05/2014,Temporary Business Support Staff,Op Service Areas,Brook Street UK Ltd,PINV/00367027,"17,114.57",Supply of temp contract staff
Ministry of Justice,CAFCASS,12/05/2014,Temporary Business Support Staff,HQ,Brook Street UK Ltd,PINV/00367136,"12,591.77",Supply of temp contract staff
Ministry of Justice,CAFCASS,12/05/2014,Temporary Business Support Staff,Op Service Areas,Brook Street UK Ltd,PINV/00367136,"20,273.13",Supply of temp contract staff
Ministry of Justice,CAFCASS,13/05/2014,Rent,HQ,University of Warwick Science Park,PINV/00367191,"29,225.00",NBC RENT/SERVICE CHG MAY 14
Ministry of Justice,CAFCASS,13/05/2014,Service Charge,HQ,University of Warwick Science Park,PINV/00367191,"2,901.70",NBC RENT/SERVICE CHG MAY 14
Ministry of Justice,CAFCASS,15/05/2014,Partnerships - Commissioned Contact Serv,HQ,Break,PINV/00367330,"25,920.00",A14 Break-Families House 2014/15 Block
Ministry of Justice,CAFCASS,16/05/2014,Building Fit Out and Enhancements,HQ,Evora Construction Limited,PINV/00367371,"83,884.07",LL - Hull Fit out contracted works
Ministry of Justice,CAFCASS,16/05/2014,Service Charge,HQ,Colliers Agent for Sports Council Trust,PINV/00367368,"112,880.34",BLOOMSBURY SERV CHG
Ministry of Justice,CAFCASS,19/05/2014,Rent,HQ,University of Warwick Science Park,PINVP/00001194,"29,225.00",NBC RENT/SERV CHG JUNE 14
Ministry of Justice,CAFCASS,19/05/2014,Service Charge,HQ,University of Warwick Science Park,PINVP/00001194,"2,901.70",NBC RENT/SERV CHG JUNE 14
Ministry of Justice,CAFCASS,20/05/2014,Rates,HQ,Department For Work and Pensions,PINV/00367427,"8,154.59",LEEDS RATES MAY 14 RENT APR 14
Ministry of Justice,CAFCASS,20/05/2014,Rent,HQ,Department For Work and Pensions,PINV/00367427,"44,341.74",LEEDS RATES MAY 14 RENT APR 14
Ministry of Justice,CAFCASS,28/05/2014,Temporary Business Support Staff,HQ,Brook Street UK Ltd,PINV/00367806,"9,996.09",Supply of temp contract staff
Ministry of Justice,CAFCASS,28/05/2014,Temporary Business Support Staff,Op Service Areas,Brook Street UK Ltd,PINV/00367806,"17,100.38",Supply of temp contract staff
Ministry of Justice,CAFCASS,29/05/2014,Rent,HQ,Highways Agency,PINVP/00001200,"57,255.08",7TH FL MANCH RENT/SERV CHG 25/3-24/6/14
Ministry of Justice,CAFCASS,29/05/2014,Service Charge,HQ,Highways Agency,PINVP/00001200,"12,225.34",7TH FL MANCH RENT/SERV CHG 25/3-24/6/14
Ministry of Justice,CAFCASS,02/06/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000330,512.00,Vodafone May 14
Ministry of Justice,CAFCASS,02/06/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000330,"4,786.79",Vodafone May 14
Ministry of Justice,CAFCASS,02/06/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000330,"2,481.06",Vodafone May 14
Ministry of Justice,CAFCASS,02/06/2014,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000330,"26,921.18",Vodafone May 14
Ministry of Justice,CAFCASS,05/06/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000333,"31,523.67",Redfern May 14
Ministry of Justice,CAFCASS,05/06/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000333,"40,224.97",Redfern May 14
