Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Year_Period
Ministry of Justice,CAFCASS,01/09/2014,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00370599,"1,322.64",Consolidated invoice W/E 03/08/2014,2015/06
Ministry of Justice,CAFCASS,01/09/2014,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00370599,"6,859.32",Consolidated invoice W/E 03/08/2014,2015/06
Ministry of Justice,CAFCASS,01/09/2014,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00370599,"19,910.87",Consolidated invoice W/E 03/08/2014,2015/06
Ministry of Justice,CAFCASS,01/09/2014,Non-Staff Travel and Subsistance,Op Service Areas,Capita Resourcing Ltd,PINV/00370599,406.04,Consolidated invoice W/E 03/08/2014,2015/06
Ministry of Justice,CAFCASS,03/09/2014,Rates,HQ,Department For Work and Pensions,PINV/00370705,"8,154.59",LEEDS RATES SEPT 14/RENT/SERV AUG 14,2015/06
Ministry of Justice,CAFCASS,03/09/2014,Rent,HQ,Department For Work and Pensions,PINV/00370705,"44,482.79",LEEDS RATES SEPT 14/RENT/SERV AUG 14,2015/06
Ministry of Justice,CAFCASS,03/09/2014,Service Charge,HQ,Department For Work and Pensions,PINV/00370705,"1,843.86",LEEDS RATES SEPT 14/RENT/SERV AUG 14,2015/06
Ministry of Justice,CAFCASS,04/09/2014,Other Fees/Services,HQ,GCC,PINVP/00001271,"34,112.35",Software Support Oct 14 - Mar 15,2015/06
Ministry of Justice,CAFCASS,05/09/2014,Rent,HQ,Colliers Agent for Sports Council Trust,PINVP/00001274,"139,577.75",BLOOMSBURY RENT/SER CHG 29/09-24/12/14,2015/06
Ministry of Justice,CAFCASS,05/09/2014,Rent,HQ,Cushman & Wakefield Healey & Baker,PINVP/00001276,"24,300.00",NOTTINGHAM RENT/SER CHG 29/09-24/12/14,2015/06
Ministry of Justice,CAFCASS,05/09/2014,Rent,HQ,Land Registry,PINVP/00001273,"27,451.50",YORK RENT/SER CHG 01/10-31/12/14,2015/06
Ministry of Justice,CAFCASS,05/09/2014,Service Charge,HQ,Colliers Agent for Sports Council Trust,PINVP/00001274,"41,607.00",BLOOMSBURY RENT/SER CHG 29/09-24/12/14,2015/06
Ministry of Justice,CAFCASS,05/09/2014,Service Charge,HQ,Cushman & Wakefield Healey & Baker,PINVP/00001276,"2,183.40",NOTTINGHAM RENT/SER CHG 29/09-24/12/14,2015/06
Ministry of Justice,CAFCASS,05/09/2014,Service Charge,HQ,Land Registry,PINVP/00001273,"3,243.75",YORK RENT/SER CHG 01/10-31/12/14,2015/06
Ministry of Justice,CAFCASS,09/09/2014,Telephony Managed Service,HQ,Indigo Telecom Group Ltd,PINVP/00001286,"113,328.00",VOIP and call centre support Oct 14 -Dec 14,2015/06
Ministry of Justice,CAFCASS,10/09/2014,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00370891,"1,605.60",Consolidated Agency staff 17/08/14,2015/06
Ministry of Justice,CAFCASS,10/09/2014,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00370891,"5,511.89",Consolidated Agency staff 17/08/14,2015/06
Ministry of Justice,CAFCASS,10/09/2014,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00370891,"20,609.31",Consolidated Agency staff 17/08/14,2015/06
Ministry of Justice,CAFCASS,10/09/2014,Non-Staff Travel and Subsistance,Op Service Areas,Capita Resourcing Ltd,PINV/00370891,154.44,Consolidated Agency staff 17/08/14,2015/06
Ministry of Justice,CAFCASS,17/09/2014,Rent,HQ,Irwin Mitchell,PINV/00371058,"23,877.00",SUITE 2/3 BHAM RENT/SERV 25/03-23/06/14,2015/06
Ministry of Justice,CAFCASS,17/09/2014,Rent,HQ,Irwin Mitchell,PINV/00371059,"23,877.00",SUITE 2/3 BHAM RENT/SERV 24/06-28/09/14,2015/06
Ministry of Justice,CAFCASS,17/09/2014,Rent,HQ,Irwin Mitchell,PINVP/00001293,"23,877.00",SUITE 2/3 BHAM RENT/SERV 29/09-24/12/14,2015/06
Ministry of Justice,CAFCASS,17/09/2014,Service Charge,HQ,Irwin Mitchell,PINV/00371058,"14,390.55",SUITE 2/3 BHAM RENT/SERV 25/03-23/06/14,2015/06
