Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,01/06/2010,Rent,Op Service Areas,Irwin Mitchell,PINV00263839,"36,223.09 ",QTR1 RENT CITADEL 2ND FLOOR APRIL-JUNE 1
Department for Education,CAFCASS,01/06/2010,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00263990,"46,850.40 ",Call charges April 2010
Department for Education,CAFCASS,04/06/2010,Service Charge,Op Service Areas,Zurich Assurance Ltd,PINV00264750,"13,604.13 ",Slough Rent Q2 24/06/10-28/09/10
Department for Education,CAFCASS,04/06/2010,Rent,Op Service Areas,Zurich Assurance Ltd,PINV00264750,"22,900.16 ",Slough Rent Q2 24/06/10-28/09/10
Department for Education,CAFCASS,07/06/2010,Internal Auditor Fees,HQ,PriceWaterhouseCoopers LLP,PINV00264856,"27,396.30 ",Internal Audit fees 10/11
Department for Education,CAFCASS,09/06/2010,Rent,Op Service Areas,Nelson Bakewell,PINV00265334,"39,215.63 ",Quarterly rent - Leeds
Department for Education,CAFCASS,10/06/2010,Telephony Managed Service,HQ,DSGi Business,PINV00265604,"69,963.46 ",Telephony Managed Services - April 2010
Department for Education,CAFCASS,11/06/2010,Service Charge,Op Service Areas,Cushman & Wakefield Healey & Baker,PINV00265784,"1,951.09 ",Rent 24.06.2010 - 28.09.2010
Department for Education,CAFCASS,11/06/2010,Rent,Op Service Areas,Cushman & Wakefield Healey & Baker,PINV00265784,"23,793.75 ",Rent 24.06.2010 - 28.09.2010
Department for Education,CAFCASS,22/06/2010,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00266396,"23,015.82 ",Call charges April 2010
Department for Education,CAFCASS,22/06/2010,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00266396,"23,258.44 ",Call charges April 2010
Department for Education,CAFCASS,23/06/2010,Service Charge,HQ,Department for Education,PINV00266793,"31,215.00 ",Building Service Charge 01.01.10 - 31.03
Department for Education,CAFCASS,25/06/2010,Service Charge,HQ,Department for Education,PINV00267101,"161,570.00 ",MOTO Suplimentary Querter 3 & 4
Department for Education,CAFCASS,28/06/2010,Service Charge,Op Service Areas,Stockland Anglo Ventures (Croydon) Ltd,PINV00267275,"10,500.75 ",Rent Croydon 24/06/10-31/03/10
Department for Education,CAFCASS,28/06/2010,Rent,Op Service Areas,Stockland Anglo Ventures (Croydon) Ltd,PINV00267275,"29,345.63 ",Rent Croydon 24/06/10-31/03/10
