Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,06/04/2011,Stationery,HQ,Banner Business Services Ltd,CINV00000017,"1,604.70",Various Stationery March 2011
Department for Education,CAFCASS,06/04/2011,Stationery,Op Service Areas,Banner Business Services Ltd,CINV00000017,"32,143.26",Various Stationery March 2011
Department for Education,CAFCASS,08/04/2011,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000026,"13,923.64",Redfern Mar 2011
Department for Education,CAFCASS,08/04/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000026,"39,763.41",Redfern Mar 2011
Department for Education,CAFCASS,04/05/2011,Travel and Subs - UK (Non-Taxable),HQ,Expotel Hotel Reservations Ltd,CINV00000029,"3,439.30",Expotel Hotels
Department for Education,CAFCASS,04/05/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Expotel Hotel Reservations Ltd,CINV00000029,"35,749.28",Expotel Hotels
Department for Education,CAFCASS,04/05/2011,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000031,"9,074.32",Redfern Apr 11
Department for Education,CAFCASS,04/05/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000031,"27,887.82",Redfern Apr 11
Department for Education,CAFCASS,01/04/2011,Vehicle Insurance,HQ,CC Flint & Co Ltd,PINV00295185,"61,445.70",Cafcass Vehicle Insurance
Department for Education,CAFCASS,05/04/2011,Building Fit Out and Enhancements,HQ,CPF Installation Ltd,PINV00295454,"27,534.34",1.04 Liverpool New fit out and final pay
Department for Education,CAFCASS,05/04/2011,Contact Activities-rechargeable,HQ,Network Ventures Ltd (Sales Account),PINV00295562,"33,200.00",FEB 11 PIP NRS
Department for Education,CAFCASS,05/04/2011,Computing Consulting (Capital),HQ,Gartner UK Ltd,PINV00295652,"31,176.00",Benchmarking Statement of Works
Department for Education,CAFCASS,07/04/2011,Training - External Courses,Op Service Areas,University of Birmingham,PINV00295816,"26,550.00",2nd year Cohort 3 PQ Modules [47 modules
Department for Education,CAFCASS,07/04/2011,Building Fit Out and Enhancements,HQ,Staverton (UK) Ltd,PINV00295822,"51,326.74",1.13 Poole Fit out
Department for Education,CAFCASS,08/04/2011,Building Fit Out and Enhancements,HQ,Triumph Furniture Company Ltd,PINV00295954,"78,479.71",2.01 Reading Supply and fit furniture
Department for Education,CAFCASS,08/04/2011,Building Fit Out and Enhancements,HQ,DP Designs,PINV00295995,"76,853.78",3.01 Stoke new DP designs fit out costs
Department for Education,CAFCASS,26/04/2011,Building Fit Out and Enhancements,HQ,West 1 Contracts Ltd,PINV00296010,"48,956.56",4.02 norwich appraisal rosebery court fi
Department for Education,CAFCASS,13/04/2011,Building Fit Out and Enhancements,HQ,Staverton (UK) Ltd,PINV00296505,"47,231.34",1.17 Basingstoke - Building Fit Out
Department for Education,CAFCASS,13/04/2011,Building Fit Out and Enhancements,HQ,DP Designs,PINV00296643,"28,610.44",3.04 Bristol - Refurbishment DP Designs
Department for Education,CAFCASS,13/04/2011,Building Fit Out and Enhancements,HQ,DP Designs,PINV00296644,"57,314.98",2.01 - Reading Refurbishment. DP designs
Department for Education,CAFCASS,14/04/2011,Building Fit Out and Enhancements,HQ,Evora Construction Limited,PINV00296649,"62,140.48",1.19 york contracted works James House
Department for Education,CAFCASS,20/04/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00297224,"20,409.17",Line rental March 2011
Department for Education,CAFCASS,20/04/2011,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00297224,"36,345.43",Line rental March 2011
