Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,04/01/2012,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000076,"11,371.19",Redfern Dec 11
Department for Education,CAFCASS,04/01/2012,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000076,"20,301.17",Redfern Dec 11
Department for Education,CAFCASS,06/01/2012,Travel and Subs - UK (Non-Taxable),HQ,Expotel Hotel Reservations Ltd,CINV00000078,"5,587.36",Expotel Hotels Dec 11
Department for Education,CAFCASS,06/01/2012,Travel and Subs - UK (Non-Taxable),Op Service Areas,Expotel Hotel Reservations Ltd,CINV00000078,"24,255.95",Expotel Hotels Dec 11
Department for Education,CAFCASS,13/12/2011,Building Fit Out and Enhancements,HQ,Hortons Estate Ltd,PINV00318169,"45,005.77",Greyfriars House - Dilaps settlement
Department for Education,CAFCASS,15/12/2011,Telephony Managed Service,HQ,DSGi Business,PINV00318478,"71,452.04",Telephony Managed Service January 2012
Department for Education,CAFCASS,16/12/2011,Non-contracted Comp. Maintenance,HQ,Advanced Business Solutions,PINV00318599,"71,035.44",2012 Annual support Open accounts & eBIS
Department for Education,CAFCASS,20/12/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00318777,"17,480.10",Line rental November 2011
Department for Education,CAFCASS,20/12/2011,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00318777,"35,455.45",Line rental November 2011
Department for Education,CAFCASS,02/12/2011,Service Charge,HQ,Cushman & Wakefield Healey & Baker,PINVP00000338,"1,985.40",NOTTINGHAM RENT/SERV 25/12/11-24/3/12
Department for Education,CAFCASS,02/12/2011,Rent,HQ,Cushman & Wakefield Healey & Baker,PINVP00000338,"24,300.00",NOTTINGHAM RENT/SERV 25/12/11-24/3/12
Department for Education,CAFCASS,12/12/2011,Service Charge,HQ,Irwin Mitchell,PINVP00000349,"13,294.79",BHAM RENT/SERV CHG 25/12/11-24/3/12
Department for Education,CAFCASS,12/12/2011,Rent,HQ,Irwin Mitchell,PINVP00000349,"23,877.00",BHAM RENT/SERV CHG 25/12/11-24/3/12
Department for Education,CAFCASS,13/12/2011,Rent,HQ,University of Warwick Science Park,PINVP00000359,"87,675.00",National Business Centre RENT 25/12/11-24/3/12
Department for Education,CAFCASS,19/12/2011,Service Charge,HQ,Stockland Anglo Ventures (Croydon) Ltd,PINVP00000372,"9,955.78",CROYDON RENT/SERV CHG 25/12/11-24/3/12
Department for Education,CAFCASS,19/12/2011,Rent,HQ,Stockland Anglo Ventures (Croydon) Ltd,PINVP00000372,"29,970.00",CROYDON RENT/SERV CHG 25/12/11-24/3/12
