Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,04/01/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00284827,"22,129.74 ",Call charges October 2010
Department for Education,CAFCASS,04/01/2011,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00284827,"31,050.16 ",Call charges October 2010
Department for Education,CAFCASS,07/01/2011,Building Fit Out and Enhancements,HQ,DP Designs,PINV00285413,"30,725.23 ",1.09 - Project works & Completion fees
Department for Education,CAFCASS,12/01/2011,Service Charge,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PINV00286022,"8,059.33 ",Quarterly Rent for 6th Floor Byrom House
Department for Education,CAFCASS,12/01/2011,Rent,Op Service Areas,CBRE Ltd - Client A/C - Common Receipts,PINV00286022,"18,800.00 ",Quarterly Rent for 6th Floor Byrom House
Department for Education,CAFCASS,20/01/2011,Building Fit Out and Enhancements,HQ,Staverton (UK) Ltd,PINV00287014,"33,355.22 ",1.10 LWS Refurbishment
Department for Education,CAFCASS,21/01/2011,Non-contracted Computer Services,HQ,GCC,PINV00287214,"25,051.00 ",CP043 Remove date of death
Department for Education,CAFCASS,24/01/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00287557,"22,343.27 ",Call charges  December 2010
Department for Education,CAFCASS,24/01/2011,Call Charges,HQ,Frontier Voice and Data Ltd,PINV00287557,"23,318.59 ",Call charges  December 2010
Department for Education,CAFCASS,27/01/2011,Partnerships - Commissioned Contact Serv,HQ,Pro Contact,PINV00287682,"26,320.00 ",Pro Contact 10/11
Department for Education,CAFCASS,25/01/2011,Rent,HQ,Department for Education,PINV00287701,"118,140.00 ",RENT 01/01/11 - 31/03/11 SANC BLDGS
