Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,01/12/2011,Travel and Subs - UK (Non-Taxable),HQ,Expotel Hotel Reservations Ltd,CINV00000069,"4,911.40",Expotel Hotels
Department for Education,CAFCASS,01/12/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Expotel Hotel Reservations Ltd,CINV00000069,"20,944.09",Expotel Hotels
Department for Education,CAFCASS,02/12/2011,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV00000072,"15,401.09",Redfern Nov 11
Department for Education,CAFCASS,02/12/2011,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV00000072,"43,714.81",Redfern Nov 11
Department for Education,CAFCASS,15/11/2011,Water Rates,HQ,The Ministry of Justice,PINV00316367,240.54,ARCHWAY SERV CHG/RENT APR-JUNE 2011
Department for Education,CAFCASS,15/11/2011,Gas,HQ,The Ministry of Justice,PINV00316367,"1,529.80",ARCHWAY SERV CHG/RENT APR-JUNE 2011
Department for Education,CAFCASS,15/11/2011,Electricity,HQ,The Ministry of Justice,PINV00316367,"8,351.14",ARCHWAY SERV CHG/RENT APR-JUNE 2011
Department for Education,CAFCASS,15/11/2011,Rates,HQ,The Ministry of Justice,PINV00316367,"11,656.49",ARCHWAY SERV CHG/RENT APR-JUNE 2011
Department for Education,CAFCASS,15/11/2011,Rent,HQ,The Ministry of Justice,PINV00316367,"27,000.00",ARCHWAY SERV CHG/RENT APR-JUNE 2011
Department for Education,CAFCASS,15/11/2011,Service Charge,HQ,The Ministry of Justice,PINV00316367,"29,586.44",ARCHWAY SERV CHG/RENT APR-JUNE 2011
Department for Education,CAFCASS,17/11/2011,Line Rental,HQ,Frontier Voice and Data Ltd,PINV00316546,"48,725.16",Line rental September 2011
Department for Education,CAFCASS,24/11/2011,Building Fit Out and Enhancements,HQ,Greenham Commercial Limited,PINV00317085,"30,552.50",Sandbach - Dilaps settlement
Department for Education,CAFCASS,29/11/2011,Service Charge,HQ,Zurich Assurance Ltd,PINVP00000328,"10,936.74",SLOUGH RENT/SERV CHG 25/12/11-24/3/12
Department for Education,CAFCASS,29/11/2011,Rent,HQ,Zurich Assurance Ltd,PINVP00000328,"23,387.40",SLOUGH RENT/SERV CHG 25/12/11-24/3/12
