Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,SumOfAmount,Description
Department for Education,CAFCASS,07/12/2012,Licence Fees,HQ,Advanced Business Solutions,PINV/00340979,"70,348.10",Annual Support Maint for Open ac's & Ebi
Department for Education,CAFCASS,12/12/2012,Rent,HQ,Cushman & Wakefield Healey & Baker,PINVP/00000708,"24,300.00",NOTTINGHAM RENT/SEV CHG 25/12/12-24/3/13
Department for Education,CAFCASS,12/12/2012,Service Charge,HQ,Cushman & Wakefield Healey & Baker,PINVP/00000708,"1,964.10",NOTTINGHAM RENT/SEV CHG 25/12/12-24/3/13
Department for Education,CAFCASS,13/12/2012,Rent,HQ,University of Warwick Science Park,PINVP/00000719,"29,809.50",NBC RENT JAN 13
Department for Education,CAFCASS,17/12/2012,Fujitsu IT,HQ,Fujitsu Services Ltd,PINV/00341384,"102,484.80",CAF0265 Design LoB Milestone 1
Department for Education,CAFCASS,04/01/2013,Mobile Call Charges,HQ,Vodafone,CINV/00000175,"1,907.79",Vodafone December 2012
Department for Education,CAFCASS,04/01/2013,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000175,"33,294.49",Vodafone December 2012
Department for Education,CAFCASS,04/01/2013,Mobile Phone Rental,HQ,Vodafone,CINV/00000175,"2,522.17",Vodafone December 2012
Department for Education,CAFCASS,04/01/2013,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000175,"30,021.78",Vodafone December 2012
Department for Education,CAFCASS,04/01/2013,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000174,"21,459.50",Redfern December 12
Department for Education,CAFCASS,04/01/2013,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000174,"33,193.46",Redfern December 12
