Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,SumOfAmount,Description,Year_Period
Department for Education,CAFCASS,02/10/2012,Electricity,HQ,HMRC Vote Receipts Account,PINV/00337337,528.03,BRIGHTON RENT/SERV CHG APR-JUNE 12,2013/07
Department for Education,CAFCASS,02/10/2012,Rates,HQ,HMRC Vote Receipts Account,PINV/00337337,17316.58,BRIGHTON RENT/SERV CHG APR-JUNE 12,2013/07
Department for Education,CAFCASS,02/10/2012,Rent,HQ,HMRC Vote Receipts Account,PINV/00337337,13826.45,BRIGHTON RENT/SERV CHG APR-JUNE 12,2013/07
Department for Education,CAFCASS,02/10/2012,Rent,HQ,Stiles Harold Williams Ltd,PINVP/00000649,27342.49,CROYDON SERV CHG/RENT 07/10-24/12/12,2013/07
Department for Education,CAFCASS,02/10/2012,Service Charge,HQ,Stiles Harold Williams Ltd,PINVP/00000649,9773.81,CROYDON SERV CHG/RENT 07/10-24/12/12,2013/07
Department for Education,CAFCASS,02/10/2012,Telecommunications,HQ,DSGi Business,PINV/00337275,50400,DSGI Equanet Service for September 2012,2013/07
Department for Education,CAFCASS,02/10/2012,Water Rates,HQ,HMRC Vote Receipts Account,PINV/00337337,15.54,BRIGHTON RENT/SERV CHG APR-JUNE 12,2013/07
Department for Education,CAFCASS,03/10/2012,Building Fit Out and Enhancements,HQ,Triumph Furniture Company Ltd,PINV/00337406,28224.58,Assorted Office Furnature,2013/07
Department for Education,CAFCASS,17/10/2012,Non-contracted Computer Services,HQ,Gartner UK Ltd,PCRN/00006527,-155880,Credit note for: Gartner Services 223869,2013/07
Department for Education,CAFCASS,18/10/2012,Building Fit Out and Enhancements,HQ,Michelmores Solicitors,PINV/00338147,32194.08,JL-Colchester - Rent increase Sept-Dec,2013/07
Department for Education,CAFCASS,02/11/2012,Mobile Call Charges,HQ,Vodafone,CINV/00000152,1378.7,Vodafone October 2012,2013/07
Department for Education,CAFCASS,02/11/2012,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000152,26917.43,Vodafone October 2012,2013/07
Department for Education,CAFCASS,02/11/2012,Mobile Phone Rental,HQ,Vodafone,CINV/00000152,2306.01,Vodafone October 2012,2013/07
Department for Education,CAFCASS,02/11/2012,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000152,30254.43,Vodafone October 2012,2013/07
Department for Education,CAFCASS,06/11/2012,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000156,29584.99,Redfern October 12,2013/07
Department for Education,CAFCASS,06/11/2012,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000156,42802.44,Redfern October 12,2013/07
