Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Year_Period
Ministry of Justice,CAFCASS,03/04/2014,Computer Services,HQ,GCC,PINVP/00001168,"34,112.35",Software Support,2015/01
Ministry of Justice,CAFCASS,04/04/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000315,"31,716.50",Redfern Mar 14,2015/01
Ministry of Justice,CAFCASS,04/04/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000315,"61,627.62",Redfern Mar 14,2015/01
Ministry of Justice,CAFCASS,04/04/2014,Vehicle Insurance,HQ,Portmore Insurance Brokers Ltd,PINV/00365749,"33,231.00",2014/15 Cafcass Vehicle Insurance,2015/01
Ministry of Justice,CAFCASS,07/04/2014,Rent,HQ,Department For Work and Pensions,PINV/00365897,"44,126.71",LEEDS RENT/SERV CHG MAR 14,2015/01
Ministry of Justice,CAFCASS,07/04/2014,Service Charge,HQ,Department For Work and Pensions,PINV/00365897,"1,851.06",LEEDS RENT/SERV CHG MAR 14,2015/01
Ministry of Justice,CAFCASS,16/04/2014,Telecommunications,HQ,Vodafone Corporate Limited,PCRN/00007511,"-37,865.22",Vodafone Credit note number: 71507564,2015/01
Ministry of Justice,CAFCASS,22/04/2014,Rent,HQ,Land Registry,PINVP/00001178,"27,451.50",YORK RENT/SERV CHG 01/04-30/06/14,2015/01
Ministry of Justice,CAFCASS,22/04/2014,Service Charge,HQ,Land Registry,PINVP/00001178,"3,243.75",YORK RENT/SERV CHG 01/04-30/06/14,2015/01
Ministry of Justice,CAFCASS,24/04/2014,Rates,HQ,Coventry City Council,PINVP/00001181,"150,625.00",COVENTRY NBC RATES 01/04/14-01/04/15,2015/01
Ministry of Justice,CAFCASS,25/04/2014,Building Fit Out and Enhancements,HQ,DVLA,PINV/00366545,"35,544.58",DL - Dilapidations claim - Poole Office,2015/01
Ministry of Justice,CAFCASS,29/04/2014,Subscriptions to Law Reports,HQ,Reed Elsevier UK Ltd t/a LexisNexis,PINVP/00001183,"27,663.60",Online renewal 2014-15,2015/01
Ministry of Justice,CAFCASS,01/05/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000320,521.63,Vodafone Apr 14,2015/01
Ministry of Justice,CAFCASS,01/05/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000320,"4,890.79",Vodafone Apr 14,2015/01
Ministry of Justice,CAFCASS,01/05/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000320,"2,483.51",Vodafone Apr 14,2015/01
Ministry of Justice,CAFCASS,01/05/2014,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000320,"27,073.10",Vodafone Apr 14,2015/01
Ministry of Justice,CAFCASS,02/05/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000323,"31,415.59",Redfern Apr 14,2015/01
Ministry of Justice,CAFCASS,02/05/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000323,"31,546.16",Redfern Apr 14,2015/01
