Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,05/08/2014,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00369894,1530,Agency staff w/e 13/07/14
Ministry of Justice,CAFCASS,05/08/2014,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00369894,4691.76,Agency staff w/e 13/07/14
Ministry of Justice,CAFCASS,05/08/2014,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00369894,19076.56,Agency staff w/e 13/07/14
Ministry of Justice,CAFCASS,06/08/2014,External Auditor Fees,HQ,National Audit Office,PINV/00369948,52000,2013/14 External Audit fees
Ministry of Justice,CAFCASS,08/08/2014,Rates,HQ,Department For Work and Pensions,PINV/00370069,8154.59,LEEDS RATES AUG 14 RENT/SERV JULY 14
Ministry of Justice,CAFCASS,08/08/2014,Rent,HQ,Department For Work and Pensions,PINV/00370069,44482.79,LEEDS RATES AUG 14 RENT/SERV JULY 14
Ministry of Justice,CAFCASS,08/08/2014,Service Charge,HQ,Department For Work and Pensions,PINV/00370069,1843.86,LEEDS RATES AUG 14 RENT/SERV JULY 14
Ministry of Justice,CAFCASS,11/08/2014,Distribution & Postage,Op Service Areas,DX Network Services Ltd,PINV/00370083,70096.06,DX annual Subs 14-15 01/08/14-31/7/15
Ministry of Justice,CAFCASS,13/08/2014,Other Fees/Services,HQ,Midlandhr,PINV/00370148,32640,Quarterly Charges April 2014 to May 2014
Ministry of Justice,CAFCASS,15/08/2014,Rent,HQ,University of Warwick Science Park,PINVP/00001256,29225,NBC RENT/SERV CHG SEPT 14
Ministry of Justice,CAFCASS,15/08/2014,Service Charge,HQ,University of Warwick Science Park,PINVP/00001256,3098.4,NBC RENT/SERV CHG SEPT 14
Ministry of Justice,CAFCASS,20/08/2014,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00370347,6254.26,Agency Staff w/e 27/07/14
Ministry of Justice,CAFCASS,20/08/2014,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00370347,19598.85,Agency Staff w/e 27/07/14
Ministry of Justice,CAFCASS,27/08/2014,Rent,HQ,GVA re London & Continental Railways,PINVP/00001264,20763.6,CROYDON RENT/SERV CHG 29/09-24/12/14
Ministry of Justice,CAFCASS,27/08/2014,Service Charge,HQ,GVA re London & Continental Railways,PINVP/00001264,9610.2,CROYDON RENT/SERV CHG 29/09-24/12/14
Ministry of Justice,CAFCASS,04/09/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000366,763.2,Vodafone August 14
Ministry of Justice,CAFCASS,04/09/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000366,5860.13,Vodafone August 14
Ministry of Justice,CAFCASS,04/09/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000366,2494.8,Vodafone August 14
Ministry of Justice,CAFCASS,04/09/2014,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000366,26472.28,Vodafone August 14
Ministry of Justice,CAFCASS,04/09/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000367,22727.42,Redfern August 14
Ministry of Justice,CAFCASS,04/09/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000367,29889.42,Redfern August 14
