Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,01/07/2014,Internal Auditor Fees,HQ,PriceWaterhouseCoopers LLP,PINV/00368894,35850,13/14 Bill for Workforce Planning Audit
Ministry of Justice,CAFCASS,09/07/2014,Partnerships - Commissioned Contact Serv,HQ,DVIP,PINV/00369242,41580,A15 DViP 2014/15 Block
Ministry of Justice,CAFCASS,10/07/2014,Electricity,HQ,Cabinet Office CO - Misc Receipts,PINV/00369283,1659.03,NORWICH RENT/SERV/RATES 1/4-30/6/14
Ministry of Justice,CAFCASS,10/07/2014,Gas,HQ,Cabinet Office CO - Misc Receipts,PINV/00369283,443.29,NORWICH RENT/SERV/RATES 1/4-30/6/14
Ministry of Justice,CAFCASS,10/07/2014,Rates,HQ,Cabinet Office CO - Misc Receipts,PINV/00369283,4255.98,NORWICH RENT/SERV/RATES 1/4-30/6/14
Ministry of Justice,CAFCASS,10/07/2014,Rent,HQ,Cabinet Office CO - Misc Receipts,PINV/00369283,12072.27,NORWICH RENT/SERV/RATES 1/4-30/6/14
Ministry of Justice,CAFCASS,10/07/2014,Rent,HQ,Highways Agency,PINVP/00001246,57255.08,MANCH 7TH FL RENT/SERV/RATE 25/6-24/9/14
Ministry of Justice,CAFCASS,10/07/2014,Service Charge,HQ,Cabinet Office CO - Misc Receipts,PINV/00369283,6727.67,NORWICH RENT/SERV/RATES 1/4-30/6/14
Ministry of Justice,CAFCASS,10/07/2014,Service Charge,HQ,Highways Agency,PINVP/00001246,12225.34,MANCH 7TH FL RENT/SERV/RATE 25/6-24/9/14
Ministry of Justice,CAFCASS,10/07/2014,Water Rates,HQ,Cabinet Office CO - Misc Receipts,PINV/00369283,67.49,NORWICH RENT/SERV/RATES 1/4-30/6/14
Ministry of Justice,CAFCASS,11/07/2014,Rates,HQ,Department For Work and Pensions,PINV/00369292,8154.59,LEEDS RATES JULY 14/RENT JUNE 14
Ministry of Justice,CAFCASS,11/07/2014,Rent,HQ,Department For Work and Pensions,PINV/00369292,44341.74,LEEDS RATES JULY 14/RENT JUNE 14
Ministry of Justice,CAFCASS,14/07/2014,Building Fit Out and Enhancements,HQ,Michelmores Solicitors,PINV/00369328,30000,DL - Kingston - Dilapidations settlement
Ministry of Justice,CAFCASS,14/07/2014,Electricity,HQ,HM Courts and Tribunals Service,PCRN/00007629,-1207.79,CREDIT HOLBORN RENT/SERV 6/12/13-31/3/14
Ministry of Justice,CAFCASS,14/07/2014,Rates,HQ,HM Courts and Tribunals Service,PCRN/00007629,-9292.71,CREDIT HOLBORN RENT/SERV 6/12/13-31/3/14
Ministry of Justice,CAFCASS,14/07/2014,Rent,HQ,HM Courts and Tribunals Service,PCRN/00007629,-27697.28,CREDIT HOLBORN RENT/SERV 6/12/13-31/3/14
Ministry of Justice,CAFCASS,14/07/2014,Service Charge,HQ,HM Courts and Tribunals Service,PCRN/00007629,-2088.7,CREDIT HOLBORN RENT/SERV 6/12/13-31/3/14
Ministry of Justice,CAFCASS,17/07/2014,Rent,HQ,Land Registry,PINVP/00001247,27451.5,YORK RENT/SERV CHG 01/07-30/09/14
Ministry of Justice,CAFCASS,17/07/2014,Service Charge,HQ,Land Registry,PINVP/00001247,3243.75,YORK RENT/SERV CHG 01/07-30/09/14
Ministry of Justice,CAFCASS,18/07/2014,Rent,HQ,University of Warwick Science Park,PINVP/00001248,29225,NBC RENT/SERV CHG AUG 14
Ministry of Justice,CAFCASS,18/07/2014,Service Charge,HQ,University of Warwick Science Park,PINVP/00001248,3098.4,NBC RENT/SERV CHG AUG 14
Ministry of Justice,CAFCASS,30/07/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000350,480.05,Vodafone July 14
Ministry of Justice,CAFCASS,30/07/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000350,4804.78,Vodafone July 14
Ministry of Justice,CAFCASS,30/07/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000350,2495.62,Vodafone July 14
Ministry of Justice,CAFCASS,30/07/2014,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000350,26574.84,Vodafone July 14
Ministry of Justice,CAFCASS,06/08/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000356,31643.68,Redfern July 14
Ministry of Justice,CAFCASS,06/08/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000356,43386.23,Redfern July 14
