Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,06/06/2014,Telephony Managed Service,HQ,Indigo Telecom Group Ltd,PINVP/00001203,"113,328.00",VOIP AND CALL CENTRE SUPPORT 1/7-30/9/14
Ministry of Justice,CAFCASS,09/06/2014,Rent,HQ,Cushman & Wakefield Healey & Baker,PINVP/00001219,"24,300.00",NOTTINGHAM RENT/SERV CHG 24/6-28/9/14
Ministry of Justice,CAFCASS,09/06/2014,Service Charge,HQ,Cushman & Wakefield Healey & Baker,PINVP/00001219,"2,183.40",NOTTINGHAM RENT/SERV CHG 24/6-28/9/14
Ministry of Justice,CAFCASS,11/06/2014,Rent,HQ,GVA re London & Continental Railways,PINVP/00001222,"20,763.60",CROYDON RENT/SERV CHG 24/6-28/9/14
Ministry of Justice,CAFCASS,11/06/2014,Service Charge,HQ,GVA re London & Continental Railways,PINVP/00001222,"9,610.20",CROYDON RENT/SERV CHG 24/6-28/9/14
Ministry of Justice,CAFCASS,12/06/2014,Rent,HQ,Colliers Agent for Sports Council Trust,PINVP/00001224,"174,758.99",BLOOMS SER 25/3-28/9/14 RENT 1/6-28/9/14
Ministry of Justice,CAFCASS,12/06/2014,Service Charge,HQ,Colliers Agent for Sports Council Trust,PINVP/00001224,"83,214.00",BLOOMS SER 25/3-28/9/14 RENT 1/6-28/9/14
Ministry of Justice,CAFCASS,13/06/2014,Partnerships - Commissioned Contact Serv,HQ,National Children's Centre,PINV/00368348,"25,110.00",A04 NCC 2014/15 Block
Ministry of Justice,CAFCASS,13/06/2014,Partnerships - Commissioned Contact Serv,HQ,National Children's Centre,PINV/00368349,"34,020.00",A05 NCC 2014/15 Block
Ministry of Justice,CAFCASS,13/06/2014,Rent,HQ,Department For Work and Pensions,PINV/00368407,"44,341.74",LEEDS RENT MAY 14
Ministry of Justice,CAFCASS,13/06/2014,Rent,HQ,University of Warwick Science Park,PINVP/00001227,"29,225.00",NBC RENT/SERV CHG JULY 2014
Ministry of Justice,CAFCASS,13/06/2014,Service Charge,HQ,University of Warwick Science Park,PINVP/00001227,"2,901.70",NBC RENT/SERV CHG JULY 2014
Ministry of Justice,CAFCASS,26/06/2014,Internal Auditor Fees,HQ,PriceWaterhouseCoopers LLP,PINV/00368830,"27,000.00",13/14 Management Fee - Head of Internal
Ministry of Justice,CAFCASS,02/07/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000339,392.95,Vodafone June 14
Ministry of Justice,CAFCASS,02/07/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000339,"4,899.11",Vodafone June 14
Ministry of Justice,CAFCASS,02/07/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000339,"2,495.58",Vodafone June 14
Ministry of Justice,CAFCASS,02/07/2014,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000339,"26,727.58",Vodafone June 14
Ministry of Justice,CAFCASS,03/07/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000342,"34,284.22",Redfern June 14
Ministry of Justice,CAFCASS,03/07/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000342,"45,459.87",Redfern June 14
