Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,03/01/2014,Rent,HQ,University of Warwick Science Park,PINV/00361336,"29,225.00",NBC RENT/SERV CHG JAN 2014
Department for Education,CAFCASS,03/01/2014,Service Charge,HQ,University of Warwick Science Park,PINV/00361336,"2,901.70",NBC RENT/SERV CHG JAN 2014
Department for Education,CAFCASS,06/01/2014,Rent,HQ,Jones Lang LaSalle,PINVP/00001060,"20,763.60",CROYDON RENT/SERV CHG 25/12/13-24/3/14
Department for Education,CAFCASS,06/01/2014,Service Charge,HQ,Jones Lang LaSalle,PINVP/00001060,"9,012.60",CROYDON RENT/SERV CHG 25/12/13-24/3/14
Department for Education,CAFCASS,07/01/2014,Rates,HQ,Department For Work and Pensions,PINV/00361449,"9,562.18",LEEDS RATES DEC13 & RENT/SERV CHG NOV 13
Department for Education,CAFCASS,07/01/2014,Rent,HQ,Department For Work and Pensions,PINV/00361449,"43,933.87",LEEDS RATES DEC13 & RENT/SERV CHG NOV 13
Department for Education,CAFCASS,07/01/2014,Rent,HQ,Durham Masonic Hall Management Committee,PINVP/00001061,"28,000.00",DURHAM RENT 25/12/13-24/12/14
Department for Education,CAFCASS,07/01/2014,Service Charge,HQ,Department For Work and Pensions,PINV/00361449,"1,851.06",LEEDS RATES DEC13 & RENT/SERV CHG NOV 13
Department for Education,CAFCASS,08/01/2014,Building Fit Out and Enhancements,HQ,Goldmile Holdings Ltd,PINV/00361432,"42,500.00",Jl  - Warrington Dilaps Settelement
Department for Education,CAFCASS,14/01/2014,Rates,HQ,Land Registry,PINVP/00001063,"102,656.61",YORK RATES 2010-2014
Department for Education,CAFCASS,16/01/2014,Building Fit Out and Enhancements,HQ,Pexhurst Services Ltd,PINV/00361909,"72,913.15",DL - London - 21B - Fit out - A
Department for Education,CAFCASS,20/01/2014,Rent,HQ,University of Warwick Science Park,PINVP/00001066,"29,225.00",NBC RENT/SERV CHARGE FEB 14
Department for Education,CAFCASS,20/01/2014,Service Charge,HQ,University of Warwick Science Park,PINVP/00001066,"2,901.70",NBC RENT/SERV CHARGE FEB 14
Department for Education,CAFCASS,21/01/2014,Rent,HQ,Zurich Assurance Ltd,PINVP/00001068,"23,387.40",SLOUGH RENT/SERV CHG 25/12/13-24/3/14
Department for Education,CAFCASS,21/01/2014,Service Charge,HQ,Zurich Assurance Ltd,PINVP/00001068,"12,462.31",SLOUGH RENT/SERV CHG 25/12/13-24/3/14
Department for Education,CAFCASS,22/01/2014,Rates,HQ,LBC NNDR t/a Camden Business Rates Secti,PINVP/00001070,"60,224.85",BLOOMSBURY RATES 01/12/13-31/03/14
Department for Education,CAFCASS,24/01/2014,Service Charge,HQ,Colliers Agent for Sports Council Trust,PINV/00362371,"27,915.53",BLOOMSBURY LONDON SERV CHG 29/9-24/12/13
Department for Education,CAFCASS,28/01/2014,Training - External Courses,Op Service Areas,TCSW t/a The College of Social Work,PINV/00362441,"36,425.00",Corporate membership 1 year
Department for Education,CAFCASS,28/01/2014,Training - Practitioners,Op Service Areas,TCSW t/a The College of Social Work,PINV/00362441,"5,575.00",Corporate membership 1 year
Department for Education,CAFCASS,05/02/2014,Mobile Call Charges,HQ,Vodafone,CINV/00000291,"2,957.95",Vodafone Jan 14
Department for Education,CAFCASS,05/02/2014,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000291,"32,256.39",Vodafone Jan 14
Department for Education,CAFCASS,05/02/2014,Mobile Phone Rental,HQ,Vodafone,CINV/00000291,36.30,Vodafone Jan 14
Department for Education,CAFCASS,06/02/2014,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000293,"35,561.76",Redfern Jan 14
Department for Education,CAFCASS,06/02/2014,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000293,"63,388.47",Redfern Jan 14
