Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,18/12/2015,Rent,HQ,AMAS t/a JLL agent for Pace Trustees Ltd,PINVP/00001624,"23,877.00",B'HAM Rent S/C 25/12/15-24/03/15
Ministry of Justice,CAFCASS,18/12/2015,Service Charge,HQ,AMAS t/a JLL agent for Pace Trustees Ltd,PINVP/00001624,"16,782.29",B'HAM Rent S/C 25/12/15-24/03/15
Ministry of Justice,CAFCASS,18/12/2015,Temporary Business Support Staff,HQ,Brook Street UK Ltd,PINV/00381628,"16,206.62",Temporary Contract Staff
Ministry of Justice,CAFCASS,18/12/2015,Temporary Business Support Staff,Op Service Areas,Brook Street UK Ltd,PINV/00381628,"9,512.10",Temporary Contract Staff
Ministry of Justice,CAFCASS,04/12/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00381276,"46,426.79",Consolidated Agency Staff W/E 08/11/15
Ministry of Justice,CAFCASS,10/12/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00381373,"34,116.36",Consolidated Agency Staff W/E 15/11/15
Ministry of Justice,CAFCASS,10/12/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00381374,"36,715.51",Consolidated Agency Staff W/E 22/11/15
Ministry of Justice,CAFCASS,18/12/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00381606,"25,636.88",Consolidated Agency Staff W/E 29/11/15
Ministry of Justice,CAFCASS,22/12/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00381684,"41,763.36",Consolidated Agency Staff W/E 06/12/15
Ministry of Justice,CAFCASS,18/12/2015,Rates,HQ,Croydon Council,PINVP/00001620,"88,021.56",Croydon Rates Nov13 - Mar16
Ministry of Justice,CAFCASS,22/12/2015,Electricity,HQ,Department for Business Innovation Skill,PINV/00381760,"2,960.50",Chelmsford Rent Rate SC 1/10/15-31/12/15
Ministry of Justice,CAFCASS,22/12/2015,Gas,HQ,Department for Business Innovation Skill,PINV/00381760,986.5,Chelmsford Rent Rate SC 1/10/15-31/12/15
Ministry of Justice,CAFCASS,22/12/2015,Rates,HQ,Department for Business Innovation Skill,PINV/00381760,"11,198.00",Chelmsford Rent Rate SC 1/10/15-31/12/15
Ministry of Justice,CAFCASS,22/12/2015,Rent,HQ,Department for Business Innovation Skill,PINV/00381760,"20,454.00",Chelmsford Rent Rate SC 1/10/15-31/12/15
Ministry of Justice,CAFCASS,22/12/2015,Service Charge,HQ,Department for Business Innovation Skill,PINV/00381760,"3,308.00",Chelmsford Rent Rate SC 1/10/15-31/12/15
Ministry of Justice,CAFCASS,22/12/2015,Water Rates,HQ,Department for Business Innovation Skill,PINV/00381760,178,Chelmsford Rent Rate SC 1/10/15-31/12/15
Ministry of Justice,CAFCASS,04/12/2015,Service Charge,HQ,DTZ National Offender Management Service,PINVP/00001614,"41,968.04",Stafford S/C Apr15-Mar16 Ins Aug15-Jul16
Ministry of Justice,CAFCASS,07/12/2015,Rent,HQ,Durham Masonic Hall Management Committee,PINVP/00001618,"28,000.00",Durham Rent 25/12/15-24/12/16
Ministry of Justice,CAFCASS,11/12/2015,Agency Practitioners,Op Service Areas,Sanctuary Personnel Ltd,PINV/00381376,"27,375.78",Consolidated Agency Staff Nov 15
Ministry of Justice,CAFCASS,18/12/2015,Rent,HQ,University of Warwick Science Park,PINVP/00001628,"34,370.00",NBC Rent S/C Jan16
Ministry of Justice,CAFCASS,18/12/2015,Service Charge,HQ,University of Warwick Science Park,PINVP/00001628,"3,251.58",NBC Rent S/C Jan16
