Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,16/02/2015,Mobile Call Charges,HQ,Vodafone,CINV/00000426,227.93,Vodafone January 2015
Ministry of Justice,CAFCASS,16/02/2015,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000426,"2,782.01",Vodafone January 2015
Ministry of Justice,CAFCASS,16/02/2015,Mobile Phone Rental,HQ,Vodafone,CINV/00000426,"2,420.47",Vodafone January 2015
Ministry of Justice,CAFCASS,16/02/2015,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000426,"26,675.73",Vodafone January 2015
Ministry of Justice,CAFCASS,06/02/2015,Telecommunications Maintenance,HQ,Indigo Telecom Group Ltd,PCRN/00007826,"-37,776.00",Credit for Line rental for February 2015
Ministry of Justice,CAFCASS,06/02/2015,Telecommunications Maintenance,HQ,Indigo Telecom Group Ltd,PCRN/00007827,"-37,776.00",Credit for Line rental for February 2015
Ministry of Justice,CAFCASS,03/02/2015,Agency Practitioners,HQ,Sanctuary Personnel Ltd,PINV/00374275,"3,129.00",Agency Social workers WE 14/12/14
Ministry of Justice,CAFCASS,03/02/2015,Agency Practitioners,Op Service Areas,Sanctuary Personnel Ltd,PINV/00374275,"31,564.30",Agency Social workers WE 14/12/14
Ministry of Justice,CAFCASS,05/02/2015,Temporary Business Support Staff,HQ,Brook Street UK Ltd,PINV/00374337,"12,529.11",Agency Staff WE 19/12/14
Ministry of Justice,CAFCASS,05/02/2015,Temporary Business Support Staff,Op Service Areas,Brook Street UK Ltd,PINV/00374337,"12,513.33",Agency Staff WE 19/12/14
Ministry of Justice,CAFCASS,05/02/2015,Rates,HQ,Department For Work and Pensions,PINV/00374345,"8,154.59",LEEDS RENT/SERV JAN 15 & RATES FEB 15
Ministry of Justice,CAFCASS,05/02/2015,Rent,HQ,Department For Work and Pensions,PINV/00374345,"44,815.81",LEEDS RENT/SERV JAN 15 & RATES FEB 15
Ministry of Justice,CAFCASS,05/02/2015,Service Charge,HQ,Department For Work and Pensions,PINV/00374345,"1,843.86",LEEDS RENT/SERV JAN 15 & RATES FEB 15
Ministry of Justice,CAFCASS,12/02/2015,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00374451,"1,476.00",Agency Staff W/E 07/12/14
Ministry of Justice,CAFCASS,12/02/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00374451,"5,480.05",Agency Staff W/E 07/12/14
Ministry of Justice,CAFCASS,12/02/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00374451,"22,737.17",Agency Staff W/E 07/12/14
Ministry of Justice,CAFCASS,12/02/2015,Agency Practitioners,HQ,Sanctuary Personnel Ltd,PINV/00374478,"3,219.00",Agency Staff Various Jan 15 dates
Ministry of Justice,CAFCASS,12/02/2015,Agency Practitioners,Op Service Areas,Sanctuary Personnel Ltd,PINV/00374478,"30,981.46",Agency Staff Various Jan 15 dates
Ministry of Justice,CAFCASS,13/02/2015,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00374527,"1,476.00",Agency Staff WE 18/01/15
Ministry of Justice,CAFCASS,13/02/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00374527,"5,868.77",Agency Staff WE 18/01/15
Ministry of Justice,CAFCASS,13/02/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00374527,"31,017.86",Agency Staff WE 18/01/15
Ministry of Justice,CAFCASS,17/02/2015,Building Fit Out and Enhancements,HQ,HM Courts and Tribunals Service,PINV/00374599,"35,393.10",DL - Bournemouth CC works - 13/14
Ministry of Justice,CAFCASS,18/02/2015,Recruitment,HQ,Guardian News & Media Ltd,PINV/00374620,"30,000.00",Advertising related services
Ministry of Justice,CAFCASS,18/02/2015,Agency Practitioners,HQ,Sanctuary Personnel Ltd,PINV/00374623,"1,887.00",Agency Staff WE 18/01/15
