Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,12/03/2015,Mobile Call Charges,HQ,Vodafone,CINV/00000434,303.99,Vodafone February 2015
Ministry of Justice,CAFCASS,12/03/2015,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000434,"3,281.02",Vodafone February 2015
Ministry of Justice,CAFCASS,12/03/2015,Mobile Phone Rental,HQ,Vodafone,CINV/00000434,"2,353.13",Vodafone February 2015
Ministry of Justice,CAFCASS,12/03/2015,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000434,"26,678.83",Vodafone February 2015
Ministry of Justice,CAFCASS,12/03/2015,Telecommunication Service & Maintenance,Op Service Areas,Vodafone,CINV/00000434,"7,200.02",Vodafone February 2015
Ministry of Justice,CAFCASS,04/03/2015,Agency Practitioners,HQ,Sanctuary Personnel Ltd,PINV/00374972,"3,305.40",W/E 08/02/2015 Agency Staff
Ministry of Justice,CAFCASS,04/03/2015,Agency Practitioners,Op Service Areas,Sanctuary Personnel Ltd,PINV/00374972,"27,196.00",W/E 08/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00375139,"1,510.56",W/E 01/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00375139,"7,175.09",W/E 01/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00375139,"34,374.92",W/E 01/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00375142,"5,985.95",W/E 08/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00375142,"19,628.33",W/E 08/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practice Managers,Op Service Areas,Capita Resourcing Ltd,PINV/00375144,"2,952.00",W/E 08/02/2015 & 15/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00375144,"5,455.18",W/E 08/02/2015 & 15/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00375144,"32,594.68",W/E 08/02/2015 & 15/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,HQ,Sanctuary Personnel Ltd,PINV/00375145,"4,629.60",W/E 15/02/2015 Agency Staff
Ministry of Justice,CAFCASS,11/03/2015,Agency Practitioners,Op Service Areas,Sanctuary Personnel Ltd,PINV/00375145,"25,339.50",W/E 15/02/2015 Agency Staff
Ministry of Justice,CAFCASS,13/03/2015,Rates,HQ,Department For Work and Pensions,PINV/00375206,"8,154.59",LEEDS RENT/SERV FEB 15 RATES MAR 15
