Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,CAFCASS,26/10/2015,Mobile Call Charges,HQ,Vodafone,CINV/00000517,261.79,Vodafone Sep 2015
Ministry of Justice,CAFCASS,26/10/2015,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000517,"2,026.96",Vodafone Sep 2015
Ministry of Justice,CAFCASS,26/10/2015,Mobile Phone Rental,HQ,Vodafone,CINV/00000517,"2,426.19",Vodafone Sep 2015
Ministry of Justice,CAFCASS,26/10/2015,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000517,"25,979.27",Vodafone Sep 2015
Ministry of Justice,CAFCASS,06/10/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00379952,"6,097.69",W/E 30/08/15 Consolidated
Ministry of Justice,CAFCASS,06/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00379952,"21,791.59",W/E 30/08/15 Consolidated
Ministry of Justice,CAFCASS,06/10/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00379953,"1,267.20",W/E 06/09/15 Consolidated
Ministry of Justice,CAFCASS,06/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00379953,"28,399.09",W/E 06/09/15 Consolidated
Ministry of Justice,CAFCASS,07/10/2015,Agency Practitioners,HQ,Capita Resourcing Ltd,PINV/00380000,"4,271.87",W/E 16/08/15 Consolidated
Ministry of Justice,CAFCASS,07/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00380000,"20,876.42",W/E 16/08/15 Consolidated
Ministry of Justice,CAFCASS,13/10/2015,Telecommunication Service & Maintenance,HQ,Indigo Telecom Group Ltd,PINV/00380104,"32,104.04",Voip Support service for April 2015
Ministry of Justice,CAFCASS,20/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00380221,"31,442.99",W/E 13/09/15 Consolidated
Ministry of Justice,CAFCASS,26/10/2015,Other Fees/Services,HQ,Home Office,PINV/00380318,"47,909.52",PNC Charges April - Sept 15
Ministry of Justice,CAFCASS,27/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00380410,"42,637.01",W/E 20/09/15 Consolidated
Ministry of Justice,CAFCASS,27/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00380411,"37,082.06",W/E 27/09/15 Consolidated
Ministry of Justice,CAFCASS,27/10/2015,Agency Practitioners,Op Service Areas,Capita Resourcing Ltd,PINV/00380416,"37,254.97",W/E 11/10/15 Consolidated
Ministry of Justice,CAFCASS,08/10/2015,Rent,HQ,Highways England Company Ltd,PINVP/00001577,"57,255.00",Manch 7th FL Rent S/C Oct-Dec15
Ministry of Justice,CAFCASS,08/10/2015,Service Charge,HQ,Highways England Company Ltd,PINVP/00001577,"13,991.00",Manch 7th FL Rent S/C Oct-Dec15
Ministry of Justice,CAFCASS,16/10/2015,Rent,HQ,University of Warwick Science Park,PINVP/00001586,"34,370.00",NBC Rent S/C 01/11/15 - 30/11/15
Ministry of Justice,CAFCASS,16/10/2015,Service Charge,HQ,University of Warwick Science Park,PINVP/00001586,"3,251.58",NBC Rent S/C 01/11/15 - 30/11/15
