Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,07/10/2013,Rent,HQ,GVA Grimleys Ltd (Managing Agents),PCRN/00007059,"-38,733.29",CREDIT LEEDS RENT 02/10-24/12/13
Department for Education,CAFCASS,07/10/2013,Rent,HQ,Jones Lang LaSalle,PINVP/00000986,"20,763.60",CROYDON RENT/SERV CHG 29/9-24/12/13
Department for Education,CAFCASS,07/10/2013,Service Charge,HQ,Jones Lang LaSalle,PINVP/00000986,"9,012.60",CROYDON RENT/SERV CHG 29/9-24/12/13
Department for Education,CAFCASS,08/10/2013,Other Fees/Services,HQ,Home Office,PINV/00357296,"28,408.25",Police Checks - Jan 2013
Department for Education,CAFCASS,08/10/2013,Other Fees/Services,HQ,Home Office,PINV/00357298,"37,026.88",Police Checks “2013/14 Q1
Department for Education,CAFCASS,11/10/2013,External Consultancy,Op Service Areas,Bold Moves Limited,PINV/00357469,"30,000.00",Bold Moves/Cafcass Inovation Project
Department for Education,CAFCASS,21/10/2013,Rates,HQ,Leeds City Council,PCRN/00007077,"-34,053.95",CREDIT LEEDS RATES 01/04-01/10/13
Department for Education,CAFCASS,21/10/2013,Rent,HQ,University of Warwick Science Park,PINVP/00000999,"29,225.00",NBC RENT/SERV CHG NOV 13
Department for Education,CAFCASS,21/10/2013,Service Charge,HQ,University of Warwick Science Park,PINVP/00000999,"2,901.70",NBC RENT/SERV CHG NOV 13
Department for Education,CAFCASS,06/11/2013,Mobile Call Charges,HQ,Vodafone,CINV/00000263,868.82,Vodafone Oct 2013
Department for Education,CAFCASS,06/11/2013,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000263,"7,534.24",Vodafone Oct 2013
Department for Education,CAFCASS,06/11/2013,Mobile Phone Rental,HQ,Vodafone,CINV/00000263,"2,532.27",Vodafone Oct 2013
Department for Education,CAFCASS,06/11/2013,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000263,"26,700.75",Vodafone Oct 2013
Department for Education,CAFCASS,07/11/2013,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000264,"28,135.65",Redfern Oct 2013
Department for Education,CAFCASS,07/11/2013,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000264,"40,005.59",Redfern Oct 2013
