Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CAFCASS,24/09/2013,Mobile Call Charges,HQ,Vodafone,CINV/00000247,"1,462.47",Vodafone Sep 2013
Department for Education,CAFCASS,24/09/2013,Mobile Call Charges,Op Service Areas,Vodafone,CINV/00000247,"15,509.06",Vodafone Sep 2013
Department for Education,CAFCASS,24/09/2013,Mobile Phone Rental,HQ,Vodafone,CINV/00000247,"2,513.66",Vodafone Sep 2013
Department for Education,CAFCASS,24/09/2013,Mobile Phone Rental,Op Service Areas,Vodafone,CINV/00000247,"26,814.14",Vodafone Sep 2013
Department for Education,CAFCASS,07/10/2013,Travel and Subs - UK (Non-Taxable),HQ,Redfern Travel Limited,CINV/00000254,"34,327.64",Redfern Sept 2013
Department for Education,CAFCASS,07/10/2013,Travel and Subs - UK (Non-Taxable),Op Service Areas,Redfern Travel Limited,CINV/00000254,"49,339.42",Redfern Sept 2013
Department for Education,CAFCASS,03/09/2013,Electricity,HQ,HM Revenue & Customs,PINV/00355440,-11.09,CANTERBURY RENT/RATES APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Gas,HQ,HM Revenue & Customs,PINV/00355440,"1,036.32",CANTERBURY RENT/RATES APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rates,HQ,HM Revenue & Customs,PINV/00355440,"14,574.40",CANTERBURY RENT/RATES APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rent,HQ,HM Revenue & Customs,PINV/00355440,"11,037.66",CANTERBURY RENT/RATES APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rent,HQ,Irwin Mitchell,PINV/00355455,"23,877.01",BHAM SUITE 2/3 RENT/SER CHG JUL-SEP 13
Department for Education,CAFCASS,03/09/2013,Service Charge,HQ,Irwin Mitchell,PINV/00355455,"14,390.55",BHAM SUITE 2/3 RENT/SER CHG JUL-SEP 13
Department for Education,CAFCASS,03/09/2013,Electricity,HQ,DVLA,PINV/00355456,"1,194.67",POOLE RENT/SERV CHG/RATE APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Gas,HQ,DVLA,PINV/00355456,298.67,POOLE RENT/SERV CHG/RATE APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rates,HQ,DVLA,PINV/00355456,"4,782.86",POOLE RENT/SERV CHG/RATE APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rent,HQ,DVLA,PINV/00355456,"10,214.76",POOLE RENT/SERV CHG/RATE APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Service Charge,HQ,DVLA,PINV/00355456,"8,425.74",POOLE RENT/SERV CHG/RATE APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Water Rates,HQ,DVLA,PINV/00355456,129.44,POOLE RENT/SERV CHG/RATE APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Electricity,HQ,HM Revenue & Customs,PINV/00355457,544.66,BRIGHTON RENT/SERV CHG APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rates,HQ,HM Revenue & Customs,PINV/00355457,"17,808.09",BRIGHTON RENT/SERV CHG APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Rent,HQ,HM Revenue & Customs,PINV/00355457,"12,937.30",BRIGHTON RENT/SERV CHG APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Service Charge,HQ,HM Revenue & Customs,PINV/00355457,107.5,BRIGHTON RENT/SERV CHG APR-JUN 13
Department for Education,CAFCASS,03/09/2013,Water Rates,HQ,HM Revenue & Customs,PINV/00355457,82.58,BRIGHTON RENT/SERV CHG APR-JUN 13
Department for Education,CAFCASS,04/09/2013,Distribution & Postage,Op Service Areas,DX Network Services Ltd,PINV/00355530,"92,324.71",DX annual subscriptions 01/08/13-31/07/1
Department for Education,CAFCASS,06/09/2013,Rates,HQ,Department For Work and Pensions,PINV/00355650,"9,562.18",LEEDS RENT/RATES/SERV CHG AUG 13
Department for Education,CAFCASS,06/09/2013,Rent,HQ,Department For Work and Pensions,PINV/00355650,"43,558.78",LEEDS RENT/RATES/SERV CHG AUG 13
Department for Education,CAFCASS,06/09/2013,Service Charge,HQ,Department For Work and Pensions,PINV/00355650,"1,851.06",LEEDS RENT/RATES/SERV CHG AUG 13
Department for Education,CAFCASS,23/09/2013,Building Fit Out and Enhancements,HQ,Michelmores Solicitors,PINV/00356458,"75,232.59",LL - Grimsby settlement rent to 31.3.15
Department for Education,CAFCASS,23/09/2013,Rates,HQ,Department For Work and Pensions,PINV/00356490,"9,562.18",LEEDS RENT/RATES/SERV CHG SEPT 13
Department for Education,CAFCASS,23/09/2013,Rent,HQ,Department For Work and Pensions,PINV/00356490,"43,558.78",LEEDS RENT/RATES/SERV CHG SEPT 13
Department for Education,CAFCASS,23/09/2013,Service Charge,HQ,Department For Work and Pensions,PINV/00356490,"1,851.06",LEEDS RENT/RATES/SERV CHG SEPT 13
Department for Education,CAFCASS,27/09/2013,Building Fit Out and Enhancements,HQ,Woodhead Investments & Development Ltd,PINV/00356770,"38,000.00",LL - Wakefield Landllord Dilaps Settleme
Department for Education,CAFCASS,06/09/2013,Rent,HQ,Cushman & Wakefield Healey & Baker,PINVP/00000953,"24,300.00",UNIT 2A NOTTHAM RENT/SERV 29/9-24/12/13
Department for Education,CAFCASS,06/09/2013,Service Charge,HQ,Cushman & Wakefield Healey & Baker,PINVP/00000953,"1,964.10",UNIT 2A NOTTHAM RENT/SERV 29/9-24/12/13
Department for Education,CAFCASS,18/09/2013,Rates,HQ,DTZ,PINVP/00000965,"4,851.30",STAFFORD RENT/SERV/RATE 01/10-31/12/13
Department for Education,CAFCASS,18/09/2013,Rent,HQ,DTZ,PINVP/00000965,"11,875.00",STAFFORD RENT/SERV/RATE 01/10-31/12/13
Department for Education,CAFCASS,18/09/2013,Service Charge,HQ,DTZ,PINVP/00000965,"8,347.50",STAFFORD RENT/SERV/RATE 01/10-31/12/13
Department for Education,CAFCASS,20/09/2013,Rent,HQ,University of Warwick Science Park,PINVP/00000974,"29,225.00",NBC RENT/SERV CHG OCT 13
Department for Education,CAFCASS,20/09/2013,Service Charge,HQ,University of Warwick Science Park,PINVP/00000974,"2,901.70",NBC RENT/SERV CHG OCT 13
Department for Education,CAFCASS,23/09/2013,Telephony Managed Service,HQ,Indigo Telecom Group Ltd,PINVP/00000979,"113,328.00",Minimum charge for service - fixed
