Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,Finance & CSD Total,Carlisle Managed Solutions,EFT8003588,22100.65
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,Governance & Legal Total,Carlisle Managed Solutions,EFT8003588,976.74
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,Intelligence Total,Carlisle Managed Solutions,EFT8003588,9947.03
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,OD & HR Total,Carlisle Managed Solutions,EFT8003588,9162.31
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,Operations Delivery Total,Carlisle Managed Solutions,EFT8003588,63211.12
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,Registration Total,Carlisle Managed Solutions,EFT8003588,5360.28
Department of Health,Care Quality Commission,02/06/2011,Agency Non Medical,Strategic Marketing & Comms Total,Carlisle Managed Solutions,EFT8003588,23137.84
Department of Health,Care Quality Commission,02/06/2011,Facilities Management,Finance & Corporate Services Directorate,Europa,EFT8003597           ,57583.69
Department of Health,Care Quality Commission,02/06/2011,IT-Int.Dev.SW-External PM,Finance & Corporate Services Directorate,Sapient,EFT8003617           ,112548
Department of Health,Care Quality Commission,02/06/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,Sapient,EFT8003617           ,26616
Department of Health,Care Quality Commission,02/06/2011,Rates Control,Commission Wide,Islington Council,EFT8003605           ,29672
Department of Health,Care Quality Commission,02/06/2011,Rent,Finance & Corporate Services Directorate,NB Real Estate (a/c 1695),EFT8003611           ,56954.1
Department of Health,Care Quality Commission,06/06/2011,Consultancy,Intelligence Directorate,Picker Institute Europe,EFT8003648           ,183428.76
Department of Health,Care Quality Commission,06/06/2011,FCM Control Account,Commission Wide,FCm Travel Solutions,EFT8003637           ,124855.46
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Finance & CSD Total,Carlisle Managed Solutions,EFT8003670,18042.65
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Governance & Legal Total,Carlisle Managed Solutions,EFT8003670,586.04
Department of Health,Care Quality Commission,08/06/2011,Agency Non Medical,Intelligence Total,Carlisle Managed Solutions,EFT8003670,6479.81
