Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount,Description
Department of Health,Care Quality Commission,02/09/2011,Service Charges,Finance & Corporate Services Directorate,NB Real Estate (a/c 1695),EFT8004898           ,19415.93,Maintenance / FM
Department of Health,Care Quality Commission,02/09/2011,FCM Control Account,Commission Wide,FCm Travel Solutions,EFT8004884           ,117539.02,Travel and Subsistence
Department of Health,Care Quality Commission,02/09/2011,Rent,Finance & Corporate Services Directorate,NB Real Estate (a/c 1695),EFT8004898           ,56954.10,Rent
Department of Health,Care Quality Commission,06/09/2011,Consultation Mechanism,Commission Wide,Picker Institute Europe,EFT8004952           ,61142.92,Surveys
Department of Health,Care Quality Commission,06/09/2011,Data Services,Operations Delivery,Cable & Wireless,EFT8004930           ,39189.42,IT Telecommunications
Department of Health,Care Quality Commission,06/09/2011,Service Charges,Finance & Corporate Services Directorate,Rockdell Property Managment(Service Chg),EFT8004956           ,148061.58,Maintenance / FM
Department of Health,Care Quality Commission,06/09/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,Computacenter UK Limited,EFT8004933           ,208236.60,Intangible Assets
Department of Health,Care Quality Commission,06/09/2011,Rent,Finance & Corporate Services Directorate,Rockdell Property Management(Rent),EFT8004955           ,436088.25,Rent
Department of Health,Care Quality Commission,08/09/2011,Rent,Finance & Corporate Services Directorate,Jones Lang Lasalle,EFT8004976           ,61050.00,Rent
Department of Health,Care Quality Commission,08/09/2011,Secondments from External Organisations,Operations Delivery,Tribal TGC (Tribal Government Consulting,EFT8004986           ,35145.00,Secondments from External Organisations
Department of Health,Care Quality Commission,08/09/2011,Service Charges,Finance & Corporate Services Directorate,Jones Lang Lasalle,EFT8004976           ,15131.84,Maintenance / FM
Department of Health,Care Quality Commission,08/09/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8004971           ,9496.93,Agency
Department of Health,Care Quality Commission,08/09/2011,Carlisle Control,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8004971           ,13690.21,Agency
