Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,02/11/2011,Agency,Operations Delivery,CAPITA RESOURCING LTD,100718,"35,006.40",Agency
Department of Health,Care Quality Commission,02/11/2011,IT-Website,Finance & Corporate Services Directorate,STERIA LTD,100726,"32,880.00",IT Website
Department of Health,Care Quality Commission,02/11/2011,IT-Website,Finance & Corporate Services Directorate,STERIA LTD,100727,"41,280.00",IT Website
Department of Health,Care Quality Commission,02/11/2011,IT-Website,Finance & Corporate Services Directorate,STERIA LTD,100729,"39,144.00",IT Website
Department of Health,Care Quality Commission,02/11/2011,IT-Website,Finance & Corporate Services Directorate,STERIA LTD,100731,"26,784.00",IT Website
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Commission Wide,CARLISLE MANAGED SOLUTIONS,103033,6516.92,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Finance & Corporate Services Directorate,CARLISLE MANAGED SOLUTIONS,103033,24307.65,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Governance and Legal,CARLISLE MANAGED SOLUTIONS,103033,5016.4,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Intelligence,CARLISLE MANAGED SOLUTIONS,103033,9906.84,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,OD & HR,CARLISLE MANAGED SOLUTIONS,103033,21639.78,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Operations Delivery,CARLISLE MANAGED SOLUTIONS,103033,32027.41,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,103033,11333.71,Agency
Department of Health,Care Quality Commission,30/11/2011,Carlisle Control,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,103033,21407.53,Agency
Department of Health,Care Quality Commission,08/11/2011,Consultation Mechanism,Commission Wide,PICKER INSTITUTE EUROPE,109433,"61,142.92",Surveys
Department of Health,Care Quality Commission,30/11/2011,IT-Int.Dev.SW-Software Dev.,Finance & Corporate Services Directorate,SAPIENT LTD,111795,"87,762.00",Intangible Assets
Department of Health,Care Quality Commission,10/11/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC COMPUTER SCIENCES LTD,111796,"38,778.91",IT Managed Service
Department of Health,Care Quality Commission,10/11/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC COMPUTER SCIENCES LTD,112223,"34,177.01",IT Managed Service
Department of Health,Care Quality Commission,10/11/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC COMPUTER SCIENCES LTD,112227,"26,422.38",IT Managed Service
Department of Health,Care Quality Commission,11/11/2011,Legal / Prof Fees,Governance and Legal,MILLS & REEVE LLP,113664,"38,290.62",Contracted Lawyers/ Legal Fees
Department of Health,Care Quality Commission,30/11/2011,Agency,Commission Wide,CARLISLE MANAGED SOLUTIONS,117022,6947.88,Agency
Department of Health,Care Quality Commission,30/11/2011,Agency,Finance & Corporate Services Directorate,CARLISLE MANAGED SOLUTIONS,117022,16599.83,Agency
Department of Health,Care Quality Commission,30/11/2011,Agency,Governance and Legal,CARLISLE MANAGED SOLUTIONS,117022,1641.4,Agency
Department of Health,Care Quality Commission,30/11/2011,Agency,Intelligence,CARLISLE MANAGED SOLUTIONS,117022,11613.68,Agency
Department of Health,Care Quality Commission,30/11/2011,Agency,OD & HR,CARLISLE MANAGED SOLUTIONS,117022,15005.34,Agency
