Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/12/2011,IT Website,Finance & Corporate Services Directorate,STERIA LTD,137454,"11,480.00",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,IT Website,Finance & Corporate Services Directorate,STERIA LTD,137455,"27,380.00",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,IT Website,Finance & Corporate Services Directorate,STERIA LTD,137455,"16,920.00",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,Publc Relations Expenditure,Regulatory Development,UCLAN BUSINESS SERVICES LTD,148247,"32,000.40",Speakout Network Project
Department of Health,Care Quality Commission,31/12/2011,Lecture Fees,Human Resources and Organisation Development Directorate,CATALYST BUSINESS DYNAMICS LTD,148257,"4,970.00",People Development
Department of Health,Care Quality Commission,31/12/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC COMPUTER SCIENCES LTD,151780,"30,426.86",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC COMPUTER SCIENCES LTD,151814,"48,902.98",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,CSC Managed Service,Finance & Corporate Services Directorate,CSC COMPUTER SCIENCES LTD,151815,"484,699.12",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,"Fuel. Light , Heat",Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153469,"40,360.32",Utilities - Electricity
Department of Health,Care Quality Commission,31/12/2011,Maintenance / FM,Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153469,"10,400.06",Insurance Property
Department of Health,Care Quality Commission,31/12/2011,Rates,Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153469,"143,409.76",Rates
Department of Health,Care Quality Commission,31/12/2011,Rent,Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153469,"510,735.59",Rent
Department of Health,Care Quality Commission,31/12/2011,Maintenance / FM,Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153469,"247,833.64",Service Charge
Department of Health,Care Quality Commission,31/12/2011,Maintenance / FM,Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153472,"30,692.34",Service Charge
Department of Health,Care Quality Commission,31/12/2011,Rent,Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153472,"79,192.00",Rent
Department of Health,Care Quality Commission,31/12/2011,"Fuel. Light , Heat",Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153472,"1,499.72",Utilities - Gas
Department of Health,Care Quality Commission,31/12/2011,"Fuel. Light , Heat",Finance & Corporate Services Directorate,COMMUNITIES & LOCAL GOVERNMENT,153472,"7,805.94",Utilities - Electricity
Department of Health,Care Quality Commission,31/12/2011,IT Managed Service,Finance & Corporate Services Directorate,NHS SHARED BUSINESS SERVICES LTD,158602,"60,399.99",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,IT Managed Service,Human Resources and Organisation Development Directorate,NHS SHARED BUSINESS SERVICES LTD,158602,"18,769.91",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,Computacentre Managed Service,Finance & Corporate Services Directorate,COMPUTACENTER (UK) LTD,159044,"186,468.61",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,IT Websire,Finance & Corporate Services Directorate,STERIA LTD,162249,"25,535.30",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,Legal / Prof Fees,Governance and Legal Directorate,MILLS & REEVE LLP,164229,"5,979.72",Contracted Lawyers/ Legal Fees
Department of Health,Care Quality Commission,31/12/2011,Legal / Prof Fees,Governance and Legal Directorate,BEVAN BRITTAN LLP,166615,"127,605.11",Contracted Lawyers/ Legal Fees
Department of Health,Care Quality Commission,31/12/2011,Computacentre Managed Service,Finance & Corporate Services Directorate,COMPUTACENTER (UK) LTD,168513,"184,441.79",IT Managed Service
Department of Health,Care Quality Commission,31/12/2011,Consultation Mechanism,Commission Wide,PICKER INSTITUTE EUROPE,170188,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/12/2011,Public Relations Expenses,Regulatory Development,CHALLENGING BEHAVIOUR FOUNDATION,172692,"29,802.75",Business Support
Department of Health,Care Quality Commission,31/12/2011,Rent,Finance & Corporate Services Directorate,TUSTIN DEVELOPMENTS LTD,179464,"38,782.50",Rent
Department of Health,Care Quality Commission,31/12/2011,Maintenance / FM,Finance & Corporate Services Directorate,DEPARTMENT OF HEALTH,179848,"64,993.39",Service Charge
Department of Health,Care Quality Commission,31/12/2011,Rent,Finance & Corporate Services Directorate,TUSTIN DEVELOPMENTS LTD,188085,"-38,782.50",Rent
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
