Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,29/02/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,112246,7861.12,IT Managed Service
Department of Health,Care Quality Commission,29/02/2012,FM Computer Contracts,Finance and CSD,SAPIENT LTD,217517,21017.5,IT Managed Service
Department of Health,Care Quality Commission,29/02/2012,Rent,Finance and CSD,NB REAL ESTATE,224193,47461.75,Rent
Department of Health,Care Quality Commission,29/02/2012,Service Charge,Finance and CSD,NB REAL ESTATE,224193,16179.94,Service Charge
Department of Health,Care Quality Commission,29/02/2012,Public Relations Expenses,Regulatory Development ,CHOICE SUPPORT,255663,31035,User Involvement
Department of Health,Care Quality Commission,29/02/2012,Public Relations Expenses,Regulatory Development ,CHOICE SUPPORT,255669,30426.45,User Involvement
Department of Health,Care Quality Commission,29/02/2012,Public Relations Expenses,Regulatory Development ,CHOICE SUPPORT,255670,30671.48,User Involvement
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,268243,3559.86,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,268243,24520.23,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,268243,5703.48,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,268243,13559.96,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,268243,13211.16,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,268243,23985.38,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,268243,10908.91,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,268243,29021.24,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Contr Estate Management,Finance and CSD,DEPARTMENT OF HEALTH,268334,51199.02,Service Charge
Department of Health,Care Quality Commission,29/02/2012,FCM Control Account,Commission Wide,FCM TRAVEL SOLUTIONS,279021,176844.53,Travel
Department of Health,Care Quality Commission,29/02/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,281219,38073.06,IT Managed Service
Department of Health,Care Quality Commission,29/02/2012,Consultation Mechanism,Finance and CSD,PICKER INSTITUTE EUROPE,282237,61142.92,Surveys
Department of Health,Care Quality Commission,29/02/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,293900,136287.6,IT Telecommunications
Department of Health,Care Quality Commission,29/02/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,293901,39046.7,IT Telecommunications
Department of Health,Care Quality Commission,29/02/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,293902,142016.64,IT Telecommunications
Department of Health,Care Quality Commission,29/02/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,293903,39189.42,IT Telecommunications
Department of Health,Care Quality Commission,29/02/2012,Phone Rental and Calls,Finance and CSD,GOVERNMENT PROCUREMENT SERVICE,305555,27729.82,IT Telecommunications
Department of Health,Care Quality Commission,29/02/2012,Legal / Prof Fees,Governance and Legal,MILLS & REEVE LLP,309536,47468.4,Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,315748,19323.16,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,315748,14177.21,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,315748,7069.86,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,315748,26661.24,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,315748,11459.93,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,315748,21501.9,Agency Staff
Department of Health,Care Quality Commission,29/02/2012,Rent,Finance and CSD,JONES LANG LASALLE,316321,61050,Rent
Department of Health,Care Quality Commission,29/02/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,321444,467553.38,IT Managed Service
Department of Health,Care Quality Commission,24/02/2012,Public Relations Expenses,Strategic Marketing & Comms,NEWSPAPER LICENSING AGENCY LTD,324843,46424.14,Licensing
