Department Family,Entity,Date,,,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/03/2012,Contr Estate Management,Finance and CSD,DEPARTMENT OF HEALTH,321042,"40,042.68",Service Charge
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,336938,"41,161.36",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,345803,"22,622.70",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,345803,"3,828.48",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,345803,"11,637.69",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,345803,"6,027.18",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,345803,"28,418.29",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,345803,"6,673.48",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,345803,"20,638.54",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Contr Estate Management,Finance and CSD,DEPARTMENT OF HEALTH,355168,"76,829.36",Service Charge
Department of Health,Care Quality Commission,31/03/2012,Course Fees,OD & HR,SPECIALIST COMPUTER CENTRES PLC,355199,"38,316.00",Training and Development
Department of Health,Care Quality Commission,31/03/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,355245,"184,441.79",IT Managed Service
Department of Health,Care Quality Commission,31/03/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,374811,"40,049.04",Hotels and Conferences
Department of Health,Care Quality Commission,31/03/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,374821,"67,571.53",Hotels and Conferences
Department of Health,Care Quality Commission,31/03/2012,Hire of Rooms Halls & Buildings / Other meeting expenses,Regulatory Development,SPENCER DU BOIS LTD,376576,"25,855.69",Hire of Rooms Halls & Buildings / Other meeting expenses
Department of Health,Care Quality Commission,31/03/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,398890,"44,588.15",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,398892,"46,243.02",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,398894,"44,880.76",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2012,Rents,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,398902,"436,088.25",Rent
Department of Health,Care Quality Commission,31/03/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,398904,"144,482.94",Service Charge
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,408474,"27,874.54",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,408474,"2,851.74",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,408474,"9,513.53",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,408474,"7,606.54",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,408474,"20,568.69",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,408474,"11,563.81",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,408474,"28,665.54",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,408481,"3,451.86",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,408481,"23,444.20",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,408481,"2,562.65",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,408481,"15,539.91",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,408481,"6,711.94",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,408481,"26,278.98",Agency Staff
Department of Health,Care Quality Commission,31/03/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,408481,"11,317.13",Agency Staff
