Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,30/04/2012,Rents,Finance and CSD,JONES LANG LASALLE,511085,61050,Rent
Department of Health,Care Quality Commission,30/04/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,JONES LANG LASALLE,511085,22629.78,Service Charge
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,520869,25306.82,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,520869,562.5,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,520869,7526.86,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,520869,11813.82,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,520869,17914.24,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,520869,5405.02,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,520869,20736.03,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Rents,Finance and CSD,TUSTIN DEVELOPMENTS LTD,526817,69725.34,Rent
Department of Health,Care Quality Commission,30/04/2012,Staff Recruitment Advert,Strategic Marketing & Comms,LIFE CHANNEL GROUP LTD,535347,72000,Staff Recruitment Advert
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,535636,71554.53,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,INSIGHT DIRECT (UK) LTD,543498,87092.4,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,Contr Estate Management,Finance and CSD,DEPARTMENT OF HEALTH,547203,6750.88,Service Charge
Department of Health,Care Quality Commission,30/04/2012,Consultation Mechanism,Intelligence,PICKER INSTITUTE EUROPE,550374,61142.92,Surveys
Department of Health,Care Quality Commission,30/04/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,556807,108540.08,IT Telecommunications
Department of Health,Care Quality Commission,30/04/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,556809,39046.7,IT Telecommunications
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,557031,46179.36,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,558813,18521.59,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,558813,10201.9,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,558813,7572.54,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,558813,16635.97,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,558813,5417.41,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,558813,43241.44,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Intangible Assets,Intelligence,QINETIQ LTD,560733,228756,IT - Internally Developed SW Additions
Department of Health,Care Quality Commission,30/04/2012,FCm Control Account,Commission Wide,FCM TRAVEL SOLUTIONS,562864,165851.2,Travel
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,564764,40590.8,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,567819,68350.29,Hotels and Conferences
Department of Health,Care Quality Commission,30/04/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,567831,51146.47,Hotels and Conferences
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Strategic Marketing & Comms,SMITH CONSULTING WORLDWIDE LTD,570256,30000,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,Rents,Finance and CSD,TUSTIN DEVELOPMENTS LTD,571810,83670.41,Rent
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,578166,30777.6,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,578167,40140.3,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,597702,18521.59,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,597702,10201.9,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,597702,7572.54,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,597702,16635.97,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,597702,5417.41,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,597702,43241.44,Agency Staff
Department of Health,Care Quality Commission,30/04/2012,Public Relations Expenditure,Strategic Marketing & Comms,OFFICE FOR PUBLIC MANAGEMENT,599567,32040,Printing / Reports
Department of Health,Care Quality Commission,30/04/2012,"Books, Journals & Subscriptions",Finance and CSD,GARTNER UK LTD,599577,60000,Books Journals & Subscriptions
Department of Health,Care Quality Commission,30/04/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,612018,414401.56,IT Managed Service
Department of Health,Care Quality Commission,30/04/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,629430,68083.97,Agency Staff
