Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/10/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,1861317,"138,024.86",Service Charge
Department of Health,Care Quality Commission,31/10/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,1896264,"90,438.88",IT Managed Service
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,1960860,"61,997.19",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,1960876,"96,973.77",Agency Staff
Department of Health,Care Quality Commission,31/10/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,1982369,"33,862.80",IT Telecommunications
Department of Health,Care Quality Commission,31/10/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1989311,"90,847.12",Service Charge
Department of Health,Care Quality Commission,31/10/2012,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1989311,"254,842.86",Rent
Department of Health,Care Quality Commission,31/10/2012,Rates,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1989311,"97,112.64",Rates
Department of Health,Care Quality Commission,31/10/2012,Insurance Services,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1989311,"4,836.49",Insurance
Department of Health,Care Quality Commission,31/10/2012,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1989311,"16,816.80",Utilities
Department of Health,Care Quality Commission,31/10/2012,Public Relations Expenses,Regulatory Development,CHOICE SUPPORT,2032457,"44,201.53",Communications
Department of Health,Care Quality Commission,31/10/2012,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,2051576,"1,551.36",Utilities
