Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/01/2012,Course Fees,OD & HR,CATALYST BUSINESS DYNAMICS LTD,148257,"29,820.00",People Development
Department of Health,Care Quality Commission,31/01/2012,Lecture Fees,OD & HR,CATALYST BUSINESS DYNAMICS LTD,148257,"-4,970.00",People Development
Department of Health,Care Quality Commission,31/01/2012,Legal / Prof Fees,Governance and Legal,MILLS & REEVE LLP,164229,"29,898.60",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,31/01/2012,Legal / Prof Fees,Governance and Legal,BEVAN BRITTAN LLP,188935,"41,066.44",Contracted Lawyers/ Legal Fees
Department of Health,Care Quality Commission,31/01/2012,Mobile Phones,Finance and CSD,VODAFONE CORPORATE LTD,195720,"48,715.74",IT Telecommunications
Department of Health,Care Quality Commission,31/01/2012,CSC Managed Services,Finance and CSD,CSC COMPUTER SCIENCES LTD,197927,"448,107.78",IT Managed Services
Department of Health,Care Quality Commission,31/01/2012,CSC Managed Services,Finance and CSD,CSC COMPUTER SCIENCES LTD,197945,"33,296.48",IT Managed Services
Department of Health,Care Quality Commission,31/01/2012,CSC Managed Services,Finance and CSD,CSC COMPUTER SCIENCES LTD,197950,"38,991.20",IT Managed Services
Department of Health,Care Quality Commission,31/01/2012,Expotel Control,Commission Wide,Expotel,206282,"167,476.53",Hotels and Conferences
Department of Health,Care Quality Commission,31/01/2012,Expotel Control,Commission Wide,Expotel,206283,"62,409.02",Hotels and Conferences
Department of Health,Care Quality Commission,31/01/2012,Legal / Prof Fees,Governance and Legal,BEVAN BRITTAN LLP,206769,"46,378.21",Contracted Lawyers/ Legal Fees
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,210091,"3,451.86",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,210091,"34,468.81",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,210091,"4,303.19",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Intelligence,CARLISLE MANAGED SOLUTIONS,210091,"14,121.55",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,OD & HR,CARLISLE MANAGED SOLUTIONS,210091,"11,318.10",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Operations Delivery,CARLISLE MANAGED SOLUTIONS,210091,"27,177.45",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Regulatory Development ,CARLISLE MANAGED SOLUTIONS,210091,"9,395.29",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Strategic Marketing & Comms,CARLISLE MANAGED SOLUTIONS,210091,"39,325.94",Agency Staff
Department of Health,Care Quality Commission,31/01/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,210093,"3,451.86",Agency Staff
Department of Health,Care Quality Commission,01/02/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,210093,"6,795.72",Agency Staff
Department of Health,Care Quality Commission,02/02/2012,Agency Staff,Governance and Legal,CARLISLE MANAGED SOLUTIONS,210093,"2,618.14",Agency Staff
