Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,28/02/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3431979,"52,462.38",IT Managed Service
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3435109,"27,900.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3435127,"26,598.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3435181,"31,027.50",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3435188,"26,520.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3435221,"58,986.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,"Books, Journals & Subscr",Strategic Marketing & Comms,NEWSPAPER LICENSING AGENCY LTD,3435374,"41,787.60",Subscriptions
Department of Health,Care Quality Commission,28/02/2013,FM Computer Contracts,Strategic Marketing & Comms,DEPARTMENT OF HEALTH,3436421,"27,770.40",IT Managed Service
Department of Health,Care Quality Commission,28/02/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,3441961,"48,877.34",IT Telecommunications
Department of Health,Care Quality Commission,28/02/2013,Information Management,Intelligence,QINETIQ LTD,3461142,"87,186.00",Information Management
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,AXIS12 LTD,3523013,"145,860.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540425,"152,391.79",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540433,"62,002.13",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540466,"192,782.46",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540485,"163,406.10",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540492,"36,286.98",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540510,"107,779.06",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3540551,"48,898.30",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3554456,"42,240.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3554614,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,28/02/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3554624,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,28/02/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3554639,"142,016.64",IT Telecommunications
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3571665,"108,445.34",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3571673,"166,440.74",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3588036,"45,751.48",Agency Staff
Department of Health,Care Quality Commission,28/02/2013,CRB Checks,Commission Wide,DISCLOSURE & BARRING SERVICE,3588133,"43,252.00",CRB Checks
Department of Health,Care Quality Commission,28/02/2013,Intangible Assets,Commission Wide,STERIA LTD,3592510,"39,984.00",Intangible Assets
Department of Health,Care Quality Commission,28/02/2013,Surveys,Intelligence,PICKER INSTITUTE EUROPE,3592515,"61,142.92",Surveys
Department of Health,Care Quality Commission,28/02/2013,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,3598469,"299,579.56",Travel
Department of Health,Care Quality Commission,28/02/2013,Lecture Fees,Human Resources,HUMAN FERTILISATION & EMBRYOLOGY AUTHORITY,3605112,"26,400.00",Learning and Development
Department of Health,Care Quality Commission,28/02/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,3612819,"-51,558.40",Service Charge
Department of Health,Care Quality Commission,28/02/2013,Surveys,Intelligence,PICKER INSTITUTE EUROPE,3640328,"69,270.00",Surveys
Department of Health,Care Quality Commission,28/02/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3651308,"42,609.07",IT Managed Service
Department of Health,Care Quality Commission,28/02/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3651320,"29,225.47",IT Managed Service
Department of Health,Care Quality Commission,28/02/2013,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,3651329,"59,718.43",IT Managed Service
