Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/03/2013,Experts by Experience,Regulatory Development,CHOICE SUPPORT,3712536,"28,752.00",Acting Together - Involvement
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3721794,"-108,445.34",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,NCC GROUP PERFORMANCE TESTING LTD,3729466,"63,300.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3729593,"54,110.94",IT Managed Service
Department of Health,Care Quality Commission,31/03/2013,Rates,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3729606,"97,112.64",Rates
Department of Health,Care Quality Commission,31/03/2013,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3729606,"16,816.80",Utilities
Department of Health,Care Quality Commission,31/03/2013,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3729606,"254,842.86",Rent
Department of Health,Care Quality Commission,31/03/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3729606,"90,847.12",Service Charge
Department of Health,Care Quality Commission,31/03/2013,Insurance Services,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,3729606,"4,836.49",Insurance
Department of Health,Care Quality Commission,31/03/2013,Audit Fees,Finance and CSD,NATIONAL AUDIT OFFICE,3750150,"58,000.00",Statutory Audit Fees
Department of Health,Care Quality Commission,31/03/2013,Lecture Fees,Human Resources,CATALYST LEARNING & DEVELOPMENT LTD,3762884,"29,400.00",Learning and Development
Department of Health,Care Quality Commission,31/03/2013,"Books, Journals, Subscriptions",Intelligence,NHS INFORMATION CENTRE,3798997,"40,602.80",Subscription 
Department of Health,Care Quality Commission,31/03/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3799049,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,3799055,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2013,Meeting expenses/Room Hire,Health Watch England,CREATIVE CHOICE,3815316,"25,890.52",Events
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,AXIS12 LTD,3815378,"215,340.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3817197,"89,077.54",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3817204,"55,829.99",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,3817212,"26,105.12",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Staff Recruitment/ Advertising,Governance and Legal ,DEPARTMENT OF HEALTH,3842377,"97,200.00",Staff Recruitment
Department of Health,Care Quality Commission,31/03/2013,Staff Recruitment/ Advertising,Human Resources,DEPARTMENT OF HEALTH,3842377,"36,600.00",Staff Recruitment
Department of Health,Care Quality Commission,31/03/2013,CRB Checks,Commission Wide,DISCLOSURE & BARRING SERVICE,3854385,"39,116.00",CRB Checks
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,STERIA LTD,3873999,"39,984.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,3883591,"275,973.26",Travel
Department of Health,Care Quality Commission,31/03/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,3899716,"131,330.54",Service Charge
Department of Health,Care Quality Commission,15/03/2013,Public Relations Expenses,Strategic Marketing & Comms,PATIENTS ASSOCIATION,3901723,"30,000.00",Communications
Department of Health,Care Quality Commission,15/03/2013,Surveys,Intelligence,PICKER INSTITUTE EUROPE,3901781,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/03/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,3951968,"8,958.48",IT Telecommunications
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3953378,"52,596.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Legal / Professional Fees,Governance and Legal ,HEMPSONS SOLICITORS,3953439,"25,215.96",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3977423,"65,177.40",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3977445,"156,852.78",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3977463,"78,301.00",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3977480,"76,797.97",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3977498,"176,916.70",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3982410,"39,252.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3982498,"34,287.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,SAPIENT LTD,3982503,"42,900.00",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,3986668,"601,398.96",IT Managed Service
Department of Health,Care Quality Commission,31/03/2013,Legal / Professional Fees,Governance and Legal ,HILL DICKINSON LLP,3988415,"30,546.20",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,31/03/2013,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,4002806,"48,715.80",Hotels and Conferences
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4002821,"167,483.46",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4002834,"70,657.13",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4002856,"223,306.14",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Agency staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4002878,"185,266.69",Agency Staff
Department of Health,Care Quality Commission,31/03/2013,Calder Control Account,Commission Wide,CALDER CONFERENCES LTD,4003192,"32,725.06",Conferences
Department of Health,Care Quality Commission,31/03/2013,Annual Licences and Support,Finance and CSD,COMPUTACENTER (UK) LTD,4035366,"373,147.20",IT Annual Licences and Support
Department of Health,Care Quality Commission,31/03/2013,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,4035386,"194,637.60",IT Managed Service
Department of Health,Care Quality Commission,31/03/2013,Non-current Assets,Commission Wide,CSC COMPUTER SCIENCES LTD,4036521,"27,839.88",Non-current Assets - IT
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,4043965,"32,870.45",Intangible Assets
Department of Health,Care Quality Commission,31/03/2013,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,4044061,"38,353.60",Intangible Assets
