Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,30/06/2013,Calder Control Account,Commission Wide,CALDER CONFERENCES LTD,4918011,"41,630.04",Hotels and Conferences
Department of Health,Care Quality Commission,30/06/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4919727,"29,049.61",IT Managed Service
Department of Health,Care Quality Commission,30/06/2013,FM Computer Contracts,Strategic Marketing & Comms,AXIS12 LTD,4919785,"33,000.00",IT Managed Service
Department of Health,Care Quality Commission,30/06/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4941523,"161,298.78",Agency Staff
Department of Health,Care Quality Commission,30/06/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,4943756,"51,394.14",IT Telecommunications
Department of Health,Care Quality Commission,30/06/2013,Calder Control Account,Commission Wide,CALDER CONFERENCES LTD,4954861,"66,792.09",Hotels and Conferences
Department of Health,Care Quality Commission,30/06/2013,Other Operating Charges,Strategic Marketing & Comms,SERCO CONSULTING,4957096,"121,212.12",Professional Services
Department of Health,Care Quality Commission,30/06/2013,Other Operating Charges,Strategic Marketing & Comms,SERCO CONSULTING,4957100,"144,825.22",Professional Services
Department of Health,Care Quality Commission,30/06/2013,Rents,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,4978134,"393,638.25",Rent
Department of Health,Care Quality Commission,30/06/2013,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,4978143,"131,330.54",Service Charge
Department of Health,Care Quality Commission,30/06/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4981801,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,30/06/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4981830,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,30/06/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4991437,"58,228.38",Agency Staff
Department of Health,Care Quality Commission,30/06/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4991452,"151,244.56",Agency Staff
Department of Health,Care Quality Commission,30/06/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4991466,"220,320.60",Agency Staff
Department of Health,Care Quality Commission,30/06/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4991472,"-58,228.38",Agency Staff
Department of Health,Care Quality Commission,30/06/2013,Public Relations Expenditure,Intelligence,PICKER INSTITUTE EUROPE,5002458,"61,142.92",Surveys
Department of Health,Care Quality Commission,30/06/2013,Other Operating Charges,Central Budgets,MCKINSEY & COMPANY,5002529,"348,000.00",Consultancy
Department of Health,Care Quality Commission,30/06/2013,Other Operating Charges,Central Budgets,MCKINSEY & COMPANY,5002535,"240,000.00",Consultancy
Department of Health,Care Quality Commission,30/06/2013,CRB Checks,Commission Wide,DISCLOSURE & BARRING SERVICE,5066757,"46,552.00",CRB Checks
Department of Health,Care Quality Commission,30/06/2013,Intangible Assets,Commission Wide,INFORMATION MANAGEMENT GROUP LTD,5068526,"61,200.00",Software
Department of Health,Care Quality Commission,30/06/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,5101165,"53,618.09",IT Managed Service
Department of Health,Care Quality Commission,30/06/2013,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,5101468,"194,637.60",IT Managed Service
Department of Health,Care Quality Commission,30/06/2013,Annual Licences,Finance and CSD,COMPUTACENTER (UK) LTD,5101480,"373,147.20",IT Annual Licences
Department of Health,Care Quality Commission,30/06/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,5169207,"195,633.35",Agency Staff
Department of Health,Care Quality Commission,30/06/2013,Other Operating Charges,Strategic Marketing & Comms,SERCO CONSULTING,5172843,"114,109.37",Professional Services
Department of Health,Care Quality Commission,30/06/2013,FM Computer Contracts,Finance and CSD,ATOS ORIGIN IT SERVICES UK LTD,5203459,"76,800.00",IT Managed Service
Department of Health,Care Quality Commission,30/06/2013,Tangible Assets,Commission Wide,CSC COMPUTER SCIENCES LTD,5204741,"93,769.63",IT Hardware/IT Network
Department of Health,Care Quality Commission,30/06/2013,Intangible Assets,Commission Wide,SAPIENT LTD,5218864,"42,258.00",Software
Department of Health,Care Quality Commission,30/06/2013,Intangible Assets,Commission Wide,SAPIENT LTD,5218942,"35,424.00",Software
Department of Health,Care Quality Commission,30/06/2013,Intangible Assets,Commission Wide,SAPIENT LTD,5218961,"34,572.00",Website
Department of Health,Care Quality Commission,30/06/2013,Intangible Assets,Commission Wide,SAPIENT LTD,5218967,"34,125.00",Website
