Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,30/04/2013,Rents,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,3899719,"393,638.25",Rent
Department of Health,Care Quality Commission,30/04/2013,Report and publications,Strategic Marketing & Comms,OFFICE FOR PUBLIC MANAGEMENT,4052806,"51,075.00",Reports and publications
Department of Health,Care Quality Commission,30/04/2013,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,4052889,"8,555.26",IT Telecommunications
Department of Health,Care Quality Commission,30/04/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4082042,"71,558.58",Agency Staff
Department of Health,Care Quality Commission,30/04/2013,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,4082075,"182,868.68",Agency Staff
Department of Health,Care Quality Commission,30/04/2013,Experts by Experience,Regulatory Development,CHOICE SUPPORT,4106168,"28,066.63",Acting Together - Involvement
Department of Health,Care Quality Commission,30/04/2013,Infrastructure Assets,Commission Wide,COMPUTACENTER (UK) LTD,4107077,"59,566.27",IT Infrastructure Assets
Department of Health,Care Quality Commission,30/04/2013,Calder Control Account,Commission Wide,CALDER CONFERENCES LTD,4120804,"31,800.49",Conferences
Department of Health,Care Quality Commission,30/04/2013,Infrastructure Assets,Commission Wide,COMPUTACENTER (UK) LTD,4123798,"30,980.45",IT Infrastructure Assets
Department of Health,Care Quality Commission,30/04/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4148692,"55,259.40",IT Managed Service
Department of Health,Care Quality Commission,30/04/2013,Intangible Assets,Commission Wide,AXIS12 LTD,4148736,"250,740.00",Intangible Assets
Department of Health,Care Quality Commission,30/04/2013,Intangible Assets,Commission Wide,STERIA LTD,4184521,"-39,984.00",Intangible Assets
Department of Health,Care Quality Commission,30/04/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4184577,"85,903.49",IT Telecommunications
Department of Health,Care Quality Commission,30/04/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4184602,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,30/04/2013,Legal / Professional Fees,Governance and Legal ,LEXISNEXIS BUTTERWORTHS,4186479,"87,411.60",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,30/04/2013,Data Lines,Finance and CSD,CABLE & WIRELESS UK,4201624,"-85,903.49",IT Telecommunications
Department of Health,Care Quality Commission,30/04/2013,FM Computer Contracts,Healthwatch England,INFORMATION MANAGEMENT GROUP LTD,4203174,"54,060.00",IT Managed Service
Department of Health,Care Quality Commission,30/04/2013,CRB Checks,Commission Wide,DISCLOSURE & BARRING SERVICE,4256355,"45,364.00",CRB Checks
Department of Health,Care Quality Commission,30/04/2013,FM Computer Contracts,Healthwatch England,AXIS12 LTD,4330627,"32,400.00",IT Managed Service
Department of Health,Care Quality Commission,30/04/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4335406,"594,085.28",IT Managed Service
Department of Health,Care Quality Commission,30/04/2013,Information Management,Intelligence,QINETIQ LTD,4354535,"51,405.60",Information Management
Department of Health,Care Quality Commission,30/04/2013,Public Relations Expenses,Strategic Marketing & Comms,RELATIVES & RESIDENTS ASSOCIATION,4378210,"30,000.00",Public Relations Expenses
Department of Health,Care Quality Commission,30/04/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4404833,"25,194.00",Intangible Assets
Department of Health,Care Quality Commission,30/04/2013,Public Relations Expenses,Healthwatch England,CREATIVE CHOICE,4405380,"86,369.09",Public Relations Expenses
Department of Health,Care Quality Commission,30/04/2013,Refund,Commission Wide,LEICESTERSHIRE COUNTY COUNCIL,4429886,"29,025.00",Fee Refund
Department of Health,Care Quality Commission,30/04/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4439441,"35,895.00",Intangible Assets
Department of Health,Care Quality Commission,30/04/2013,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,4439465,"57,811.87",IT Managed Service
Department of Health,Care Quality Commission,30/04/2013,Intangible Assets,Commission Wide,SAPIENT LTD,4444734,"36,150.00",Intangible Assets
Department of Health,Care Quality Commission,30/04/2013,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,4469429,"283,539.87",Travel
Department of Health,Care Quality Commission,30/04/2013,Secondment,Regulatory Development,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,4471623,"39,370.50",Inward Secondment
Department of Health,Care Quality Commission,30/04/2013,FM Computer Contracts,Strategic Marketing & Comms,IXIS IT LTD,4480050,"53,580.00",IT Managed Service
