Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/12/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,2686433,"46,077.84",IT Managed Service
Department of Health,Care Quality Commission,31/12/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,2699917,"49,000.00",Service Charge
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2700662,"44,964.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2700683,"59,202.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2700751,"73,827.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2700766,"64,350.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2700795,"38,334.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2744330,"51,496.20",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,2809491,"188,566.32",Agency Staff
Department of Health,Care Quality Commission,31/12/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,2811469,"456,945.74",IT Managed Service
Department of Health,Care Quality Commission,31/12/2012,Hotels and Conferences,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,2822877,"238,697.30",Hotels and Conferences
Department of Health,Care Quality Commission,31/12/2012,Facilities Management,Finance and CSD,DEPARTMENT OF HEALTH,2826090,"27,234.00",Facilities Management
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2838385,"57,059.86",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2840969,"56,133.60",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2840973,"85,550.57",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Information Management,Intelligence,QINETIQ LTD,2841918,"43,233.60",Information Management
Department of Health,Care Quality Commission,31/12/2012,Agency Staff,Human Resources,GFK,2857007,"28,920.00",Agency Staff
Department of Health,Care Quality Commission,31/12/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,2872419,"43,454.17",IT Telecommunications
Department of Health,Care Quality Commission,31/12/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,2872438,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,31/12/2012,Experts By Experience,Commission Wide,CHOICE SUPPORT,2888784,"56,902.47",Acting Together - Involvement
Department of Health,Care Quality Commission,31/12/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,2923495,"604,901.58",IT Managed Service
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2923519,"58,533.04",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,COMPUTACENTER (UK) LTD,2924758,"26,399.99",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Research Services,Commission Wide,CRIMINAL RECORDS BUREAU,2937043,"48,796.00",CRB Checks
Department of Health,Care Quality Commission,31/12/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,2937662,"175,043.53",Agency Staff
Department of Health,Care Quality Commission,31/12/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,2939662,"373,147.20",IT Managed Service
Department of Health,Care Quality Commission,31/12/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,2955165,"194,637.60",IT Managed Service
Department of Health,Care Quality Commission,31/12/2012,Staff Recruitment/Advertising,Human Resources,HAYS SPECIALIST RECRUITMENT LTD,2955225,"-143,873.28",Employment/Recruitment
Department of Health,Care Quality Commission,31/12/2012,Surveys,Intelligence,PICKER INSTITUTE EUROPE,2965265,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,INFORMATION MANAGEMENT GROUP LTD,2965290,"34,320.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,2965321,"87,423.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,2978180,"-25,492.80",IT Telecommunications
Department of Health,Care Quality Commission,31/12/2012,Agency Staff,Commission Wide,HAYS SPECIALIST RECRUITMENT LTD,3009169,"-108,461.59",Agency Staff
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,3011685,"81,021.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,3011689,"34,320.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,3011724,"34,320.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Intangible Assets,Commission Wide,SAPIENT LTD,3011727,"26,784.00",Intangible Assets
Department of Health,Care Quality Commission,31/12/2012,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,3019371,"332,151.01",Travel
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
