Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Care Quality Commission,10/08/2010,IT Telecommunications,Finance and Corporate Services Directorate,Buying Solutions,EFT0007582,188171.92
Department of Health,Care Quality Commission,10/08/2010,Recruitment,Organisational Development and Human Resources Directorate,Capita Resoucing Ltd,EFT0007583,35272.33
Department of Health,Care Quality Commission,10/08/2010,Intangible Assets,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0007595,52045.07
Department of Health,Care Quality Commission,10/08/2010,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT0007605,52782.89
Department of Health,Care Quality Commission,10/08/2010,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT0007606,106381.95
Department of Health,Care Quality Commission,10/08/2010,Rates,Commission Wide,Islington Council,EFT0007620,29142
Department of Health,Care Quality Commission,13/08/2010,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT0007691,36448.72
Department of Health,Care Quality Commission,13/08/2010,Agency,"Chair, Chief Executive and Commission",Carlisle Managed Solutions,EFT0007694,4026.51
Department of Health,Care Quality Commission,13/08/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT0007694,126928.86
Department of Health,Care Quality Commission,13/08/2010,Agency,Engagement Directorate,Carlisle Managed Solutions,EFT0007694,28463.62
Department of Health,Care Quality Commission,13/08/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT0007694,26900.9
Department of Health,Care Quality Commission,13/08/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT0007694,11700.81
Department of Health,Care Quality Commission,13/08/2010,Agency,Operations Directorate,Carlisle Managed Solutions,EFT0007694,118992.41
Department of Health,Care Quality Commission,13/08/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT0007694,18125.61
Department of Health,Care Quality Commission,13/08/2010,Agency,Registration,Carlisle Managed Solutions,EFT0007694,41404.3
Department of Health,Care Quality Commission,13/08/2010,Agency,Regulation and Strategy Directorate,Carlisle Managed Solutions,EFT0007694,9876.47
Department of Health,Care Quality Commission,13/08/2010,"Fuel, Light, Heat",Finance and Corporate Services Directorate,Communities & Local Government,EFT0007699,6331.94
Department of Health,Care Quality Commission,13/08/2010,Maintenance / FM,Finance and Corporate Services Directorate,Communities & Local Government,EFT0007699,18873.86
