Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Care Quality Commission,02/02/2011,Intangible Assets,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8002019           ,65739.38
Department of Health,Care Quality Commission,02/02/2011,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT8002023           ,145042.88
Department of Health,Care Quality Commission,02/02/2011,Contracted Lawyers / Legal Fees,Transitions,Mills & Reeve (Norwich),EFT8002030           ,66683.64
Department of Health,Care Quality Commission,02/02/2011,IT Website,Strategic Marketing & Communications Directorate,Panlogic,EFT8002034           ,59280
Department of Health,Care Quality Commission,04/02/2011,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT8002072           ,34419.91
Department of Health,Care Quality Commission,04/02/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8002073           ,66331.23
Department of Health,Care Quality Commission,04/02/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8002073           ,16977.48
Department of Health,Care Quality Commission,04/02/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8002073           ,2264.3
Department of Health,Care Quality Commission,04/02/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8002073           ,60902.02
Department of Health,Care Quality Commission,04/02/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8002073           ,8126.56
Department of Health,Care Quality Commission,04/02/2011,Agency,Registration,Carlisle Managed Solutions,EFT8002073           ,18730.58
Department of Health,Care Quality Commission,04/02/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8002073           ,2850.84
Department of Health,Care Quality Commission,04/02/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8002073           ,17779.44
Department of Health,Care Quality Commission,09/02/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8002155           ,60468.53
Department of Health,Care Quality Commission,09/02/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8002155           ,14822.3
Department of Health,Care Quality Commission,09/02/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8002155           ,3033.85
Department of Health,Care Quality Commission,09/02/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8002155           ,59898.84
Department of Health,Care Quality Commission,09/02/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8002155           ,3438.12
Department of Health,Care Quality Commission,09/02/2011,Agency,Registration,Carlisle Managed Solutions,EFT8002155           ,22745.16
Department of Health,Care Quality Commission,09/02/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8002155           ,1887.12
Department of Health,Care Quality Commission,09/02/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8002155           ,17279.28
Department of Health,Care Quality Commission,09/02/2011,"Property, Plant and Equipment",Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8002157           ,59478.53
Department of Health,Care Quality Commission,09/02/2011,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT8002162           ,74098.99
Department of Health,Care Quality Commission,09/02/2011,Consultation Mechanism,Intelligence Directorate,Picker Institute Europe,EFT8002183           ,61142.92
Department of Health,Care Quality Commission,09/02/2011,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8002189           ,39057
Department of Health,Care Quality Commission,11/02/2011,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8002227           ,165897
Department of Health,Care Quality Commission,14/02/2011,Intangible Assets,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8002244           ,103303.2
Department of Health,Care Quality Commission,14/02/2011,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8002267           ,42804
Department of Health,Care Quality Commission,16/02/2011,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT8002286           ,155767.75
Department of Health,Care Quality Commission,16/02/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8002289           ,55659.4
Department of Health,Care Quality Commission,16/02/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8002289           ,9579.86
Department of Health,Care Quality Commission,16/02/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8002289           ,3407.52
Department of Health,Care Quality Commission,16/02/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8002289           ,58167.22
Department of Health,Care Quality Commission,16/02/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8002289           ,3470.46
Department of Health,Care Quality Commission,16/02/2011,Agency,Registration,Carlisle Managed Solutions,EFT8002289           ,17381.72
Department of Health,Care Quality Commission,16/02/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8002289           ,4367.82
