Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,04/01/2011,"Property, Plant and Equipment",Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001527           ,124798.28
Department of Health,Care Quality Commission,04/01/2011,Rent,Commission Wide,Tustin Developments Limited,EFT8001557           ,32099.53
Department of Health,Care Quality Commission,04/01/2011,Maintenance / FM,Finance and Corporate Services Directorate,Tustin Developments Limited,EFT8001557           ,5875
Department of Health,Care Quality Commission,07/01/2011,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT8001600           ,66457.72
Department of Health,Care Quality Commission,07/01/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001601           ,47522.38
Department of Health,Care Quality Commission,07/01/2011,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001601           ,5765.89
Department of Health,Care Quality Commission,07/01/2011,Agency,Governance and Legal,Carlisle Managed Solutions,EFT8001601           ,564.68
Department of Health,Care Quality Commission,07/01/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001601           ,1151.26
Department of Health,Care Quality Commission,07/01/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001601           ,16769.19
Department of Health,Care Quality Commission,07/01/2011,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001601           ,5548.13
Department of Health,Care Quality Commission,07/01/2011,Agency,Registration,Carlisle Managed Solutions,EFT8001601           ,5877.71
Department of Health,Care Quality Commission,07/01/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001601           ,723.33
Department of Health,Care Quality Commission,07/01/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001601           ,2773.35
Department of Health,Care Quality Commission,07/01/2011,Intangible Assets,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001604           ,29480.32
Department of Health,Care Quality Commission,07/01/2011,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT8001611           ,71660.1
Department of Health,Care Quality Commission,07/01/2011,Rates,Commission Wide,Islington Council,EFT8001617           ,29142
Department of Health,Care Quality Commission,07/01/2011,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8001633           ,44796.88
Department of Health,Care Quality Commission,10/01/2011,IT Telecommunications,Finance and Corporate Services Directorate,Buying Solutions,EFT8001653           ,188032.43
Department of Health,Care Quality Commission,10/01/2011,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT8001654           ,46912.21
