Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,03/06/2010,Publishing & Branding,Engagement Directorate,Access Plus,EFT0006691,42958.72
Department of Health,Care Quality Commission,03/06/2010,Intangible Assets,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0006715,28960.75
Department of Health,Care Quality Commission,03/06/2010,Rates,Commission Wide,Islington Council,EFT0006729,29142
Department of Health,Care Quality Commission,03/06/2010,Consultancy,Registration,PA Consulting Services Ltd,EFT0006742,28564.25
Department of Health,Care Quality Commission,04/06/2010,Rates,Commission Wide,Newcastle City Council,"181,261",19148
Department of Health,Care Quality Commission,04/06/2010,Rates,Commission Wide,Leeds City Council,"181,262",8363
Department of Health,Care Quality Commission,04/06/2010,Rates,Commission Wide,Preston City Council,"181,263",4388
Department of Health,Care Quality Commission,09/06/2010,"Property, Plant and Equipment",Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0006783,491948.95
Department of Health,Care Quality Commission,09/06/2010,Maintenance / FM,Finance and Corporate Services Directorate,King Sturge LLP,EFT0006808,21105.06
Department of Health,Care Quality Commission,09/06/2010,Rent,Finance and Corporate Services Directorate,King Sturge LLP,EFT0006808,59778.13
Department of Health,Care Quality Commission,09/06/2010,Rent,Finance and Corporate Services Directorate,Rockdell Property Management,EFT0006845,436088.25
Department of Health,Care Quality Commission,09/06/2010,Maintenance / FM,Finance and Corporate Services Directorate,Rockdell Property Management,EFT0006846,149749.25
Department of Health,Care Quality Commission,09/06/2010,IT Telecommunications,Finance and Corporate Services Directorate,Vodafone Corporate,EFT0006860,29415.63
Department of Health,Care Quality Commission,16/06/2010,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT0006886,29460.06
Department of Health,Care Quality Commission,16/06/2010,Agency,"Chair, Chief Executive and Commission",Carlisle Managed Solutions,EFT0006888,19973.2
Department of Health,Care Quality Commission,16/06/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT0006888,184779.77
Department of Health,Care Quality Commission,16/06/2010,Agency,Engagement Directorate,Carlisle Managed Solutions,EFT0006888,44991.76
Department of Health,Care Quality Commission,16/06/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT0006888,53379.34
Department of Health,Care Quality Commission,16/06/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT0006888,13116.89
Department of Health,Care Quality Commission,16/06/2010,Agency,Operations Directorate,Carlisle Managed Solutions,EFT0006888,191752.65
Department of Health,Care Quality Commission,16/06/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT0006888,53888.87
Department of Health,Care Quality Commission,16/06/2010,Agency,Registration,Carlisle Managed Solutions,EFT0006888,46603.44
Department of Health,Care Quality Commission,16/06/2010,Agency,Regulation and Strategy Directorate,Carlisle Managed Solutions,EFT0006888,10754.51
Department of Health,Care Quality Commission,16/06/2010,IT Managed Service,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0006895,468207.78
Department of Health,Care Quality Commission,16/06/2010,"Property, Plant and Equipment",Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0006895,1444.61
Department of Health,Care Quality Commission,16/06/2010,Maintenance / FM,Finance and Corporate Services Directorate,Danmerc Property Management Ltd,EFT0006898,55068.73
Department of Health,Care Quality Commission,16/06/2010,Rent,Commission Wide,Danmerc Limited,EFT0006899,147065.94
Department of Health,Care Quality Commission,16/06/2010,Consultancy,Registration,Ernst & Young LLP,EFT0006905,134231.27
Department of Health,Care Quality Commission,16/06/2010,Consultancy,Operations Directorate,PA Consulting Services Ltd,EFT0006944,74201.25
Department of Health,Care Quality Commission,16/06/2010,Marketing & Events,Engagement Directorate,Protean Design Ltd,EFT0006953,25608.54
Department of Health,Care Quality Commission,16/06/2010,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT0006962,146252.26
Department of Health,Care Quality Commission,16/06/2010,Estates Strategy,Finance and Corporate Services Directorate,Turner & Townsend,EFT0006979,27913.3
Department of Health,Care Quality Commission,17/06/2010,Rates,Commission Wide,Bristol City Council,"185,989",6574
Department of Health,Care Quality Commission,23/06/2010,Publishing & Branding,Engagement Directorate,Access Plus,EFT0006993,29417.5
Department of Health,Care Quality Commission,23/06/2010,Agency,"Chair, Chief Executive and Commission",Carlisle Managed Solutions,EFT0007001,7229.32
Department of Health,Care Quality Commission,23/06/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT0007001,58025.41
Department of Health,Care Quality Commission,23/06/2010,Agency,Engagement Directorate,Carlisle Managed Solutions,EFT0007001,14557.01
Department of Health,Care Quality Commission,23/06/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT0007001,17260.55
Department of Health,Care Quality Commission,23/06/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT0007001,7487.8
Department of Health,Care Quality Commission,23/06/2010,Agency,Operations Directorate,Carlisle Managed Solutions,EFT0007001,61218.11
Department of Health,Care Quality Commission,23/06/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT0007001,18317.85
Department of Health,Care Quality Commission,23/06/2010,Agency,Registration,Carlisle Managed Solutions,EFT0007001,21883.52
Department of Health,Care Quality Commission,23/06/2010,Agency,Regulation and Strategy Directorate,Carlisle Managed Solutions,EFT0007001,7283.77
Department of Health,Care Quality Commission,23/06/2010,Intangible Assets,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT0007006,147387.03
Department of Health,Care Quality Commission,23/06/2010,ICAP,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0007008,539648.58
Department of Health,Care Quality Commission,23/06/2010,IT Managed Service,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0007008,463953.59
Department of Health,Care Quality Commission,23/06/2010,"Property, Plant and Equipment",Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0007008,193795.08
Department of Health,Care Quality Commission,23/06/2010,Consultancy,Registration,Ernst & Young LLP,EFT0007013,56308.35
Department of Health,Care Quality Commission,23/06/2010,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT0007017,148595.7
Department of Health,Care Quality Commission,23/06/2010,Publishing & Branding,Engagement Directorate,Panlogic,EFT0007045,58626.63
Department of Health,Care Quality Commission,23/06/2010,Publishing & Branding,Engagement Directorate,Redhouse Lane Communications Ltd,EFT0007052,31948.89
Department of Health,Care Quality Commission,23/06/2010,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT0007059,135731.6
Department of Health,Care Quality Commission,23/06/2010,Maintenance / FM,Finance and Corporate Services Directorate,Tustin Developments Limited,EFT0007072,5875
Department of Health,Care Quality Commission,23/06/2010,Rent,Finance and Corporate Services Directorate,Tustin Developments Limited,EFT0007072,32099.53
Department of Health,Care Quality Commission,30/06/2010,"Property, Plant and Equipment",Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT0007095,53692.73
Department of Health,Care Quality Commission,30/06/2010,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT0007099,60260.22
Department of Health,Care Quality Commission,30/06/2010,Hotels and Conferences,Commission Wide,Expotel,EFT0007101,304207.11
Department of Health,Care Quality Commission,30/06/2010,Maintenance / FM,Finance and Corporate Services Directorate,NB Real Estate,EFT0007118,22334.05
Department of Health,Care Quality Commission,30/06/2010,Rent,Finance and Corporate Services Directorate,NB Real Estate,EFT0007118,55767.56
Department of Health,Care Quality Commission,30/06/2010,Publishing & Branding,Engagement Directorate,Panlogic,EFT0007124,58626.63
Department of Health,Care Quality Commission,30/06/2010,IT Telecommunications,Finance and Corporate Services Directorate,Vodafone Corporate,EFT0007140,29589.37
