Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Care Quality Commission,02/03/2011,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT8002476           ,139047.95
Department of Health,Care Quality Commission,04/03/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8002515           ,41225.54
Department of Health,Care Quality Commission,04/03/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8002515           ,13766.74
Department of Health,Care Quality Commission,04/03/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8002515           ,3707.37
Department of Health,Care Quality Commission,04/03/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8002515           ,47941.11
Department of Health,Care Quality Commission,04/03/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8002515           ,6838.66
Department of Health,Care Quality Commission,04/03/2011,Agency,Registration,Carlisle Managed Solutions,EFT8002515           ,15056.55
Department of Health,Care Quality Commission,04/03/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8002515           ,4988.64
Department of Health,Care Quality Commission,04/03/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8002515           ,17043.53
Department of Health,Care Quality Commission,04/03/2011,"Property, Plant and Equipment",Finance & Corporate Services Directorate,Computacenter UK Limited,EFT8002516           ,54000
Department of Health,Care Quality Commission,04/03/2011,Rent,Finance & Corporate Services Directorate,Danmerc Ltd,EFT8002520           ,62718.79
Department of Health,Care Quality Commission,04/03/2011,Maintenance / FM,Finance & Corporate Services Directorate,Europa,EFT8002521           ,49905.72
Department of Health,Care Quality Commission,04/03/2011,Contracted Lawyers / Legal Fees,Transitions,Mills & Reeve,EFT8002531           ,71287.48
Department of Health,Care Quality Commission,04/03/2011,Stationery and Other General Office Expenses,Strategic Marketing & Communications Directorate,Newspaper Licensing Agency,EFT8002533           ,42961.63
Department of Health,Care Quality Commission,04/03/2011,Rent,Commission Wide,Rockdell Property Management,EFT8002538           ,436088.25
Department of Health,Care Quality Commission,04/03/2011,Maintenance / FM,Finance & Corporate Services Directorate,Rockdell Property Management,EFT8002539           ,148061.58
Department of Health,Care Quality Commission,04/03/2011,IT Managed Service,Registration,Specialist Computer Centres plc,EFT8002544           ,41937.48
Department of Health,Care Quality Commission,09/03/2011,IT Telecommunications,Finance & Corporate Services Directorate,Cable & Wireless,EFT8002580           ,34419.91
Department of Health,Care Quality Commission,09/03/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8002581           ,39853.37
Department of Health,Care Quality Commission,09/03/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8002581           ,13047.04
Department of Health,Care Quality Commission,09/03/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8002581           ,4561.27
Department of Health,Care Quality Commission,09/03/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8002581           ,54185.78
Department of Health,Care Quality Commission,09/03/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8002581           ,10939.94
Department of Health,Care Quality Commission,09/03/2011,Agency,Registration,Carlisle Managed Solutions,EFT8002581           ,16143.21
Department of Health,Care Quality Commission,09/03/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8002581           ,4737.96
Department of Health,Care Quality Commission,09/03/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8002581           ,16779.12
Department of Health,Care Quality Commission,09/03/2011,Rent,Finance & Corporate Services Directorate,Danmerc Ltd,EFT8002585           ,87476.21
Department of Health,Care Quality Commission,09/03/2011,Maintenance / FM,Finance & Corporate Services Directorate,King Sturge LLP,EFT8002594           ,21554.1
Department of Health,Care Quality Commission,09/03/2011,Rent,Finance & Corporate Services Directorate,King Sturge LLP,EFT8002594           ,61050
Department of Health,Care Quality Commission,09/03/2011,Maintenance / FM,Finance & Corporate Services Directorate,NB Real Estate,EFT8002601           ,24293.86
Department of Health,Care Quality Commission,09/03/2011,Rent,Finance & Corporate Services Directorate,NB Real Estate,EFT8002601           ,56954.1
Department of Health,Care Quality Commission,10/03/2011,Stationery and Other General Office Expenses,Regulatory Development,Uclan Business Services Ltd,EFT8002646           ,32000
Department of Health,Care Quality Commission,11/03/2011,Consultation Mechanism,Intelligence Directorate,Picker Institute Europe,EFT8002659           ,61142.92
Department of Health,Care Quality Commission,16/03/2011,Contracted Lawyers / Legal Fees,Transitions,Bevan Brittan LLP,EFT8002666           ,78875.02
Department of Health,Care Quality Commission,16/03/2011,IT Telecommunications,Finance & Corporate Services Directorate,Cable & Wireless,EFT8002668           ,59211.1
Department of Health,Care Quality Commission,16/03/2011,"Property, Plant and Equipment",Finance & Corporate Services Directorate,Cable & Wireless,EFT8002668           ,12465
Department of Health,Care Quality Commission,16/03/2011,Intangible Assets,Finance & Corporate Services Directorate,Sapient,EFT8002689           ,416178
Department of Health,Care Quality Commission,18/03/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8002710           ,51077.47
Department of Health,Care Quality Commission,18/03/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8002710           ,10729.63
Department of Health,Care Quality Commission,18/03/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8002710           ,5199.61
Department of Health,Care Quality Commission,18/03/2011,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8002710           ,53629.96
Department of Health,Care Quality Commission,18/03/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8002710           ,9100.12
Department of Health,Care Quality Commission,18/03/2011,Agency,Registration,Carlisle Managed Solutions,EFT8002710           ,31321.92
Department of Health,Care Quality Commission,18/03/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8002710           ,3475.98
Department of Health,Care Quality Commission,18/03/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8002710           ,15886.2
