Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,01/11/2010,Service User Strategy,Regulatory Development,Social Care Institute for Excellence,EFT8000503           ,90000
Department of Health,Care Quality Commission,03/11/2010,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT8000521           ,55453.5
Department of Health,Care Quality Commission,03/11/2010,Rates,Commission Wide,Islington Council,EFT8000534           ,29142
Department of Health,Care Quality Commission,05/11/2010,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT8000561           ,32498.61
Department of Health,Care Quality Commission,05/11/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8000562           ,52775.95
Department of Health,Care Quality Commission,05/11/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8000562           ,13489.74
Department of Health,Care Quality Commission,05/11/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8000562           ,1731.07
Department of Health,Care Quality Commission,05/11/2010,Agency,Operations Delivery Directorate,Carlisle Managed Solutions,EFT8000562           ,41669.92
Department of Health,Care Quality Commission,05/11/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8000562           ,8578.66
Department of Health,Care Quality Commission,05/11/2010,Agency,Registration,Carlisle Managed Solutions,EFT8000562           ,15562.81
Department of Health,Care Quality Commission,05/11/2010,Agency,Regulation and Strategy Directorate,Carlisle Managed Solutions,EFT8000562           ,5394.9
Department of Health,Care Quality Commission,05/11/2010,Agency,Strategic Marketing and Communications Directorate,Carlisle Managed Solutions,EFT8000562           ,14412.72
Department of Health,Care Quality Commission,05/11/2010,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT8000565           ,146108.75
Department of Health,Care Quality Commission,05/11/2010,IT Annual Licences and Support,Finance and Corporate Services Directorate,Insight Direct (UK) Ltd,EFT8000567           ,52041.29
Department of Health,Care Quality Commission,08/11/2010,IT Managed Service,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8000607           ,178433.97
Department of Health,Care Quality Commission,10/11/2010,IT Managed Service,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8000767           ,459024.38
Department of Health,Care Quality Commission,12/11/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8000795           ,63561.6
Department of Health,Care Quality Commission,12/11/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8000795           ,16467.74
Department of Health,Care Quality Commission,12/11/2010,Agency,Governance and Legal,Carlisle Managed Solutions,EFT8000795           ,1992.03
Department of Health,Care Quality Commission,12/11/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8000795           ,1524.79
Department of Health,Care Quality Commission,12/11/2010,Agency,Operations Delivery Directorate,Carlisle Managed Solutions,EFT8000795           ,41827.87
Department of Health,Care Quality Commission,12/11/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8000795           ,8532.84
Department of Health,Care Quality Commission,12/11/2010,Agency,Registration,Carlisle Managed Solutions,EFT8000795           ,21587.63
Department of Health,Care Quality Commission,12/11/2010,Agency,Regulation and Strategy Directorate,Carlisle Managed Solutions,EFT8000795           ,3373.43
Department of Health,Care Quality Commission,12/11/2010,Agency,Strategic Marketing and Communications Directorate,Carlisle Managed Solutions,EFT8000795           ,13571.96
Department of Health,Care Quality Commission,12/11/2010,Training & Development,Registration,Specialist Computer Centres plc (SCC),EFT8000813           ,50830.5
