Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Care Quality Commission,02/09/2010,Agency,"Chair, Chief Executive and Commission",Carlisle Managed Solutions,EFT0008030,1866.3
Department of Health,Care Quality Commission,02/09/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT0008030,52187.61
Department of Health,Care Quality Commission,02/09/2010,Agency,Engagement Directorate,Carlisle Managed Solutions,EFT0008030,16348
Department of Health,Care Quality Commission,02/09/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT0008030,17233.93
Department of Health,Care Quality Commission,02/09/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT0008030,2697.4
Department of Health,Care Quality Commission,02/09/2010,Agency,Operations Directorate,Carlisle Managed Solutions,EFT0008030,64576.1
Department of Health,Care Quality Commission,02/09/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT0008030,3441.27
Department of Health,Care Quality Commission,02/09/2010,Agency,Registration,Carlisle Managed Solutions,EFT0008030,20487.51
Department of Health,Care Quality Commission,02/09/2010,Agency,Regulation and Strategy Directorate,Carlisle Managed Solutions,EFT0008030,7534.81
Department of Health,Care Quality Commission,02/09/2010,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT0008041,44951.54
Department of Health,Care Quality Commission,02/09/2010,Rates,Commission Wide,Islington Council,EFT0008055,29142
Department of Health,Care Quality Commission,02/09/2010,Maintenance / FM,Finance and Corporate Services Directorate,NB Real Estate,EFT0008066,23750.16
Department of Health,Care Quality Commission,02/09/2010,Rent,Finance and Corporate Services Directorate,NB Real Estate,EFT0008066,55679.49
Department of Health,Care Quality Commission,06/09/2010,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT0008124,101727.93
Department of Health,Care Quality Commission,07/09/2010,Rent,Finance and Corporate Services Directorate,Rockdell Property Management,EFT0008158,436088.25
Department of Health,Care Quality Commission,07/09/2010,Maintenance / FM,Finance and Corporate Services Directorate,Rockdell Property Management,EFT0008159,149749.25
