Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Hotels Overseas,International Energy & Climate Change - International Climate Change Negotiations,TURISMO Y CONVENCIONES S.A. DE C.V,4017953," 153,832.01 "
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,PETROFAC TRAINING LTD,4018033, 636.00 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,1007955," 2,097.38 "
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4018049, 501.85 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4017974, 577.02 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4018013, 722.99 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4018020, 803.35 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4018048," 2,200.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Shared Services,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,DEFRA,4016419," 113,167.26 "
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Catering Supplies,National Climate Change & Consumer Support - National Climate Change,ABBEY COMMUNITY ASSOCIATION LTD,4017868, 603.83 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Standard Desktop Services,Corporate and Professional Services,FUJITSU SERVICES LTD,4017961," 130,974.94 "
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Printing,Energy Markets & Infrastructure - Energy Development Unit,THE STATIONERY OFFICE LTD,4018030, 530.00 
Department for Energy and Climate Change,Department for Energy and Climate Change,01/10/2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ONE NORTH EAST,4018007," 500,000.00 "
