Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4018694," £14,556,516.74 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4018695," £3,948,384.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019302," £109,277.35 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019302," £93,002.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019732, £757.69 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4019745," £21,800,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Office of Nuclear Development,PANNONE LLP,4019803," £23,297.14 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,GOVERNMENT LEGAL SERVICES SECRETARIAT,4019825," £13,998.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WEST OXFORD COMMUNITY RENEWABLES LTD,4019836," £10,552.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,TRANSITION TOWN TOTNES LTD,4019837," £4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SIEMENS plc,4019839," £217,369.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4019840," £5,398.08 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019843," £2,880.98 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4019845," £1,067.19 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4019847," £2,340.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,BANNER BUSINESS SERVICES LTD,4019748, £767.32 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Capital Grants to the Private Sector - Resource Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4019804," £65,712.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Technical Advice,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4019805," £2,549,120.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF BRISTOL,4019835," £46,787.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019842," £2,820.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ACKNOWLEDGE LTD,4019848," £1,050.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Capital Grants to Local Authorities - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4019862," £39,536.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4019864," £117,140.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/12/2010 ,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4019864," £614,987.00 "
