Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4020287," 14,505,456.46 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4020287," 218,154.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4020288," 3,993,708.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Interpreters,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4021210," 2,081.73 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Interpreters,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4021210, 580.03 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Other Training Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,PLATTS,4021396, 850.87 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,SAP (UK) LTD,4021432," 25,529.43 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4021446," 3,295,016.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4021459, 885.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4021465," 18,800,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4021489, 815.16 
