Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,10/05/2011 ,Corporate Management Consultancy,Energy Markets & Infrastructure - Office of Nuclear Development,KPMG,1026714,"11,835.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/05/2011 ,Government Procurement Card New Procedures,Corporate Payments,BARCLAYS BANK PLC,1026915,"29,367.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,1028040,775.01 
Department of Energy and Climate Change,Department of Energy and Climate Change,31/05/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,SOUTH AFRICAN NATION ENERGY RESEARCH INSTITUTE (PTY) LTD (SANERI),4023073,"46,421.76 "
Department of Energy and Climate Change,Department of Energy and Climate Change,31/05/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,SOUTH AFRICAN NATION ENERGY RESEARCH INSTITUTE (PTY) LTD (SANERI),4023141,"7,272.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,31/05/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,SOUTH AFRICAN NATION ENERGY RESEARCH INSTITUTE (PTY) LTD (SANERI),4023141,"14,767.98 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2011 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ZZZZKATHRYN RATHOUSE SOCIAL RESEARCH,4023525,"3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,ZZZZKATHRYN RATHOUSE SOCIAL RESEARCH,4023525,"6,050.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4023613,"15,154,201.53 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4023614,"4,110,503.91 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - EMI Director General,NUCLEAR DECOMMISSIONING AUTHORITY,4024361,"200,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4024505,593.10 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/05/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,SECRETARIAT OF THE PACIFIC COMMUNITY,4024549,"2,183.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4024556,"15,075.92 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4024581,"10,981.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4024581,"6,238.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4024591,"27,240.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,CEFAS-THE CENTRE FOR ENVIRONMENT FISHERIES & AQUACULTURE SCIENCE,4024611,"123,982.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,ELEXON LTD,4024624,"9,968.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4024626,829.98 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4024627,697.85 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Hotels Overseas,Energy & Climate Change International - International Climate Change Negotiations,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024629,"52,427.07 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hotels Overseas,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024630,603.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Subsistence Payments- Overseas (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024630,573.24 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Outsourced Technical Support (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024630,"4,270.22 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hospitality - UK,Energy & Climate Change International - International Climate Change Negotiations,ERNST & YOUNG LLP,4024632,"2,149.91 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Departmental Sponsored Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE WHITEHALL AND INDUSTRY GROUP,4024636,"3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Departmental Sponsored Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE WHITEHALL AND INDUSTRY GROUP,4024636,950.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,BRIGHT FUTURES (NZ) LTD,4024637,"13,440.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NHST MEDIA GROUP T/A UPSTREAM,4024643,770.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4024653,"10,137.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4024663,980.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,11/05/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4024698,"4,580.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/05/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4024698,"2,860.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Capital Grants to Private Sector - Not Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4024704,"8,040,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,GENERAL TROUSDELL,4024705,"3,601.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,GENERAL TROUSDELL,4024706,"2,055.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,GENERAL TROUSDELL,4024707,"1,460.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,GENERAL TROUSDELL,4024708,"6,417.85 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4024709,795.95 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4024710,933.67 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4024711,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4024712,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4024714,913.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4024715,770.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4024716,586.22 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4024717,657.22 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4024718,740.36 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4024721,534.28 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4024723,"300,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4024725,610.94 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4024726,658.67 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4024729,"5,316.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Energy Development Unit,COAL AUTHORITY,4024730,"1,500,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4024731,"46,518.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4024732,"17,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4024733,"60,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4024734,"66,246.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4024735,"21,000.00 "
