,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Other NDPB Resource Spend (Near Cash),National Climate Change & Consumer Support - National Climate Change,DEBT MANAGEMENT OFFICE - HM TREASURY,1029376,"6,342.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Other NDPB Resource Spend (Near Cash),National Climate Change & Consumer Support - National Climate Change,DEBT MANAGEMENT OFFICE - HM TREASURY,1029378,"60,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Recoveries Account,Corporate Payments,ENCORE OIL PLC,1029937,"61,430.78 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,1030293,"11,810.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4024468,"4,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4024468,"124,449.64 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4024469,"15,205,615.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,WSP ENVIRONMENTAL LTD,4024669,"3,776.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024929,"1,189.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024929,"1,189.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4024929,"1,189.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4025100,634.51 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4025100,634.51 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4025101,759.54 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4025101,759.54 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hotels (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,INSTITUTE OF INDUSTRIAL RESEARCH,4025198,526.68 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Air Fares  - Overseas (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,INSTITUTE OF INDUSTRIAL RESEARCH,4025198,696.88 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025247,"45,334.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - EMI Director General,NUCLEAR DECOMMISSIONING AUTHORITY,4025257,"130,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,TIM WOOD CONSULTING LTD,4025363,"1,938.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - National Climate Change,TIM WOOD CONSULTING LTD,4025363,"3,038.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,HOMES & COMMUNITIES AGENCY,4025413,"23,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hotels Overseas,Energy & Climate Change International - International Climate Change Negotiations,MARITIM HOTEL BONN,4025416,"38,147.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4025417,"1,372,166.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Other Office Service Costs,Energy & Climate Change International - International Climate Change Negotiations,MARITIM HOTEL BONN,4025418,"4,269.85 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025428,"3,772.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025429,780.48 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025430,741.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025435,"6,779.22 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025436,"3,750.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4025437,"6,657.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4025439,"268,700.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,IT Services (Programme),Energy Markets & Infrastructure - DECC Commercial Team,BRAVOSOLUTION UK LTD,4025460,"22,552.57 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,IT Services (Programme),Energy Markets & Infrastructure - DECC Commercial Team,BRAVOSOLUTION UK LTD,4025460,"2,591.43 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,External Training,National Climate Change & Consumer Support - National Climate Change,THE WHITEHALL AND INDUSTRY GROUP,4025477,"6,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4025479,"4,950.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4025479,900.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025493,567.98 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025496,804.98 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025497,868.68 
